ID,DRIW_age,DRIW_age_ss,DRIQ_age,DRIQ_age_ss
213013,,,176,86
213016,183,91,,
213017,,,218,111
213018,,,222,113
213019,206,105,,
214001,,,233,120
214002,236,120,,
214003,224,114,,
214004,,,204,102
214005,,,202,101
214006,,,227,116
214012,,,210,106
214013,,,228,117
214015,,,238,123
214016,210,107,,
214017,,,237,123
214018,,,197,98
214021,,,249,130
214024,,,209,105
214025,234,119,,
214027,,,223,114
214028,,,209,105
214029,,,217,110
214031,,,222,113
214032,,,222,113
214033,184,92,,
214034,,,231,119
214035,,,185,91
214039,,,205,103
214040,,,234,121
214041,,,185,91
214046,,,218,111
214051,,,237,123
214052,,,216,109
214053,,,207,104
214054,204,104,,
214055,222,113,,
214056,,,202,101
214057,162,77,,
214058,,,201,100
214059,248,126,,
214060,,,244,127
214062,186,93,,
214064,220,112,,
214065,171,84,,
214066,164,79,,
214067,,,216,109
214068,,,216,109
214069,,,213,107
214071,189,95,,
214072,,,228,117
214073,153,71,,
214074,,,176,86
214075,,,164,79
215002,218,111,,
216004,,,238,123
216005,,,229,118
217001,197,100,,
217003,173,85,,
217005,194,98,,
217007,190,96,,
217008,,,235,121
217011,,,187,92
217012,,,163,79
217013,,,174,85
217015,,,222,113
217016,,,215,109
217017,,,225,115
217019,,,198,98
217020,,,173,84
217021,,,190,94
217022,,,232,119
218001,208,106,,
218003,,,178,87
218004,,,193,95
218005,,,234,121
218006,,,219,111
218007,,,247,129
218009,,,226,116
218010,,,200,100
218011,,,217,110
218012,,,232,119
218013,,,201,100
218014,,,196,97
219006,,,183,90
219007,,,183,90
219008,,,213,107
220003,200,101,,
220004,194,98,,
220007,193,97,,
220008,177,88,,
220010,179,89,,
220011,,,208,104
220015,,,232,119
220016,,,205,103
220017,,,205,103
220018,,,173,84
220019,,,179,87
220020,,,162,78
220021,,,176,86
221001,,,191,94
221002,,,178,87
221003,,,194,96
221004,,,193,95
221005,,,167,81
221006,,,223,114
221007,,,168,81
221008,,,152,73
221009,,,215,109
221011,,,185,91
221012,,,209,105
221013,,,184,90
221014,,,178,87
221015,,,186,91
221016,,,162,78
221017,,,163,79
221018,,,164,79
221019,,,197,98
222023,,,233,120
222026,,,206,103
222028,,,208,104
222029,,,231,119
223002,,,182,89
223003,,,231,119
223005,,,202,101
223006,,,177,86
223007,,,223,114
223008,,,155,74
223009,,,159,77
223010,,,206,103
223011,,,206,103
223012,,,169,82
223013,,,224,114
223014,,,198,98
223015,,,220,112
223016,,,175,85
223017,,,192,95
223018,,,172,84
223019,,,200,100
223020,,,153,73
223021,,,196,97
223023,,,202,101
223024,,,184,90
223027,,,214,108
223028,,,199,99
223029,,,206,103
223030,,,189,93
223031,,,187,92
223032,,,181,89
223033,,,203,101
223034,,,175,85
223036,,,179,87
223037,,,188,93
223042,,,191,94
223047,,,202,101
223048,,,177,86
223049,,,204,102
223051,,,191,94
223052,,,174,85
223053,,,211,106
223054,,,183,90
223055,,,202,101
223056,,,207,104
223058,,,165,80
223061,,,177,86
223062,,,197,98
223063,,,198,98
223064,,,209,105
223065,,,154,74
223066,,,175,85
223067,,,174,85
223068,,,190,94
223069,,,162,78
223070,,,179,87
223071,,,160,77
223072,,,144,69
223073,,,177,86
223074,,,195,97
223075,,,175,85
225001,213,109,,
225002,209,107,,
225003,209,107,,
225004,208,106,,
225005,,,214,108
225006,,,202,101
225008,193,97,,
225009,,,185,91
225010,,,208,104
226001,208,106,,
226002,207,105,,
226003,170,83,,
226004,198,100,,
226005,186,93,,
226006,207,105,,
226007,193,97,,
226008,184,92,,
226010,211,108,,
226011,159,75,,
226013,,,234,121
226014,,,195,97
226015,,,212,107
226019,,,219,111
226020,,,190,94
226022,,,209,105
226023,,,200,100
226024,,,158,76
226025,,,185,91
226026,,,210,106
226027,,,205,103
226028,,,192,95
226029,,,240,125
226030,,,214,108
226032,,,245,128
226034,,,197,98
226036,,,218,111
226037,,,215,109
226038,,,201,100
226040,,,244,127
226041,,,246,129
226043,,,215,109
226044,,,247,129
226045,,,207,104
226046,,,193,95
226048,,,194,96
226049,,,206,103
226050,,,241,125
226053,176,87,,
226054,200,101,,
226055,,,158,76
226056,257,130,,
226057,229,117,,
226058,201,102,,
226059,,,230,118
226060,175,86,,
227005,,,202,101
227006,,,214,108
227007,,,214,108
227008,,,217,110
227011,,,218,111
227012,,,157,75
227016,,,187,92
227017,,,202,101
227021,,,243,127
227026,,,194,96
228004,,,216,109
228006,,,213,107
228007,,,179,87
228009,,,209,105
228010,,,181,89
231014,179,89,,
231043,,,175,85
232001,,,184,90
232002,,,186,91
232003,174,86,,
232004,,,206,103
232005,177,88,,
232006,177,88,,
232008,,,215,109
232009,,,192,95
232010,,,192,95
232011,,,214,108
232012,,,244,127
232013,,,225,115
232014,,,185,91
232017,,,200,100
232018,,,225,115
232022,,,189,93
232023,,,174,85
232024,,,202,101
232025,210,107,,
232026,207,105,,
232027,,,219,111
232028,,,203,101
232029,,,202,101
232030,220,112,,
232032,,,217,110
232050,,,217,110
232051,,,231,119
232052,,,206,103
232053,,,168,81
232054,179,89,,
232055,212,108,,
232056,170,83,,
232058,,,197,98
232059,,,204,102
232060,,,232,119
232063,,,211,106
232064,,,209,105
232065,,,219,111
232066,,,193,95
232069,,,175,85
232071,,,220,112
232072,,,225,115
232075,,,203,101
234001,,,193,95
234004,,,219,111
234007,,,230,118
234010,,,181,89
234011,,,250,130
234012,,,201,100
234017,,,239,124
234018,,,210,106
234019,,,209,105
234020,,,204,102
234021,,,215,109
234023,235,120,,
234024,166,80,,
234025,211,108,,
234026,222,113,,
234028,209,107,,
234029,220,112,,
234030,206,105,,
234031,170,83,,
234032,189,95,,
234033,167,81,,
234034,190,96,,
234035,171,84,,
234038,,,230,118
234040,,,208,104
234041,,,230,118
234042,,,215,109
234043,,,204,102
234045,,,238,123
234046,,,218,111
234047,,,194,96
234048,,,239,124
234049,,,197,98
234050,,,227,116
234051,,,197,98
235001,,,217,110
235003,196,99,,
235004,187,94,,
235005,,,199,99
235026,,,223,114
236001,224,114,,
236003,243,124,,
236004,259,130,,
236005,204,104,,
236006,,,192,95
236007,,,260,130
236008,,,248,130
236010,,,202,101
236013,,,245,128
236015,,,207,104
236016,,,223,114
236019,,,208,104
236024,,,189,93
236025,,,202,101
236026,,,207,104
236027,,,190,94
236029,,,231,119
236031,,,236,122
236041,,,230,118
236043,,,208,104
236044,,,208,104
236045,243,124,,
236047,185,93,,
236048,226,115,,
238002,245,125,,
239001,,,231,119
239011,,,185,91
239017,,,256,130
239019,,,234,121
239020,,,207,104
239021,198,100,,
239022,,,175,85
240002,217,111,,
240003,204,104,,
240004,,,216,109
240008,217,111,,
240009,,,209,105
240011,,,188,93
240013,,,200,100
240014,,,190,94
240015,,,221,112
240016,,,194,96
240020,164,79,,
240021,207,105,,
240022,151,69,,
240023,219,112,,
240025,174,86,,
240027,,,188,93
240028,,,237,123
240029,,,245,128
240030,,,200,100
240031,,,223,114
240032,,,238,123
240034,,,199,99
240035,,,169,82
240036,178,88,,
240037,179,89,,
240038,175,86,,
240039,181,90,,
240040,223,114,,
241001,,,201,100
241003,,,169,82
241007,195,99,,
241008,,,188,93
241009,,,195,97
241014,,,225,115
241016,,,207,104
241017,,,216,109
241018,180,89,,
241019,190,96,,
241020,,,223,114
241021,195,99,,
241022,,,214,108
241023,249,127,,
241025,205,104,,
241027,198,100,,
241028,,,220,112
241029,175,86,,
243005,,,175,85
243007,,,177,86
243011,,,231,119
243012,,,143,68
243013,,,193,95
243017,,,179,87
243019,,,240,125
243022,189,95,,
243023,,,249,130
243026,230,117,,
243027,,,249,130
243028,,,205,103
243030,,,185,91
243031,,,186,91
243032,,,193,95
243033,,,163,79
243034,,,245,128
244010,,,168,81
244024,,,158,76
244028,,,156,75
244034,,,156,75
244035,,,129,61
244036,,,126,60
244038,,,146,70
244039,,,119,57
244040,,,154,74
244041,,,162,78
244043,,,122,58
246001,,,189,93
246002,,,217,110
246003,,,210,106
246004,,,189,93
246005,,,244,127
246006,,,203,101
246007,,,243,127
246008,,,232,119
246009,,,223,114
246010,,,171,83
246011,,,131,62
246012,170,83,,
246013,,,197,98
246017,,,161,78
248004,169,82,,
248005,,,181,89
248006,,,207,104
248007,,,222,113
248012,,,198,98
248013,,,182,89
248014,,,182,89
248016,,,258,130
248017,,,174,85
248023,,,233,120
248024,,,250,130
248025,,,195,97
248030,,,188,93
248031,,,218,111
248033,,,234,121
248035,,,176,86
248036,,,174,85
248037,,,176,86
248038,185,93,,
248039,,,183,90
248040,,,181,89
248041,,,188,93
248042,,,170,82
248043,,,187,92
248045,,,158,76
248046,,,190,94
248047,,,203,101
248048,,,171,83
248049,,,214,108
248050,,,167,81
248051,,,224,114
248053,,,132,63
249006,,,156,75
249014,,,193,95
249015,,,209,105
249017,,,165,80
249018,,,214,108
249019,,,170,82
249020,,,151,72
249023,,,188,93
249024,,,168,81
251001,,,200,100
251002,,,208,104
251003,,,167,81
251004,,,187,92
251005,,,204,102
252001,,,155,74
252002,,,211,106
252010,,,188,93
252019,,,200,100
253001,,,196,97
253002,204,104,,
253003,,,195,97
253004,,,213,107
253005,,,233,120
253006,,,198,98
253009,,,208,104
253010,,,189,93
253011,,,187,92
253012,,,237,123
253013,,,175,85
253015,,,197,98
253016,,,209,105
253017,216,110,,
253019,,,210,106
253020,,,233,120
253021,,,179,87
253022,,,150,72
253023,,,197,98
253024,,,183,90
253025,,,181,89
253026,,,252,130
253027,,,176,86
253028,,,173,84
253029,,,181,89
253030,,,178,87
253031,,,209,105
253033,,,175,85
253034,,,194,96
253035,,,224,114
253036,,,196,97
253037,,,207,104
253038,,,215,109
253039,174,86,,
253040,,,204,102
253041,,,175,85
253042,,,194,96
253044,,,197,98
253045,,,196,97
253046,,,185,91
253047,,,188,93
253048,,,210,106
253049,,,207,104
253050,180,89,,
254001,233,119,,
254002,176,87,,
254003,242,123,,
254004,209,107,,
254005,222,113,,
254006,,,205,103
254007,,,212,107
254008,,,214,108
254009,,,182,89
254010,,,230,118
254011,,,225,115
254012,,,233,120
254013,,,224,114
254014,,,211,106
254015,,,253,130
254016,,,177,86
254017,,,211,106
254018,,,205,103
254019,,,225,115
254020,,,211,106
254021,,,207,104
254022,,,143,68
254023,,,171,83
254025,,,189,93
255003,,,242,126
255004,,,206,103
255005,,,219,111
255006,,,230,118
255007,,,227,116
255008,,,196,97
255010,,,201,100
255012,,,219,111
255013,,,208,104
255014,,,242,126
256001,,,234,121
256002,,,214,108
256003,,,209,105
256004,,,193,95
256005,,,166,80
256006,,,161,78
256007,,,173,84
256008,,,197,98
256009,,,158,76
256011,,,223,114
256012,,,194,96
256013,,,213,107
256014,,,209,105
256015,,,206,103
256016,,,204,102
256017,,,243,127
256018,,,207,104
256019,,,218,111
256020,,,257,130
256021,,,183,90
256022,,,201,100
256023,,,226,116
256024,,,203,101
256025,,,214,108
256026,,,223,114
256027,,,235,121
256028,,,230,118
256029,,,196,97
256030,,,205,103
256032,,,187,92
256033,,,182,89
256035,,,165,80
256036,,,186,91
256037,,,214,108
256038,,,186,91
256039,,,198,98
256040,,,170,82
256041,,,193,95
256042,,,204,102
256043,,,254,130
256044,,,220,112
256045,,,251,130
256046,,,221,112
256047,,,237,123
256048,,,173,84
256049,,,181,89
256050,,,199,99
257001,225,115,,
257002,207,105,,
257003,221,113,,
257004,160,76,,
257005,191,96,,
257012,,,172,84
257016,,,162,78
257017,,,182,89
257023,,,184,90
257024,,,195,97
257025,,,215,109
257032,,,210,106
258007,,,185,91
258019,,,181,89
258032,,,205,103
258033,,,235,121
259001,,,225,115
259003,,,220,112
259004,200,101,,
259007,,,215,109
259008,,,203,101
259009,,,215,109
259010,246,125,,
259011,,,252,130
259013,,,235,121
259014,,,242,126
259015,,,218,111
259016,,,186,91
259017,,,198,98
259018,,,212,107
259019,,,208,104
259020,,,235,121
259021,,,203,101
259022,,,245,128
259024,,,246,129
259025,,,205,103
259027,,,211,106
259030,,,210,106
259031,,,183,90
259032,,,200,100
259033,248,126,,
259034,,,213,107
259036,217,111,,
259037,,,145,69
259038,,,133,63
259039,,,199,99
259042,,,213,107
259043,,,148,71
259044,,,177,86
259046,,,219,111
259047,,,225,115
259049,235,120,,
259050,173,85,,
260001,,,227,116
260003,,,185,91
260004,,,223,114
260005,,,198,98
260006,,,213,107
260009,,,184,90
260010,,,219,111
260013,,,166,80
260014,,,188,93
260016,,,187,92
260017,,,233,120
260018,,,220,112
261001,,,213,107
261002,,,227,116
261003,168,82,,
261006,,,229,118
261007,,,161,78
261008,,,245,128
261009,,,200,100
261010,,,190,94
261011,,,209,105
261012,,,201,100
261013,,,194,96
261014,,,220,112
261015,,,210,106
261017,,,171,83
261018,,,192,95
261019,,,188,93
261020,,,214,108
261021,,,222,113
261022,,,171,83
261023,,,182,89
261024,,,170,82
261025,,,177,86
261026,,,207,104
261027,169,82,,
261028,,,204,102
261029,,,199,99
261030,,,187,92
261031,,,184,90
261033,,,160,77
261035,,,187,92
261036,,,197,98
261037,,,162,78
261039,,,192,95
261040,,,223,114
261041,,,216,109
261042,,,185,91
261043,,,199,99
261044,,,171,83
261045,,,191,94
261046,176,87,,
261047,,,183,90
261048,,,201,100
261049,,,162,78
262001,,,202,101
262002,,,245,128
262003,,,241,125
262004,154,72,,
262005,,,172,84
262006,,,212,107
262007,,,205,103
262008,202,103,,
262009,,,163,79
262010,,,229,118
262011,,,208,104
262012,,,243,127
262013,,,182,89
262015,,,208,104
262016,,,140,67
262018,,,214,108
262019,,,197,98
262020,,,241,125
262021,,,188,93
262022,,,198,98
262023,,,245,128
262024,,,194,96
262025,,,182,89
262027,174,86,,
262035,,,229,118
262036,,,254,130
262043,196,99,,
262045,,,183,90
262046,,,172,84
262047,175,86,,
262048,,,148,71
262049,188,94,,
262051,228,116,,
262052,,,196,97
262053,197,100,,
262054,188,94,,
262055,185,93,,
262056,182,91,,
262057,200,101,,
262058,,,230,118
262059,,,195,97
262061,196,99,,
262062,,,237,123
262063,175,86,,
262064,,,215,109
262065,,,219,111
262066,,,217,110
262070,,,185,91
262071,189,95,,
262072,,,236,122
262073,,,227,116
262074,,,235,121
262075,,,245,128
263001,,,193,95
263002,,,196,97
263003,,,159,77
263004,,,150,72
263005,,,146,70
263006,,,132,63
263007,,,144,69
264002,,,224,114
264003,,,201,100
264004,,,243,127
264006,,,186,91
264007,,,180,88
264008,,,200,100
264010,,,191,94
264011,,,213,107
264012,,,165,80
264013,,,254,130
264014,,,220,112
264017,,,230,118
264018,,,245,128
264019,,,186,91
264020,,,251,130
264021,,,195,97
264022,,,199,99
264023,,,239,124
264024,,,244,127
264025,,,212,107
264026,,,204,102
264027,,,207,104
264028,,,224,114
264030,,,256,130
264032,,,192,95
264033,,,174,85
264034,,,196,97
264035,,,233,120
264036,,,223,114
264037,,,209,105
264038,,,236,122
264039,,,185,91
264040,,,233,120
264041,,,197,98
264042,,,251,130
264047,,,138,66
264048,,,215,109
265001,,,184,90
265002,,,161,78
265004,,,195,97
265005,,,186,91
265006,,,201,100
265007,,,202,101
265009,,,235,121
265010,,,216,109
265012,,,232,119
265014,,,225,115
265015,194,98,,
265017,,,156,75
265019,233,119,,
265020,,,186,91
265021,,,202,101
266001,,,183,90
266002,,,214,108
266003,,,221,112
266004,244,124,,
266005,,,165,80
266006,,,185,91
266008,,,185,91
266009,,,205,103
266010,,,191,94
266011,,,190,94
266012,,,181,89
266013,,,179,87
266014,,,210,106
266015,175,86,,
266016,,,179,87
266017,211,108,,
267001,,,227,116
267002,,,200,100
267005,,,193,95
267006,,,213,107
267007,,,216,109
268007,,,167,81
268008,,,186,91
269001,,,151,72
269003,,,192,95
269005,,,184,90
269006,,,224,114
269007,,,260,130
269008,,,190,94
269009,,,188,93
269011,,,230,118
269012,206,105,,
269013,,,207,104
271001,,,179,87
271002,,,202,101
271003,,,208,104
271005,,,200,100
271006,,,247,129
271007,,,187,92
271008,,,204,102
271010,,,231,119
271011,,,258,130
271015,,,260,130
301001,,,235,121
301002,,,229,118
302001,179,89,,
302002,241,123,,
302005,,,173,84
302006,,,184,90
302007,,,166,80
302009,,,163,79
302010,,,226,116
302011,,,211,106
302012,,,236,122
302013,,,215,109
302014,,,150,72
302015,,,174,85
302016,,,202,101
302017,,,192,95
302019,,,198,98
302020,,,203,101
302021,,,171,83
302022,,,216,109
302023,,,225,115
302025,,,205,103
302026,,,179,87
302027,,,182,89
302028,,,194,96
302030,,,188,93
302031,,,231,119
302033,,,173,84
305001,,,225,115
305002,,,212,107
305003,,,214,108
305004,,,205,103
305005,212,108,,
305006,,,223,114
305007,,,197,98
305008,,,179,87
305009,,,145,69
305010,,,176,86
305011,210,107,,
305012,,,210,106
305013,,,193,95
305014,205,104,,
305016,,,231,119
305018,,,237,123
305019,,,206,103
305020,169,82,,
305021,,,206,103
305023,,,211,106
305024,,,220,112
305025,,,234,121
305026,251,127,,
305027,,,211,106
305028,,,207,104
305029,,,211,106
307001,,,202,101
307002,,,173,84
307005,,,192,95
307006,,,197,98
307007,,,239,124
307008,,,237,123
307009,,,200,100
307010,,,197,98
307011,,,200,100
307012,,,190,94
307013,,,211,106
307014,,,194,96
307015,,,240,125
307016,,,209,105
307017,,,205,103
309001,,,260,130
309003,,,185,91
309005,,,191,94
309006,,,212,107
309007,,,205,103
309009,,,196,97
309010,,,196,97
309011,,,200,100
309012,,,200,100
309013,,,193,95
309014,187,94,,
309015,,,235,121
309017,,,231,119
309018,,,206,103
309019,,,203,101
309020,,,229,118
309021,,,177,86
309022,,,243,127
309023,,,213,107
309024,,,188,93
309025,,,210,106
309026,180,89,,
309027,,,196,97
309028,,,209,105
309030,,,235,121
309031,,,162,78
309032,,,223,114
309033,186,93,,
309034,,,206,103
309035,181,90,,
309036,168,82,,
309037,,,244,127
309038,,,222,113
309039,,,146,70
309040,,,221,112
309041,,,221,112
309042,,,188,93
309043,184,92,,
309044,,,227,116
309045,,,207,104
309046,,,207,104
309047,,,241,125
309048,,,209,105
309049,,,224,114
310002,,,193,95
310003,,,180,88
310004,,,201,100
310005,,,161,78
310006,,,211,106
310007,,,168,81
310008,,,171,83
310009,,,219,111
310010,,,186,91
310011,,,219,111
310012,164,79,,
310013,162,77,,
310014,,,206,103
310017,,,223,114
310019,190,96,,
310022,180,89,,
313002,,,144,69
313003,,,189,93
313004,,,187,92
313006,,,200,100
313008,,,212,107
313009,,,189,93
313010,,,162,78
313011,,,177,86
313014,,,174,85
313015,,,202,101
313016,,,197,98
314003,,,209,105
314005,,,167,81
314006,,,201,100
314007,,,201,100
314008,,,205,103
314010,,,150,72
314011,,,200,100
314012,153,71,,
314013,,,178,87
314014,,,191,94
315001,,,230,118
315002,,,148,71
315003,189,95,,
315004,,,190,94
315005,177,88,,
315006,171,84,,
315007,,,220,112
315008,,,179,87
315009,166,80,,
315010,174,86,,
315011,,,204,102
315012,183,91,,
315013,,,145,69
315015,,,174,85
315016,175,86,,
315017,200,101,,
315018,,,169,82
315019,203,103,,
315020,175,86,,
316002,,,201,100
316003,,,237,123
316004,161,77,,
316005,,,224,114
316006,,,194,96
316007,,,199,99
316008,,,192,95
316010,,,199,99
316011,,,212,107
316012,,,204,102
316013,,,199,99
316014,,,181,89
317001,,,213,107
317002,,,192,95
317003,,,178,87
317004,,,173,84
317005,,,151,72
317006,,,173,84
317007,,,192,95
317008,180,89,,
317009,,,222,113
317010,,,177,86
317011,178,88,,
317014,,,239,124
317015,,,260,130
317016,,,183,90
318002,,,177,86
318003,,,212,107
318004,,,177,86
318008,,,173,84
318009,,,203,101
318014,,,203,101
318015,228,116,,
318016,,,214,108
318018,210,107,,
318019,208,106,,
318021,186,93,,
318022,213,109,,
318023,207,105,,
318024,,,138,66
318025,191,96,,
318026,,,207,104
318027,183,91,,
319001,,,142,68
319002,,,221,112
319003,,,204,102
319004,,,200,100
319005,,,207,104
319006,,,150,72
319007,,,186,91
319008,,,160,77
321001,,,198,98
321002,,,212,107
321003,,,197,98
321004,,,178,87
321005,,,204,102
321006,,,212,107
321007,,,230,118
321008,,,198,98
321009,,,213,107
321010,,,230,118
321011,,,226,116
321012,,,218,111
321013,,,203,101
321014,,,216,109
321015,,,196,97
323001,,,195,97
323003,183,91,,
323004,,,197,98
323007,,,164,79
323008,,,195,97
323010,228,116,,
323013,,,182,89
323014,,,231,119
323015,,,176,86
323016,,,221,112
325002,,,179,87
325004,,,197,98
325008,192,97,,
325011,,,227,116
325013,,,204,102
325014,,,208,104
325015,,,197,98
325016,,,193,95
326001,,,169,82
326002,,,131,62
326003,,,173,84
326004,,,205,103
326005,,,150,72
326006,240,122,,
326008,,,207,104
326011,,,136,65
326013,166,80,,
326021,,,134,64
326023,195,99,,
326025,244,124,,
326026,193,97,,
327002,,,189,93
327004,170,83,,
327007,168,82,,
327008,,,205,103
327009,,,171,83
327010,,,147,70
327011,,,184,90
327012,,,179,87
327014,,,220,112
327015,,,149,71
327016,,,211,106
327017,,,156,75
327018,,,176,86
327019,,,172,84
327020,,,156,75
327021,,,148,71
327023,,,153,73
327024,178,88,,
327025,193,97,,
327026,,,239,124
327027,,,179,87
327028,,,165,80
327030,,,164,79
327031,,,204,102
327032,,,184,90
327033,206,105,,
327034,,,209,105
327036,,,193,95
327037,,,173,84
327038,,,198,98
327039,,,189,93
327040,,,181,89
327041,192,97,,
327042,,,228,117
327043,,,211,106
327044,,,208,104
327045,,,194,96
327046,,,199,99
327047,,,164,79
327048,,,219,111
327049,,,219,111
327050,170,83,,
328001,,,191,94
328003,,,176,86
328004,,,157,75
328005,185,93,,
328006,,,199,99
328007,185,93,,
328008,,,202,101
328009,171,84,,
328010,,,163,79
328011,,,193,95
328012,,,204,102
329002,,,191,94
329003,,,198,98
329004,,,233,120
329006,,,186,91
329007,,,208,104
329008,,,200,100
329014,,,190,94
329017,,,184,90
329018,,,198,98
330001,,,172,84
330002,,,206,103
330003,,,184,90
330004,,,177,86
330005,,,181,89
330006,,,172,84
330007,,,201,100
330008,,,219,111
330009,,,205,103
330010,,,222,113
330011,,,223,114
330012,,,196,97
330013,,,198,98
330014,,,188,93
331001,189,95,,
331002,141,62,,
331003,,,154,74
331004,,,226,116
331005,,,227,116
331007,,,200,100
331008,,,235,121
331009,,,215,109
331011,,,152,73
331012,,,208,104
331013,,,200,100
331014,,,195,97
331015,,,167,81
331016,,,202,101
333008,,,184,90
333009,,,198,98
333011,202,103,,
333012,,,220,112
333013,185,93,,
336001,,,203,101
336002,,,193,95
336004,,,166,80
336005,,,170,82
336006,211,108,,
336007,,,183,90
336008,,,167,81
336010,,,207,104
336011,,,185,91
336012,,,216,109
336013,,,179,87
336014,201,102,,
336016,,,179,87
336017,,,201,100
338001,,,166,80
338003,190,96,,
338004,,,126,60
338005,158,75,,
338007,182,91,,
338009,,,208,104
338011,,,189,93
338012,,,220,112
339001,203,103,,
339002,,,225,115
339003,,,171,83
339004,,,218,111
339005,,,229,118
339007,,,216,109
339009,,,213,107
342001,,,234,121
342002,,,194,96
342003,,,204,102
342005,,,195,97
342006,,,181,89
342008,,,212,107
342009,,,190,94
342010,,,207,104
342011,,,224,114
342012,,,204,102
342013,,,194,96
342015,,,171,83
342018,,,161,78
342019,,,128,61
342020,,,143,68
342021,,,169,82
342022,,,158,76
342023,,,190,94
342024,,,178,87
342027,,,194,96
342028,,,196,97
342030,,,147,70
342031,,,168,81
342033,,,144,69
342037,,,172,84
342038,,,196,97
342039,,,215,109
342040,,,176,86
342041,,,188,93
342045,,,220,112
342047,,,212,107
342048,,,189,93
342049,,,187,92
346002,170,83,,
346003,,,187,92
346005,,,214,108
346007,,,134,64
346008,197,100,,
346011,,,231,119
346012,,,195,97
346014,,,170,82
346015,,,140,67
348001,191,96,,
348002,219,112,,
348003,202,103,,
