ID,DRIW_grade,DRIW_grade_ss,DRIQ_grade,DRIQ_grade_ss
243012,,,131,65
243013,,,200,100
243017,,,171,84
243019,,,233,120
243022,202,98,,
243023,,,249,130
243026,217,107,,
243027,,,250,130
243028,,,199,99
243030,,,190,94
243031,,,190,94
243032,,,196,97
243033,,,159,78
243034,,,238,124
244010,,,171,84
244024,,,157,77
244028,,,166,81
244034,,,166,81
244035,,,132,65
244036,,,129,64
244038,,,146,71
244039,,,114,58
244040,,,151,74
244041,,,161,79
244043,,,116,59
246001,,,187,92
246002,,,222,113
246003,,,204,102
246004,,,187,92
246005,,,242,127
246006,,,206,103
246007,,,237,123
246008,,,227,116
246009,,,217,110
246010,,,169,83
246011,,,128,64
246012,160,76,,
246013,,,194,96
246017,,,152,74
248004,177,85,,
248005,,,184,91
248006,,,202,101
248007,,,238,124
248012,,,197,98
248013,,,184,91
248014,,,179,88
248016,,,242,127
248017,,,169,83
248023,,,239,125
248024,,,241,126
248025,,,202,101
248030,,,193,96
248031,,,223,114
248033,,,238,124
248035,,,174,85
248036,,,177,87
248037,,,176,86
248038,190,92,,
248039,,,179,88
248040,,,176,86
248041,,,194,96
248042,,,173,85
248043,,,183,90
248045,,,158,77
248046,,,174,85
248047,,,208,104
248048,,,160,78
248049,,,213,108
248050,,,166,81
248051,,,214,108
248053,,,125,63
249006,,,160,78
249014,,,196,97
249015,,,217,110
249017,,,159,78
249018,,,220,112
249019,,,154,75
249020,,,140,69
249021,,,145,71
249023,,,184,91
249024,,,169,83
251001,,,198,98
251002,,,211,106
251003,,,162,79
251004,,,186,92
251005,,,206,103
252001,,,155,76
252002,,,214,108
252010,,,190,94
252019,,,200,100
253001,,,177,87
253002,181,87,,
253003,,,191,94
253004,,,204,102
253005,,,225,115
253006,,,184,91
253008,,,220,112
253009,,,193,96
253010,,,185,91
253011,,,184,91
253012,,,235,122
253013,,,168,82
253015,,,190,94
253016,,,198,98
253017,201,98,,
253019,,,210,106
253020,,,230,118
253021,,,167,82
253022,,,142,70
253023,,,199,99
253024,,,177,87
253025,,,176,86
253026,,,241,126
253027,,,173,85
253028,,,170,83
253029,,,178,87
253030,,,178,87
253031,,,205,103
253033,,,166,81
253034,,,185,91
253035,,,225,115
253036,,,188,93
253037,,,205,103
253038,,,213,108
253039,175,84,,
253040,,,193,96
253041,,,166,81
253042,,,194,96
253044,,,184,91
253045,,,191,94
253046,,,178,87
253047,,,177,87
253048,,,211,106
253049,,,201,100
253050,182,87,,
254001,234,116,,
254002,183,88,,
254003,250,126,,
254004,225,111,,
254005,217,107,,
254006,,,215,109
254007,,,208,104
254008,,,217,110
254009,,,183,90
254010,,,231,119
254011,,,232,120
254012,,,234,121
254013,,,220,112
254014,,,214,108
254015,,,250,130
254016,,,183,90
254017,,,214,108
254018,,,203,101
254019,,,230,118
254020,,,210,106
254021,,,210,106
254022,,,144,71
254023,,,178,87
254025,,,188,93
255003,,,244,128
255004,,,209,105
255005,,,217,110
255006,,,235,122
255007,,,233,120
255008,,,199,99
255010,,,210,106
255012,,,214,108
255013,,,206,103
255014,,,235,122
256001,,,235,122
256002,,,223,114
256003,,,211,106
256004,,,196,97
256005,,,169,83
256006,,,157,77
256007,,,173,85
256008,,,203,101
256009,,,159,78
256011,,,220,112
256012,,,198,98
256013,,,214,108
256014,,,208,104
256015,,,208,104
256016,,,203,101
256017,,,249,130
256018,,,214,108
256019,,,222,113
256020,,,251,130
256021,,,179,88
256022,,,200,100
256023,,,229,118
256024,,,201,100
256025,,,210,106
256026,,,216,109
256027,,,232,120
256028,,,227,116
256029,,,192,95
256030,,,207,104
256032,,,187,92
256033,,,184,91
256035,,,155,76
256036,,,187,92
256037,,,209,105
256038,,,180,88
256039,,,200,100
256040,,,164,80
256041,,,194,96
256042,,,205,103
256043,,,246,129
256044,,,221,113
256045,,,231,119
256046,,,222,113
256047,,,242,127
256048,,,172,84
256049,,,182,89
256050,,,190,94
257001,244,122,,
257002,232,115,,
257003,226,112,,
257004,179,86,,
257005,204,99,,
257012,,,175,86
257016,,,171,84
257017,,,186,92
257023,,,194,96
257024,,,211,106
257025,,,216,109
257032,,,223,114
258007,,,177,87
258019,,,183,90
258032,,,208,104
258033,,,238,124
259001,,,228,117
259003,,,220,112
259004,187,90,,
259007,,,209,105
259008,,,209,105
259009,,,217,110
259010,241,120,,
259011,,,242,127
259013,,,237,123
259014,,,242,127
259015,,,220,112
259016,,,189,93
259017,,,200,100
259018,,,214,108
259019,,,202,101
259020,,,229,118
259021,,,201,100
259022,,,244,128
259024,,,235,122
259025,,,213,108
259027,,,216,109
259030,,,212,107
259031,,,185,91
259032,,,206,103
259033,240,120,,
259034,,,209,105
259036,224,111,,
259038,,,135,67
259039,,,201,100
259042,,,206,103
259043,,,147,72
259044,,,178,87
259046,,,215,109
259047,,,207,104
259049,239,119,,
259050,162,77,,
260001,,,230,118
260003,,,194,96
260004,,,218,111
260005,,,182,89
260006,,,215,109
260009,,,187,92
260010,,,219,111
260013,,,171,84
260014,,,184,91
260016,,,190,94
260017,,,232,120
260018,,,215,109
261001,,,221,113
261002,,,223,114
261003,157,74,,
261006,,,238,124
261007,,,156,76
261008,,,246,129
261009,,,211,106
261010,,,201,100
261011,,,207,104
261012,,,200,100
261013,,,192,95
261014,,,226,116
261015,,,206,103
261017,,,181,89
261018,,,188,93
261019,,,192,95
261020,,,215,109
261021,,,208,104
261022,,,164,80
261023,,,178,87
261024,,,176,86
261025,,,183,90
261026,,,215,109
261027,175,84,,
261028,,,201,100
261029,,,204,102
261030,,,188,93
261031,,,185,91
261033,,,158,77
261035,,,185,91
261036,,,193,96
261037,,,163,80
261039,,,193,96
261040,,,226,116
261041,,,216,109
261042,,,182,89
261043,,,189,93
261044,,,174,85
261045,,,192,95
261046,173,83,,
261047,,,181,89
261048,,,197,98
261049,,,160,78
262001,,,198,98
262002,,,246,129
262003,,,242,127
262004,136,64,,
262005,,,157,77
262006,,,207,104
262007,,,200,100
262008,189,91,,
262009,,,153,75
262010,,,218,111
262011,,,203,101
262012,,,247,130
262013,,,182,89
262014,,,194,96
262015,,,194,96
262016,,,123,62
262018,,,212,107
262019,,,204,102
262020,,,239,125
262021,,,188,93
262022,,,194,96
262023,,,245,129
262024,,,196,97
262025,,,183,90
262027,180,86,,
262035,,,236,122
262036,,,252,130
262043,209,102,,
262045,,,176,86
262046,,,169,83
262047,202,98,,
262048,,,147,72
262049,176,84,,
262051,232,115,,
262052,,,198,98
262053,203,99,,
262054,191,92,,
262055,210,103,,
262056,195,94,,
262057,215,106,,
262058,,,231,119
262059,,,192,95
262061,199,97,,
262062,,,236,122
262063,191,92,,
262064,,,213,108
262065,,,221,113
262066,,,211,106
262070,,,189,93
262071,195,94,,
262072,,,234,121
262073,,,228,117
262074,,,237,123
262075,,,246,129
263001,,,187,92
263002,,,192,95
263003,,,149,73
263004,,,145,71
263005,,,144,71
263006,,,118,60
263007,,,134,66
264002,,,210,106
264003,,,203,101
264004,,,233,120
264006,,,190,94
264007,,,179,88
264008,,,202,101
264010,,,192,95
264011,,,217,110
264012,,,160,78
264013,,,254,130
264014,,,224,115
264017,,,230,118
264018,,,243,127
264019,,,187,92
264020,,,248,130
264021,,,199,99
264022,,,192,95
264023,,,246,129
264024,,,243,127
264025,,,217,110
264026,,,207,104
264027,,,210,106
264028,,,220,112
264030,,,257,130
264032,,,196,97
264033,,,173,85
264034,,,202,101
264035,,,234,121
264036,,,228,117
264037,,,219,111
264038,,,240,125
264039,,,189,93
264040,,,239,125
264041,,,200,100
264042,,,245,129
264047,,,147,72
264048,,,220,112
265001,,,183,90
265002,,,159,78
265004,,,195,97
265005,,,185,91
265006,,,197,98
265007,,,201,100
265009,,,231,119
265010,,,216,109
265012,,,227,116
265014,,,236,122
265015,203,99,,
265017,,,150,73
265019,230,114,,
265020,,,178,87
265021,,,201,100
266001,,,187,92
266002,,,219,111
266003,,,223,114
266004,256,129,,
266005,,,182,89
266006,,,190,94
266008,,,187,92
266009,,,204,102
266010,,,192,95
266011,,,195,97
266012,,,184,91
266013,,,183,90
266014,,,207,104
266015,201,98,,
266016,,,189,93
266019,242,121,,
267001,,,227,116
267002,,,202,101
267005,,,195,97
267006,,,216,109
267007,,,219,111
268006,,,198,98
268007,,,165,81
268008,,,178,87
269001,,,145,71
269003,,,194,96
269005,,,183,90
269006,,,225,115
269007,,,258,130
269008,,,188,93
269009,,,182,89
269011,,,212,107
269012,195,94,,
269013,,,198,98
271001,,,170,83
271002,,,203,101
271003,,,208,104
271005,,,196,97
271006,,,251,130
271007,,,185,91
271008,,,209,105
271010,,,214,108
271011,,,258,130
271015,,,260,130
301001,,,235,122
301002,,,230,118
302001,177,85,,
302002,228,113,,
302005,,,164,80
302006,,,169,83
302007,,,151,74
302009,,,172,84
302010,,,220,112
302011,,,213,108
302012,,,243,127
302013,,,217,110
302014,,,149,73
302015,,,171,84
302016,,,208,104
302017,,,190,94
302019,,,197,98
302020,,,201,100
302021,,,172,84
302022,,,218,111
302023,,,227,116
302025,,,205,103
302026,,,180,88
302027,,,187,92
302028,,,196,97
302030,,,186,92
302031,,,232,120
302033,,,168,82
305001,,,218,111
305002,,,212,107
305003,,,212,107
305004,,,208,104
305005,218,107,,
305006,,,218,111
305007,,,201,100
305008,,,172,84
305009,,,137,67
305010,,,178,87
305011,200,97,,
305012,,,206,103
305013,,,189,93
305014,212,104,,
305016,,,224,115
305018,,,238,124
305019,,,191,94
305020,174,83,,
305021,,,204,102
305023,,,213,108
305024,,,225,115
305025,,,233,120
305026,248,124,,
305027,,,213,108
305028,,,207,104
305029,,,210,106
307001,,,199,99
307002,,,157,77
307004,,,131,65
307005,,,195,97
307006,,,193,96
307007,,,239,125
307008,,,233,120
307009,,,199,99
307010,,,197,98
307011,,,202,101
307012,,,190,94
307013,,,214,108
307014,,,192,95
307015,,,242,127
307016,,,204,102
307017,,,206,103
309001,,,260,130
309003,,,186,92
309005,,,189,93
309006,,,213,108
309007,,,208,104
309009,,,198,98
309010,,,199,99
309011,,,198,98
309012,,,198,98
309013,,,194,96
309014,193,93,,
309015,,,223,114
309017,,,229,118
309018,,,205,103
309019,,,206,103
309020,,,225,115
309021,,,168,82
309022,,,239,125
309023,,,211,106
309024,,,190,94
309025,,,206,103
309026,167,80,,
309027,,,185,91
309028,,,215,109
309030,,,234,121
309031,,,160,78
309032,,,221,113
309033,180,86,,
309034,,,201,100
309035,196,95,,
309036,173,83,,
309037,,,247,130
309038,,,223,114
309039,,,140,69
309040,,,219,111
309041,,,217,110
309042,,,186,92
309043,190,92,,
309044,,,225,115
309045,,,206,103
309046,,,209,105
309047,,,242,127
309048,,,215,109
309049,,,223,114
310002,,,196,97
310003,,,183,90
310004,,,197,98
310005,,,150,73
310006,,,214,108
310007,,,164,80
310008,,,166,81
310009,,,215,109
310010,,,183,90
310011,,,215,109
310012,151,71,,
310013,167,80,,
310014,,,196,97
310017,,,222,113
310019,196,95,,
310022,186,90,,
313002,,,149,73
313003,,,175,86
313004,,,197,98
313006,,,201,100
313008,,,215,109
313009,,,188,93
313010,,,158,77
313011,,,177,87
313014,,,173,85
313015,,,209,105
313016,,,202,101
314003,,,208,104
314005,,,165,81
314006,,,203,101
314007,,,204,102
314008,,,196,97
314010,,,150,73
314011,,,206,103
314012,167,80,,
314013,,,183,90
314014,,,196,97
315001,,,213,108
315002,,,135,67
315003,178,85,,
315004,,,187,92
315005,175,84,,
315006,187,90,,
315007,,,222,113
315008,,,175,86
315009,164,78,,
315010,189,91,,
315011,,,196,97
315012,183,88,,
315013,,,138,68
315014,,,194,96
315015,,,171,84
315016,202,98,,
315017,215,106,,
315018,,,171,84
315019,200,97,,
315020,181,87,,
316002,,,204,102
316003,,,231,119
316004,170,81,,
316005,,,229,118
316006,,,196,97
316007,,,199,99
316008,,,193,96
316010,,,207,104
316011,,,215,109
316012,,,197,98
316013,,,202,101
316014,,,178,87
317001,,,217,110
317002,,,189,93
317003,,,179,88
317004,,,173,85
317005,,,142,70
317006,,,174,85
317007,,,195,97
317008,197,96,,
317009,,,217,110
317010,,,176,86
317011,184,88,,
317014,,,242,127
317015,,,260,130
317016,,,174,85
318002,,,188,93
318003,,,214,108
318004,,,177,87
318008,,,176,86
318009,,,206,103
318014,,,200,100
318015,221,109,,
318016,,,212,107
318018,219,108,,
318019,196,95,,
318021,202,98,,
318022,221,109,,
318023,222,109,,
318024,,,136,67
318025,177,85,,
318026,,,210,106
318027,198,96,,
319001,,,142,70
319002,,,216,109
319003,,,199,99
319004,,,197,98
319005,,,204,102
319006,,,153,75
319007,,,188,93
319008,,,152,74
321001,,,208,104
321002,,,215,109
321003,,,202,101
321004,,,176,86
321005,,,206,103
321006,,,215,109
321007,,,231,119
321008,,,206,103
321009,,,209,105
321010,,,239,125
321011,,,234,121
321012,,,209,105
321013,,,212,107
321014,,,213,108
321015,,,200,100
323001,,,187,92
323003,182,87,,
323004,,,195,97
323007,,,172,84
323008,,,193,96
323010,222,109,,
323013,,,179,88
323014,,,233,120
323015,,,183,90
323016,,,221,113
325002,,,175,86
325004,,,192,95
325008,208,102,,
325011,,,222,113
325013,,,206,103
325014,,,202,101
325015,,,192,95
325016,,,190,94
326001,,,165,81
326002,,,137,67
326003,,,169,83
326004,,,201,100
326005,,,140,69
326006,251,126,,
326008,,,199,99
326011,,,132,65
326013,199,97,,
326023,197,96,,
326025,251,126,,
326026,227,112,,
326027,123,58,,
327002,,,188,93
327004,196,95,,
327007,169,81,,
327008,,,191,94
327009,,,174,85
327010,,,161,79
327011,,,185,91
327012,,,181,89
327014,,,222,113
327015,,,149,73
327016,,,207,104
327017,,,150,73
327018,,,178,87
327019,,,170,83
327020,,,149,73
327021,,,145,71
327023,,,152,74
327024,213,104,,
327025,208,102,,
327026,,,237,123
327027,,,169,83
327028,,,168,82
327030,,,162,79
327031,,,206,103
327032,,,176,86
327033,232,115,,
327034,,,212,107
327036,,,197,98
327037,,,178,87
327038,,,202,101
327039,,,197,98
327040,,,173,85
327041,187,90,,
327042,,,221,113
327043,,,212,107
327044,,,211,106
327045,,,196,97
327046,,,201,100
327047,,,158,77
327048,,,224,115
327049,,,220,112
327050,172,82,,
328001,,,188,93
328003,,,173,85
328004,,,159,78
328005,181,87,,
328006,,,203,101
328007,194,94,,
328008,,,206,103
328009,178,85,,
328010,,,165,81
328011,,,189,93
328012,,,207,104
329002,,,189,93
329003,,,200,100
329004,,,231,119
329006,,,184,91
329007,,,217,110
329008,,,199,99
329014,,,192,95
329017,,,182,89
329018,,,203,101
330001,,,168,82
330002,,,210,106
330003,,,181,89
330004,,,178,87
330005,,,192,95
330006,,,173,85
330007,,,200,100
330008,,,220,112
330009,,,205,103
330010,,,223,114
330011,,,214,108
330012,,,199,99
330013,,,204,102
330014,,,190,94
331001,204,99,,
331002,133,62,,
331003,,,155,76
331004,,,220,112
331005,,,229,118
331007,,,203,101
331008,,,233,120
331009,,,214,108
331011,,,150,73
331012,,,208,104
331013,,,197,98
331014,,,195,97
331015,,,167,82
331016,,,198,98
333008,,,185,91
333009,,,192,95
333011,217,107,,
333012,,,219,111
333013,220,108,,
336001,,,198,98
336002,,,185,91
336004,,,166,81
336005,,,164,80
336006,198,96,,
336007,,,181,89
336008,,,162,79
336010,,,207,104
336011,,,183,90
336012,,,211,106
336013,,,180,88
336014,203,99,,
336016,,,178,87
336017,,,199,99
338001,,,158,77
338003,193,93,,
338004,,,114,58
338005,171,82,,
338007,198,96,,
338009,,,204,102
338011,,,180,88
338012,,,222,113
339001,205,100,,
339002,,,221,113
339003,,,173,85
339004,,,218,111
339005,,,228,117
339007,,,210,106
339009,,,222,113
342001,,,235,122
342002,,,199,99
342003,,,211,106
342005,,,200,100
342006,,,178,87
342008,,,212,107
342009,,,193,96
342010,,,203,101
342011,,,226,116
342012,,,206,103
342013,,,199,99
342015,,,173,85
342018,,,165,81
342019,,,120,61
342020,,,137,67
342021,,,172,84
342022,,,164,80
342023,,,189,93
342024,,,176,86
342027,,,199,99
342028,,,195,97
342030,,,134,66
342031,,,158,77
342033,,,131,65
342037,,,161,79
342038,,,198,98
342039,,,218,111
342040,,,177,87
342041,,,198,98
342045,,,225,115
342047,,,219,111
342048,,,196,97
342049,,,188,93
346002,185,89,,
346003,,,193,96
346005,,,210,106
346007,,,131,65
346008,183,88,,
346011,,,220,112
