ID,age,gender,ethnicity,SES
259007,16,1,2,4
259008,15,2,2,2
259009,10,1,2,4
259010,6,2,2,3
259011,18,2,3,4
259012,12,2,1,4
259014,8,2,2,4
259023,21,2,2,3
259024,18,2,6,2
259026,20,2,2,3
259026,20,2,2,3
259028,11,1,2,4
260001,11,1,3,1
260002,8,2,3,4
260003,9,2,3,1
260004,7,1,3,4
260005,8,2,2,3
260005,8,2,2,3
260005,8,2,2,3
260005,8,2,2,3
260006,11,1,3,4
260007,8,1,3,4
260009,9,2,3,1
260011,25,1,3,3
260012,8,2,3,1
260013,10,1,6,4
260014,7,2,6,4
260016,8,1,3,3
260017,7,1,3,3
260018,7,2,3,4
261004,18,2,3,4
261005,20,2,3,3
261006,8,2,3,3
261007,8,2,3,4
261008,8,2,3,3
261009,8,1,3,4
261010,8,1,3,3
261011,13,1,3,4
261012,12,1,3,3
261013,10,1,3,2
261014,14,1,3,2
261022,11,1,3,4
261023,11,2,3,3
261031,11,1,3,4
261032,20,1,3,3
262002,14,1,3,4
262003,12,1,3,4
262008,6,2,3,4
262009,7,1,2,4
262010,9,2,3,4
262011,11,1,3,4
262012,13,1,3,4
262013,12,1,3,4
262017,14,1,6,4
262018,12,1,6,4
262019,10,1,6,4
262020,7,2,6,4
262022,12,1,3,3
262023,15,2,3,4
264001,62,2,3,2
264003,15,1,3,1
264004,18,2,3,4
264005,20,2,3,4
264006,13,2,3,4
264009,19,1,3,3
264010,17,1,3,4
264011,14,1,3,4
264012,7,2,3,4
264013,15,2,3,4
264014,17,2,3,4
264028,13,1,3,4
264029,20,2,3,2
264030,15,2,3,4
264031,18,2,3,2
264038,12,2,3,4
264040,14,1,3,4
264041,13,1,3,4
264042,17,2,3,4
264043,14,1,3,4
264044,21,1,3,3
264045,16,1,3,4
264046,21,2,6,4
