ID,age_combined,Gender,HighestEducation,Ethnicity
210024,17,2,4,7
210025,9,2,4,7
210026,21,2,4,7
210027,20,2,4,7
210028,19,2,4,7
210029,21,1,3,7
210030,17,2,4,7
210031,15,2,2,7
210032,13,2,2,7
210033,20,1,2,7
210034,16,1,2,7
210035,12,2,2,7
210036,11,2,4,7
210037,7,2,4,7
210038,21,2,4,7
210040,13,2,2,7
210041,15,2,2,7
210042,16,2,2,7
210043,7,1,3,7
210045,21,1,4,7
210046,9,1,3,7
210047,15,2,3,7
210048,17,1,3,7
211001,22,1,4,1
211002,10,1,4,7
211004,17,2,4,1
211005,20,1,4,3
211006,14,1,4,3
211007,7,1,4,3
211009,16,1,4,3
211010,11,1,4,2
211012,20,2,4,3
211013,23,2,4,3
211014,11,2,4,3
211015,21,2,4,3
211016,9,2,2,3
211017,15,2,2,3
211018,16,1,4,3
211019,22,2,4,3
211020,15,1,4,3
211021,18,1,4,6
211022,21,2,4,3
211023,24,1,3,3
211024,13,2,2,3
211025,23,2,4,3
211026,21,1,4,3
211027,14,2,4,3
211028,10,2,4,3
211029,15,1,3,3
211030,17,1,4,3
211031,21,2,4,3
211032,16,2,2,3
211033,10,2,4,6
211034,8,1,4,6
211035,11,1,4,3
211036,13,1,4,3
211037,21,2,4,3
211038,16,1,4,3
211039,13,2,4,3
211040,21,2,4,7
211041,14,1,4,7
211042,14,1,4,3
211044,15,1,4,6
211045,21,2,3,3
211046,19,2,3,3
211047,18,2,4,6
211048,20,2,3,3
211049,16,2,2,3
211050,16,1,2,3
211051,9,2,2,3
211052,13,1,2,3
211053,20,2,4,3
211054,21,2,4,3
211055,19,1,3,7
211058,20,2,3,3
211059,19,2,3,3
211060,17,1,2,3
211061,18,1,2,3
211062,12,2,4,3
211063,13,2,4,3
211064,15,2,4,3
211065,17,2,2,7
211066,15,2,2,7
211067,13,1,2,7
211068,16,1,2,3
211069,15,1,2,3
211070,21,2,2,3
211071,15,1,3,3
211074,10,2,4,7
211075,11,1,4,3
212003,9,2,2,2
212004,9,1,2,2
212005,11,2,2,2
212006,11,1,2,2
212007,13,2,2,2
212008,14,2,2,2
212009,13,2,2,2
212010,13,2,1,2
212011,15,1,2,2
212012,16,1,2,2
212013,15,1,2,2
212014,15,1,2,2
212015,16,2,2,2
212016,15,2,2,2
212017,15,2,2,2
212018,16,2,2,2
212019,15,2,2,2
212020,16,1,2,2
212021,18,1,2,2
212022,17,1,2,2
212023,17,1,2,2
212024,17,1,2,2
212025,18,2,2,2
212026,18,2,2,2
212027,18,2,2,2
212028,18,2,2,2
212029,18,2,2,2
212030,20,1,2,2
212031,20,2,2,2
212032,20,2,2,2
212033,20,2,2,2
212034,20,1,1,2
212035,21,2,2,2
212036,21,1,2,2
212037,21,1,2,2
212038,21,2,2,2
212039,21,1,2,2
212040,21,1,2,2
212041,22,2,2,2
212042,22,2,2,2
212043,22,1,2,2
212044,22,2,2,2
212045,23,2,2,2
212046,23,2,2,7
212047,23,2,2,2
212048,23,1,2,2
212049,24,2,1,2
212050,24,1,1,2
213002,16,2,4,7
213005,9,1,4,6
213006,20,2,4,7
213007,20,1,4,7
213008,8,2,3,7
213011,20,2,4,2
213012,20,1,3,7
213015,20,2,3,2
213017,12,1,4,6
213018,14,2,4,7
214009,10,2,4,1
214010,21,1,4,6
214011,20,2,3,3
214012,11,1,4,3
214013,13,2,4,7
214014,10,2,4,7
214015,10,2,4,6
214017,13,1,3,7
214018,17,2,3,4
214019,19,1,3,7
214020,20,2,4,3
214021,9,1,4,6
214022,20,2,4,3
214023,20,1,4,3
214024,12,2,4,3
214026,20,2,3,3
214028,12,1,4,3
214029,12,2,4,3
214030,20,2,3,7
214031,8,1,4,3
214032,9,1,4,3
214034,15,2,3,3
214035,16,2,4,7
214036,21,2,3,7
214037,20,2,4,3
214038,20,2,4,3
214040,10,2,3,3
214041,8,1,4,1
214042,22,1,4,3
214043,21,2,4,3
214044,12,2,4,1
214045,20,2,4,7
214047,21,2,4,7
214048,21,2,4,3
214049,23,2,4,3
214050,23,1,4,3
214051,13,2,4,3
214052,10,1,4,3
214053,11,2,4,3
214056,8,2,3,3
214058,9,2,4,3
214060,12,1,4,3
214067,10,2,4,3
214068,13,2,4,3
214069,9,2,4,3
214072,10,2,4,3
214074,11,1,4,3
214075,8,2,4,3
216003,23,2,4,1
216004,9,2,4,1
216005,17,2,4,3
216006,24,1,4,1
216007,14,2,4,4
217015,8,1,2,2
217016,8,1,2,3
217017,9,1,4,3
217019,12,1,2,2
217020,10,1,2,2
217021,13,1,3,3
217022,14,1,3,3
217023,20,2,4,3
217024,20,2,4,3
217025,20,2,2,3
217026,20,1,2,3
217027,22,2,4,3
218003,9,1,1,7
218004,9,1,1,7
218005,9,1,1,4
218006,11,1,3,3
218007,12,2,2,1
218008,14,1,4,4
218009,16,2,1,7
218010,16,2,1,1
218011,17,2,2,3
218012,16,1,2,3
218013,17,2,4,2
218014,18,1,1,7
218015,19,2,3,7
218016,19,2,2,7
218017,20,2,3,7
218018,20,2,3,1
218019,20,2,3,3
218020,20,2,3,1
218022,21,2,4,4
218023,21,2,3,7
218024,21,2,3,1
218025,22,1,4,2
218026,22,2,2,1
218027,22,2,4,7
218028,22,1,4,4
218029,23,2,4,7
218030,23,2,3,1
218031,24,2,4,1
218032,24,1,4,1
218033,24,2,3,1
218034,24,2,4,1
218035,24,2,3,1
218036,24,2,3,1
218037,24,2,3,3
218038,24,2,2,1
218040,24,1,3,3
219002,21,1,4,7
219003,20,1,4,7
219004,20,1,4,7
219005,23,2,2,7
219006,8,1,3,7
219007,12,1,3,7
219008,11,1,3,7
219009,20,1,3,7
219010,20,2,3,7
220016,9,1,3,2
220017,8,1,3,2
220018,9,1,3,2
220019,9,1,3,2
220020,9,1,2,2
220021,9,1,3,2
221001,16,2,3,2
221002,14,2,2,2
221003,16,2,2,2
221004,15,1,2,6
221005,15,1,2,2
221006,18,2,2,2
221007,15,1,2,2
221008,15,2,2,2
221009,16,2,2,2
221010,19,2,2,2
221011,17,2,1,2
221012,15,2,2,2
221013,16,2,2,2
221014,15,2,2,2
221015,18,2,2,2
221016,15,2,2,2
221017,16,2,2,2
221018,16,2,2,2
221019,18,2,2,2
222003,20,1,2,1
222004,19,2,4,1
222005,19,2,4,1
222007,19,2,4,1
222008,19,2,4,1
222009,19,2,2,7
222010,19,2,1,1
222011,20,2,4,1
222012,19,2,4,1
222013,20,2,2,7
222014,19,2,2,1
222015,19,2,4,1
222016,19,2,4,1
222017,19,2,3,1
222018,19,2,4,1
222019,21,1,4,1
222020,19,2,4,1
222021,19,2,3,2
222022,19,2,4,1
222023,8,2,4,3
222024,20,2,4,2
222025,21,2,2,3
222026,16,1,2,3
222028,10,2,4,3
223002,9,1,2,7
223005,9,2,4,7
223006,9,1,1,7
223007,10,1,3,7
223008,10,1,1,7
223009,11,1,1,7
223010,12,2,2,7
223011,12,2,1,7
223012,10,1,1,7
223013,10,1,2,7
223014,12,2,4,7
223015,11,2,4,7
223016,11,1,1,7
223017,13,2,2,7
223018,14,2,2,7
223019,15,2,2,7
223020,14,2,1,7
223021,14,1,3,7
223022,8,1,1,7
223023,14,1,4,7
223024,15,2,2,7
223027,17,2,2,7
223028,12,2,2,7
223029,8,2,3,7
223030,17,1,4,7
223031,16,3,2,7
223032,18,1,2,7
223033,9,2,3,7
223034,14,2,3,7
223035,19,2,2,7
223036,11,2,1,7
223037,8,2,2,7
223038,19,1,2,7
223039,19,2,4,7
223040,19,2,2,7
223041,21,2,2,7
223042,15,1,2,7
223043,22,2,2,7
223045,22,2,4,7
223046,22,1,2,7
223047,14,2,2,7
223048,11,2,2,7
223049,10,1,2,7
223050,21,1,3,7
223051,8,1,1,3
223052,17,2,1,7
223053,15,2,1,7
223054,13,1,1,7
223055,12,2,2,7
223056,10,2,2,7
223058,11,1,3,7
223061,18,2,2,7
223062,14,1,2,7
223063,12,1,2,7
223064,16,1,3,3
223065,15,1,3,7
223066,11,1,3,7
223067,9,1,3,7
223068,14,2,2,7
223069,11,2,2,7
223070,11,2,1,7
223071,8,2,1,7
223072,8,2,2,7
223073,10,2,1,3
223074,8,2,1,7
223075,13,2,2,7
224001,21,2,4,1
224006,21,1,4,3
224007,23,2,4,3
224012,19,2,4,3
225005,8,1,2,7
225006,9,2,4,7
225009,10,2,1,7
225010,13,2,1,7
226012,8,1,4,2
226013,9,2,2,2
226014,9,2,2,7
226015,9,2,3,7
226016,8,1,4,1
226017,8,1,4,2
226018,9,1,4,1
226019,9,1,4,2
226020,14,2,3,3
226021,14,1,4,3
226022,13,2,4,2
226023,12,2,3,7
226024,12,1,3,2
226025,14,2,4,3
226026,10,2,4,3
226027,9,2,3,3
226028,9,1,3,3
226029,10,2,2,7
226030,10,1,4,3
226031,10,1,4,3
226032,9,2,4,3
226033,10,1,4,2
226034,10,1,3,3
226036,10,2,3,3
226037,10,1,4,2
226038,11,1,3,3
226039,9,1,4,3
226040,10,1,4,3
226041,10,2,4,3
226042,9,1,4,3
226043,9,2,4,3
226044,10,1,4,3
226045,8,1,4,3
226046,10,2,4,3
226047,9,2,4,3
226048,12,2,4,3
226049,12,2,4,3
226050,15,1,2,3
226051,15,2,4,3
227004,10,1,2,3
227005,10,1,4,2
227006,9,2,4,3
227007,12,2,4,3
227008,11,2,4,3
227009,12,1,4,1
227010,11,2,4,1
227011,10,2,4,3
227012,8,1,4,1
227013,15,1,4,1
227014,15,2,4,1
227015,14,1,4,1
227016,16,1,4,3
227017,17,2,4,3
227019,21,1,4,3
227020,13,1,4,3
227021,13,1,4,3
227022,21,2,4,1
227023,21,1,4,1
227024,21,2,4,1
227025,21,2,4,3
227026,14,1,4,3
227028,22,2,4,3
227029,24,2,2,1
227030,24,1,3,1
228001,21,1,4,3
228002,24,2,4,3
228003,24,1,4,3
228004,17,2,2,3
228005,21,2,3,3
228006,18,1,2,3
228007,12,1,1,3
228008,19,1,3,3
228009,18,2,2,3
228010,18,1,2,3
228011,19,2,4,7
231022,9,2,4,2
231023,9,2,4,1
231024,9,1,4,1
231025,9,1,4,1
231026,9,2,4,1
231027,9,1,4,1
231029,10,1,4,7
231031,12,1,4,2
231032,12,2,4,1
231033,14,2,4,1
231035,13,1,4,2
231036,14,1,4,1
231037,14,2,4,1
231038,13,1,4,3
231039,13,1,4,3
231040,13,1,4,2
231041,13,1,4,2
231042,14,1,4,2
231043,14,1,4,3
231044,14,1,4,2
231045,16,1,4,3
231046,16,1,4,3
231047,17,2,4,3
231048,18,1,4,2
231049,19,2,4,3
231050,18,2,4,3
232001,12,2,3,7
232002,10,2,3,7
232008,10,2,3,3
232009,11,1,3,6
232010,17,1,4,7
232011,17,2,4,1
232012,15,2,4,7
232013,16,1,4,3
232014,12,2,1,7
232015,21,2,4,3
232017,11,1,4,3
232018,17,1,4,2
232019,20,2,2,7
232020,20,2,3,1
232022,12,1,3,3
232023,9,2,4,3
232024,12,1,4,3
232027,9,2,4,3
232028,9,2,4,3
232029,10,2,3,7
232031,19,2,4,7
232032,18,2,3,7
232033,22,1,4,1
232034,22,1,2,7
232035,22,2,4,1
232036,22,1,4,3
232037,21,2,4,1
232038,22,1,4,1
232039,22,2,4,3
232040,20,1,4,3
232041,21,2,4,1
232042,22,1,4,1
232043,22,2,3,7
232044,23,2,4,3
232045,22,2,4,1
232046,21,2,4,3
232047,22,2,4,7
232048,19,2,3,3
232049,21,2,4,3
232050,17,2,4,3
232051,12,2,4,7
232052,10,1,4,7
232053,11,1,3,3
232057,19,2,3,3
232058,17,2,2,3
232059,15,1,2,7
232060,17,2,2,7
232063,14,2,4,6
232064,13,2,4,7
232066,15,2,3,7
232067,14,1,3,7
232068,20,2,1,3
232069,12,1,2,7
232070,20,1,3,3
232071,17,2,2,3
232072,15,1,2,3
232073,15,1,4,2
232074,13,1,4,2
232075,9,2,3,3
233001,19,2,1,2
233002,19,2,2,2
233004,19,2,2,2
233005,19,2,2,2
233006,19,2,1,2
233007,19,2,2,2
233008,19,2,2,2
233009,19,2,2,2
233010,19,2,2,2
233011,19,2,2,2
233012,19,2,2,2
233013,19,2,2,2
233014,19,1,2,2
233015,19,1,2,2
233016,19,1,2,2
233017,19,1,2,2
233018,19,1,1,2
233019,19,1,1,2
233020,19,1,1,2
234017,8,2,3,7
234018,8,2,2,2
234019,8,2,2,2
234020,8,1,2,7
234021,8,1,2,2
234037,9,2,2,2
234038,9,1,1,7
234039,10,2,3,7
234040,10,1,3,2
234041,11,1,1,7
234042,10,2,1,7
234043,11,1,1,7
234044,11,2,4,2
234047,12,2,3,7
234048,8,2,3,7
234049,10,2,3,7
234050,10,2,4,7
234051,11,1,2,7
235001,8,2,4,1
235007,16,2,4,1
235008,13,1,4,1
235009,13,1,4,1
235010,11,1,4,1
235019,8,2,4,1
235020,11,2,4,1
235022,15,1,4,1
235024,10,2,4,1
235026,11,2,4,1
235028,8,1,4,1
236001,6,2,4,4
236003,6,2,4,3
236004,7,2,4,3
236005,7,1,4,3
236006,8,1,4,3
236007,8,2,4,3
236008,8,2,4,3
236009,9,2,4,4
236010,8,2,4,3
236011,10,2,4,1
236012,10,2,4,1
236013,10,1,4,3
236015,11,2,4,7
236016,11,2,4,1
236017,12,1,4,1
236019,11,2,4,3
236022,12,2,4,1
236023,13,2,4,1
236024,14,2,4,2
236025,15,2,4,7
236026,15,2,4,3
236027,14,1,4,3
236029,13,2,4,3
236031,17,1,4,3
236035,21,2,4,3
236036,18,2,4,7
236037,21,2,4,3
236038,22,2,4,3
236039,22,1,4,1
236040,22,2,4,3
236041,9,2,4,3
236042,23,2,2,1
236043,15,2,4,3
236044,8,2,4,3
236045,7,1,4,3
236047,6,2,4,3
236048,6,2,3,3
236049,19,1,4,2
238001,19,2,3,3
239001,18,1,4,1
239002,24,1,2,1
239003,22,2,4,1
239004,19,2,2,1
239005,17,1,4,1
239006,21,2,3,1
239007,15,2,4,1
239008,24,2,3,1
239009,19,2,4,7
239010,21,2,4,1
239011,18,1,4,1
239012,17,2,4,1
239013,17,2,4,1
239014,24,2,2,1
239015,22,1,4,1
239016,13,1,4,1
239017,18,2,4,1
239018,24,1,2,3
239019,9,2,3,3
239020,16,2,4,3
239021,7,2,4,3
239022,8,2,3,3
239023,22,2,4,3
240004,11,2,4,5
240005,12,2,4,5
240006,9,2,4,4
240007,10,2,4,4
240008,6,1,2,4
240009,8,1,2,1
240011,8,2,2,1
240013,14,2,2,5
240014,10,2,2,4
240015,12,2,2,3
240016,18,2,2,4
240025,7,1,2,3
240026,8,2,3,4
240027,9,1,3,3
240028,7,2,3,4
240029,8,2,2,4
240030,8,2,3,4
240031,8,2,2,2
240032,7,2,3,3
240034,7,2,3,3
240035,8,1,3,3
241001,11,2,4,7
241003,8,2,3,1
241005,19,3,2,7
241008,9,1,4,1
241009,10,1,3,7
241010,9,2,4,1
241012,10,2,4,1
241014,9,2,3,7
241015,13,2,4,1
241016,8,2,2,1
241017,10,1,2,3
241020,9,2,4,6
241022,9,1,4,2
241024,8,1,4,3
241028,8,1,4,3
243001,13, ,4,1
243002,19, ,2,1
243003,19,2,2,7
243004,13,2,4,3
243005,10,2,4,3
243006,12,1,4,1
243007,12,2,2,7
243008,11,1,4,4
243009,18,1,4,4
243010,11,2,4,1
243011,16,2,2,2
243012,14,1,2,7
243013,15,1,4,3
243014,12,1,4,3
243015,20,2,2,3
243016,20,1,2,3
243017,18,1,2,3
243019,16,1,4,3
243020,19,2,3,3
243021,20,2,4,7
243023,11,1,4,3
243024,10,2,4,1
243025,16,1,4,3
243027,15,2,4,3
243028,16,2,2,3
243029,8,1,2,3
243030,8,2,2,3
243031,17,1,2,3
243032,8,1,3,2
243033,13,1,3,3
244002,6,1,2,7
244003,7,1,1,7
244005,7,2,2,7
244006,6,1,1,7
244016,9,2,1,7
244018,9,1,2,2
244024,11,2,1,2
244028,12,1,1,2
244034,13,2,2,7
244035,13,2,2,7
244036,13,1,2,7
244037,13,2,2,2
244038,12,1,1,7
244040,12,1,2,7
244041,13,1,2,2
244042,13,1,1,7
244043,13,1,2,2
244045,13,2,1,2
244046,12,2,1,7
246001,11,1,2,7
246002,12,2,2,7
246003,12,1,3,7
246004,14,1,3,7
246005,16,1,3,7
246006,12,1,3,7
246007,9,2,3,7
246008,7,1,3,7
246009,8,1,4,3
246010,15,1,1,7
246011,13,1,1,7
246012,6,2,1,7
246013,9,1,1,7
246015,14,2,1,7
246017,18,2,1,7
246018,13,1,2,7
246019,12,1,3,7
246020,13,1,3,7
246021,8,1,3,7
248001,7,2,3,1
248004,7,2,2,7
248005,7,1,3,7
248006,9,2,2,2
248007,9,1,4,3
248008,7,2,4,3
248010,19,2,3,3
248012,10,1,2,1
248013,13,1,2,7
248014,12,1,3,7
248015,19,2,3,7
248016,18,2,3,3
248017,17,1,2,7
248018,19,2,3,1
248019,20,1,2,1
248023,14,2,3,3
248024,17,2,3,3
248025,6,1,3,2
248026,19,2,3,3
248027,19,1,2,7
248028,19,1,2,3
248029,19,2,3,3
248030,15,1,3,3
248031,17,2,3,3
248032,19,2,3,7
248033,15,2,4,2
248034,13,1,4,2
248035,15,1,3,6
248036,8,1,3,6
248037,17,2,3,2
248039,14,2,2,3
248040,11,2,2,7
248041,11,2,3,6
248042,12,1,3,3
248043,8,2,2,3
248045,10,1,3,3
248046,8,2,3,3
248047,14,1,3,3
248048,16,1,2,7
248049,11,2,3,7
248050,15,1,2,7
248051,16,1,3,5
248053,12,1,3,3
248055,22,1,4,3
248058,24,1,3,3
248059,22,1,3,3
249005,19,2,4,3
249006,11,2,3,3
249011,22,2,2,3
249013,20,2,3,3
249014,9,2,1,3
249015,15,1,3,7
249017,14,1,1,7
249018,11,1,1,7
249019,7,2,1,7
249020,7,1,1,7
249021,6,1,1,7
249022,22,1,2,7
249023,13,2,1,7
249024,9,1,1,7
251001,13,2,4,1
251002,14,2,3,1
251003,11,1,4,3
251004,17,2,4,3
251005,13,2,4,3
251006,8,2,4,1
252001,9,2,4,7
252002,11,1,4,7
252010,10,2,3,7
252019,16,1,4,3
252023,19,2,4,3
253001,7,2,4,7
253002,6,1,4,7
253003,12,1,4,3
253004,9,2,4,3
253005,9,1,4,3
253006,7,2,4,3
253007,18,2,3,3
253008,6,2,4,3
253009,7,2,4,3
253010,12,2,4,3
253011,12,1,4,3
253012,10,1,4,3
253013,11,1,4,3
253014,16,1,4,3
253015,10,1,4,3
253016,8,1,4,3
253017,6,1,4,3
253018,13,1,4,3
253019,13,2,4,3
253020,12,2,4,3
253021,8,1,4,3
253022,13,1,4,3
253023,8,2,3,3
253024,12,1,3,3
253025,15,2,3,3
253026,8,2,3,3
253027,11,1,3,3
253028,10,2,4,3
253029,9,2,3,3
253030,13,1,3,3
253031,8,2,3,3
253033,7,2,3,3
253034,9,1,3,3
253035,13,1,4,3
253036,7,2,4,3
253037,11,1,3,3
253038,12,2,4,3
253039,7,2,4,3
253040,8,2,4,3
253041,7,1,3,3
253042,15,2,4,3
253043,12,2,4,3
253044,8,2,4,3
253045,16,1,4,3
253046,11,2,3,7
253047,8,1,3,3
253048,13,2,3,7
253049,14,1,3,3
253050,7,1,3,3
254001,7,2,1,1
254002,7,2,3,3
254003,7,1,2,3
254004,7,1,2,2
254005,7,1,4,3
254006,8,1,4,3
254007,7,2,4,3
254008,8,2,2,3
254009,8,2,2,1
254010,8,2,4,1
254011,9,2,3,3
254012,9,2,2,1
254013,8,1,3,3
254014,9,1,4,3
254015,9,2,3,3
254016,10,2,4,3
254017,10,1,2,2
254018,9,2,4,3
254019,11,1,4,3
254020,10,2,2,1
254021,11,2,2,1
254022,11,1,4,7
254023,17,1,4,3
254024,14,1,4,3
254025,14,2,4,3
255001,10,1,4,2
255003,7,2,3,2
255004,11,1,3,2
255005,15,1,3,2
255006,12,1,2,3
255007,15,1,2,3
255008,9,1,4,2
255009,18,2,3,2
255010,11,1,2,2
255011,18,1,2,2
255012,8,2,3,2
255013,11,1,3,2
255014,8,1,2,6
256001,10,1,4,3
256002,9,1,2,3
256003,14,1,4,3
256004,11,2,4,3
256005,13,1,2,3
256006,7,1,4,3
256007,11,2,2,3
256008,14,1,3,3
256009,8,2,4,3
256011,10,1,4,3
256012,13,2,4,3
256013,17,1,3,3
256014,12,2,4,3
256015,14,1,4,3
256016,12,2,4,3
256017,14,2,4,3
256018,10,1,4,3
256019,12,2,4,3
256020,16,2,4,3
256021,12,2,2,3
256022,13,1,2,3
256023,14,2,3,3
256024,11,1,2,3
256025,12,2,3,3
256026,8,2,3,3
256027,9,2,3,2
256028,10,2,2,3
256029,11,1,2,3
256030,11,2,4,3
256031,18,2,4,3
256032,14,1,2,3
256033,10,2,2,3
256034,15,1,4,4
256035,10,1,4,3
256036,13,1,4,3
256037,8,2,2,3
256038,11,1,3,3
256039,11,2,2,3
256040,9,1,4,3
256041,12,2,3,3
256042,15,1,3,3
256043,18,1,3,3
256044,12,2,4,3
256045,7,2,3,3
256046,8,2,4,2
256047,12,1,4,3
256048,13,1,2,6
256049,12,1,4,3
256050,10,1,2,6
257023,9,1,3,7
257024,9,2,2,7
257025,8,2,1,7
257032,6,1,3,2
258001,19,1,3,3
258002,24,1,3,3
258003,22,2,3,3
258004,20,1,3,3
258005,22,1,2,7
258006,19,2,3,3
258007,17,1,1,7
258008,19,2,3,1
258009,22,1,3,2
258010,22,2,3,3
258011,19,1,2,2
258012,22,1,3,3
258013,22,2,2,3
258014,24,2,3,3
258015,19,2,2,3
258016,19,1,2,7
258017,22,2,2,7
258018,18,1,1,7
258019,17,1,1,7
258020,22,2,1,3
258021,22,2,3,3
258022,22,1,3,3
258023,19,2,2,3
258024,20,1,3,7
258025,23,2,3,3
258026,19,1,1,3
258027,23,1,3,3
258028,19,2,3,6
258029,19,1,3,3
258030,23,1,2,1
258031,22,2,2,3
258032,8,1,1,3
258033,11,2,4,3
259001,13,1,4,3
259002,13,1,4,2
259003,11,2,4,2
259004,7,2,4,2
259005,10,1,4,2
259006,14,1,4,2
259007,16,1,4,2
259008,15,2,2,2
259009,10,1,4,2
259010,6,2,3,2
259011,18,2,4,3
259012,12,2,4,1
259013,12,2,4,7
259014,8,2,4,2
259015,9,1,2,7
259016,15,2,1,7
259017,11,1,1,7
259018,9,2,1,7
259019,8,2,2,7
259020,8,2,2,7
259021,16,1,2,7
259022,17,2,3,7
259023,19,2,3,2
259024,18,2,2,6
259025,9,2,1,7
259026,19,2,3,2
259027,14,1,4,7
259028,11,1,4,2
259029,19,2,2,2
259030,9,1,3,2
259031,9,2,2,2
259032,12,1,3,2
259033,6,2,2,7
259034,9,2,4,2
259035,18,1,2,2
259036,6,2,4,2
259037,6,1,2,7
259038,12,1,2,7
259039,11,1,4,6
259040,13,1,4,2
259041,13,1,4,2
259042,9,1,2,2
259043,14,1,2,7
259044,9,2,2,7
259045,19,1,3,2
259046,9,1,3,2
259047,7,1,3,2
259048,11,1,4,2
259049,6,2,3,2
259050,6,2,4,3
260001,11,1,1,3
260002,8,2,4,3
260003,9,2,1,3
260004,7,1,4,3
260005,8,2,3,2
260006,11,1,4,3
260007,8,1,4,3
260008,20,2,2,3
260009,9,2,1,3
260010,12,1,4,3
260011,20,1,3,3
260013,10,1,4,6
260014,7,2,4,6
260016,8,1,3,3
260017,7,1,3,3
260018,7,2,4,3
261001,9,1,3,7
261002,8,2,3,7
261003,6,2,3,7
261004,18,2,4,3
261005,19,2,3,3
261006,8,2,3,3
