ID,TODself_tot,TODparent_tot,TODteacher_tot
248047,69,74, 
248048,83,62,67
248049,85,60,48
248050,66,57,63
248051,85,58,66
248053,106,74,86
249006, ,52, 
252010,74,52, 
252019,66,59, 
253001,89,57,62
253002,80,70,69
253003,61,44, 
253004,75,45, 
253005,52,55, 
253009,88,40, 
253010,98,71, 
253011,84,74, 
253012,77,31, 
253013,98,77, 
253015,81,29, 
253016,96,34, 
253017,96,32, 
253019,51,33, 
253020,57,32, 
253021,79,48, 
253022,93,64, 
253023,84,47, 
253024,84,55, 
253025,73,30, 
253026,88,55, 
253027,87,55, 
253028,81,67, 
253029,83,62, 
253030,86,69, 
253031,78,51, 
253033,89,62, 
253034,99,62, 
253035,77,29, 
253036,78,49, 
253037,60,59, 
253038,64,35, 
253039,87,62, 
253040,81,34, 
253041,98,69, 
253042,95,65, 
253044,89,55, 
253045, ,54, 
253046,80,43, 
253047,85,50, 
253048,70,31, 
253049,94,56, 
253050,82,63, 
254001, , ,48
254002,93, ,84
254003,52,42,40
254004, , ,75
254005,78,53,66
254006,39,34,62
254007,77, ,67
254008, , ,84
254009, , ,41
254011,61,36,46
254012, , ,45
254013, ,67,64
254015,46,35,34
254016,95,83,90
254017, , ,60
254018,78, ,61
254019,87,53,75
254020, , ,65
254021, , ,76
254022,112,79,93
254023,94,58, 
254025,57,48, 
255003,80,51, 
255004,66,29, 
255005,72,35, 
255006,71,53, 
255007, ,56,41
255012,70,54, 
255013,80,53, 
256001,51,38,41
256002,63,55,38
256003,63,39,39
256004,85,65,74
256005,90, ,73
256006,87,75,72
256007, ,63,75
256008, , ,41
256009, , ,43
256011,92,62,46
256012,86,64,52
256013,67,41,52
256014,89,63,67
256016,86,58,44
256018,71,63,57
256019,88,53, 
256020,78,56, 
256021,69,56,44
256022,65,73, 
256023,130,38,49
256024, , ,55
256025,68,53,36
256026,87,61, 
256027, , ,40
256029, , ,39
256030,51,46,36
256032, , ,49
256037,70, ,52
256038,120,87,70
256039,74,42, 
256040,92,51, 
256041,100,86,84
256042,59,42, 
256043, ,63, 
256044,84, ,58
256046, , ,58
256048,118,54, 
256049, , ,57
256050,97, , 
259001,59,44, 
259003,70,45, 
259004,84,64, 
259007,69,44, 
259008,94,37, 
259009,82,50, 
259010,58,51, 
259011,71, , 
259013,88,31, 
259014,69,42, 
259015,73,26, 
259016,82,56, 
259017,81,69, 
259018,86,64, 
259019,84, , 
259020,84, , 
259021,90, , 
259022,84,40, 
259024,51, , 
259025,80,71, 
259027,49,33, 
259030,85,58, 
259031,91,53, 
259032,72,51, 
259033,55,31, 
259034,83, , 
259036,51,43, 
259037,102,76, 
259038,96,72, 
259042,64,28, 
259043,83,75, 
259044,86,63, 
259046,73,61, 
259047,82,52, 
259049,89,36, 
259050,88,60, 
260001,56,34, 
260003,83,66,61
260004,80,51,68
260005,100,71,87
260006,75,54,66
260009,79, ,65
260010,73, ,61
260013, ,43,65
260014, ,53,66
260016,100,59,78
260017,83,47,69
260018,71, ,61
261001,78,51,64
261002,72,53,61
261003,70, ,72
261006,72,37, 
261007,101, ,83
261008,65,32,43
261009,87,64,78
