ID,admin_date,DOB,TODself_tot,TODparent_tot,TODteacher_tot
211010,6/9/2019,11/17/2007,105,72, 
211014,6/15/2019,4/19/2008, ,60,68
211016,6/17/2019,4/6/2010,51,35,34
211017,6/18/2019,12/30/2003,52,43, 
211018,6/18/2019,12/19/2002,74,61,63
211020,6/19/2019,11/5/2003,68,46,40
211021,6/19/2019,4/16/2001,60,47, 
211024,6/20/2019,11/16/2005,73,58, 
211027,6/24/2019,12/21/2004,51,59,53
211028,6/24/2019,8/5/2008,58,32, 
211029,6/25/2019,3/19/2004,91,36, 
211030,6/25/2019,6/17/2002,68,33, 
211032,7/1/2019,12/16/2002,71,40,38
211034,7/1/2019,8/6/2010,86,62,44
211035,7/2/2019,3/31/2008,100,75, 
211036,7/2/2019,4/19/2006,101,70, 
211038,7/2/2019,6/16/2003,94,61, 
211039,7/2/2019,4/19/2006,90,60, 
211041,7/15/2019,9/27/2004,63,50,56
211042,7/22/2019,11/12/2004,61,32,41
211044,7/22/2019,12/8/2003,78,57, 
211049,7/25/2019,6/12/2003,66,37, 
211050,7/26/2019,8/14/2002,78,56, 
211051,7/25/2019,4/29/2010,79,60, 
211052,7/25/2019,10/2/2005,81,57, 
211062,8/1/2019,10/8/2006,79,56, 
211063,8/1/2019,1/6/2006,71,55,66
211064,8/1/2019,9/26/2003,53,38,46
211065,8/2/2019,1/30/2002,83,37, 
211066,8/2/2019,4/7/2004,84,65, 
211067,8/2/2019,7/13/2006,90,66, 
211068,8/3/2019,5/17/2003,110,66, 
211069,8/3/2019,12/9/2003,68,41,48
211071,8/3/2019,8/25/2003,65, , 
211074,8/6/2019,7/5/2009, ,73, 
211075,8/19/2019,7/5/2008, ,43,43
212003,5/1/2019,6/25/2009,80,55,49
212004,6/17/2019,7/7/2009,64,59,68
212005,6/28/2019,5/8/2008,61,55,70
212006,5/9/2019,5/28/2007,81,52,61
212007,4/25/2019,12/22/2005,91,53,54
212008,5/23/2019,1/1/2005,76,63, 
212009,5/23/2019,6/12/2005,83,67, 
212010,6/18/2019,8/16/2005,82,66, 
212011,5/16/2019,11/15/2003,62, , 
212012,5/17/2019,4/2/2003,87,67, 
212013,6/30/2019,6/11/2004,85,64, 
212014,6/30/2019,8/17/2003,73,57, 
212015,5/14/2019,3/2/2003,45,38,39
212016,6/20/2019,5/3/2004,77,60,82
212017,7/3/2019,8/18/2003,47,35, 
212018,7/8/2019,6/10/2003,74,58,65
212019,7/8/2019,12/25/2003,79,58,69
212020,5/10/2019,8/31/2002,73,43,63
212021,5/10/2019,2/2/2001,78,68,68
212022,5/10/2019,1/16/2002,111,68,90
212023,5/22/2019,5/20/2002,87, ,79
212024,6/6/2019,11/24/2001,57,49, 
212025,5/9/2019,3/9/2001,62,37,39
212026,5/15/2019,10/29/2000,48,45,49
212027,5/30/2019,1/31/2001,83,57,65
212028,6/6/2019,5/5/2001,72,67, 
212029,6/13/2019,2/3/2001,86,67, 
213002,6/2/2019,8/17/2002,71,31, 
213005,7/8/2019,4/27/2010, ,47,67
213017,8/25/2019,2/20/2007,87,52, 
213018,9/18/2019,12/20/2004,74,47, 
214009,4/12/2019,3/17/2009,51,34, 
214012,5/17/2019,7/10/2007,55,38, 
214013,5/18/2019,5/5/2006,71,44,63
214014,5/18/2019,8/19/2008,102,79,84
214015,5/18/2019,1/15/2009,57,39,38
214017,5/22/2019,7/18/2005,83,60, 
214018,5/22/2019,11/29/2001,72,54, 
214021,5/27/2019,2/7/2010,84,65,38
214024,5/27/2019,12/11/2006,64,42, 
214028,5/31/2019,5/3/2005,91,52,54
214029,5/31/2019,4/25/2007,70,40,33
214031,5/30/2019,6/30/2010,54,44,44
214032,5/30/2019,10/20/2009,87,52, 
214034,5/31/2019,10/19/2003,49,37,56
214035,5/31/2019,2/21/2003,83,55, 
214040,6/7/2019,3/23/2009,83,52, 
214041,6/8/2019,7/20/2010,92,65, 
214044,6/8/2019,2/2/2007,66,42, 
214052,9/29/2019,8/11/2009,45,38, 
214056,10/4/2019,8/24/2011,67,49, 
214058,10/11/2019,5/4/2010,59,52, 
214060,10/13/2019,7/20/2007,38,30,37
214068,11/9/2019,5/4/2006,60,28,40
214069,11/10/2019,6/14/2010,58,49, 
214072,11/16/2019,2/2/2009,62,34,43
214074,11/14/2019,11/5/2008, ,64, 
216005,5/19/2019,2/13/2002,67,52, 
217015,6/27/2019,8/16/2010, ,54, 
217016,6/21/2019,7/21/2010, , ,58
217017,5/19/2019,4/18/2010, ,54,63
217019,6/18/2019,4/6/2007, , ,68
217020,5/28/2019,9/15/2008, , ,72
217021,6/18/2019,4/20/2006,70, , 
217022,6/21/2019,5/24/2005,78, ,66
218003,4/28/2019,10/7/2009,74,44, 
218004,5/26/2019,6/20/2009,67,49, 
218005,5/11/2019,6/5/2009,76,42, 
218006,6/15/2019,9/22/2007,74,31, 
218007,4/27/2019,5/14/2006,66,46, 
218009,5/4/2019,6/8/2002,75,33, 
218010,4/28/2019,11/29/2002,72,44, 
218011,6/1/2019,1/11/2002,45,39, 
218012,6/15/2019,7/1/2002,70,38, 
218013,6/9/2019,11/19/2001,67,32, 
218014,5/4/2019,8/29/2000,70,60, 
219006,7/15/2019,11/26/2010,102, , 
219007,6/24/2019,4/27/2007,97,70, 
219008,7/12/2019,4/21/2008,66,47, 
221001,4/23/2019,9/13/2002,84, , 
221002,4/23/2019,11/27/2003,77, , 
221003,5/13/2019,2/18/2003,58, ,43
221004,5/14/2019,11/5/2003,73, ,40
221005,5/15/2019,9/26/2003,71, , 
221006,5/16/2019,1/30/2001,79,51, 
221007,5/21/2019,8/7/2003,93, , 
221008,5/22/2019,10/15/2002,77, , 
221009,5/24/2019,12/28/2002,76, , 
221011,5/30/2019,3/3/2002,58, , 
221012,6/3/2019,11/18/2003,70, , 
221013,6/13/2019,5/10/2003,92, , 
221014,6/4/2019,8/26/2003,83, , 
221015,6/6/2019,9/15/2001,84, ,64
221016,6/6/2019,6/13/2003,73, , 
221017,6/7/2019,4/26/2003,98, , 
221018,6/10/2019,12/5/2002,76, , 
221019,6/11/2019,4/22/2001,84, ,63
222023,5/24/2019,1/20/2011,71,49,55
222026,6/9/2019,2/18/2003, ,53, 
222028,6/13/2019,9/5/2008,89,62, 
223002,5/30/2019,7/18/2009,93,71, 
223005,5/5/2019,7/8/2009,71,44, 
223006,6/2/2019,10/27/2009,96,59, 
223007,4/19/2019,12/31/2008,81,51, 
223008,5/22/2019,4/9/2009,93,69, 
223009,4/29/2019,5/21/2007,94,72, 
223010,6/25/2019,3/27/2007,80,62, 
223011,5/22/2019,12/22/2006,57,52, 
223012,6/3/2019,9/27/2008,96,65, 
223013,4/25/2019,8/19/2008,81,28, 
223015,4/22/2019,5/25/2007,73,57, 
223016,6/2/2019,9/2/2007,86,58, 
223017,7/25/2019,7/18/2005,97,63, 
223018,4/16/2019,11/6/2004,90,61, 
223019,6/25/2019,4/8/2004,93,37, 
223020,6/3/2019,6/21/2004,84,71, 
223021,5/5/2019,9/8/2004,71,37, 
223022,6/13/2019,11/1/2010,96,84, 
223024,4/21/2019,11/25/2003,90,65, 
223027,4/21/2019,4/8/2002,60,34, 
223028,6/25/2019,7/7/2006,80,60, 
223029,7/9/2019,12/3/2010,79, , 
223031,4/25/2019,7/3/2002,74,71, 
223032,4/24/2019,12/7/2000,82, , 
223033,7/9/2019,10/31/2009,89, , 
223034,7/29/2019,6/12/2005,90,54, 
223036,8/17/2019,6/3/2008,79, , 
223037,8/17/2019,1/27/2011,78,42, 
223042,8/17/2019,2/22/2004,80,42, 
223047,7/30/2019,6/15/2005,100,36, 
223048,7/30/2019,11/7/2007,77,36, 
223049,7/31/2019,7/22/2009,99,91, 
223051,8/4/2019,9/27/2010,77,57, 
223052,8/11/2019,11/26/2001,80,58, 
223053,8/11/2019,3/7/2004,78,59, 
223054,8/19/2019,2/8/2006,97,63, 
223055,8/9/2019,5/23/2007,78,49, 
223056,8/10/2019,10/8/2008,94,55, 
223058,8/14/2019,12/18/2007,102,100, 
223061,7/30/2019,2/1/2001,93,66, 
223062,7/30/2019,3/2/2005,86,74, 
223063,7/30/2019,9/5/2006,74,63, 
223064,8/1/2019,11/13/2002,78,37, 
223065,8/2/2019,4/28/2004,86,47, 
223066,8/1/2019,6/4/2008,87,54, 
223067,8/2/2019,9/17/2009,97,50, 
223068,8/5/2019,2/1/2005,101,71, 
223069,8/5/2019,11/9/2007,107,73, 
223070,8/7/2019,10/4/2007,87,68, 
223071,8/7/2019,4/27/2011,96,69, 
223072,8/6/2019,7/27/2011,84,52, 
223073,8/29/2019,8/12/2009,88,58, 
223074,8/29/2019,7/21/2011,90,58, 
223075,8/30/2019,5/27/2006,91,54, 
225005,4/13/2019,8/10/2010,75,50,69
225006,5/4/2019,8/29/2009,71,30,46
225009,5/5/2019,3/8/2009,75,55,82
225010,5/5/2019,2/7/2006,74,54,37
226012,5/13/2019,1/11/2010,89, ,74
226013,4/23/2019,4/27/2010,99, ,74
226014,5/13/2019,8/13/2009,93, ,74
226015,5/13/2019,5/13/2010,85, , 
226017,5/13/2019,12/7/2009,82, ,79
226020,4/25/2019,2/14/2005,116, ,72
226021,4/19/2019,2/26/2005,79, ,59
226023,5/14/2019,2/21/2007,104, ,75
226024,5/14/2019,7/27/2006,102, ,85
226025,5/14/2019,8/10/2005,83, ,68
226026,5/20/2019,10/20/2008,97, ,92
226027,4/23/2019,6/16/2009,94,66, 
226028,4/25/2019,7/27/2009,88, ,95
226029,4/15/2019,4/15/2009,93, , 
226030,5/7/2019,8/17/2008,81,56,51
226031,5/8/2019,4/1/2009,99,73,75
226032,6/18/2019,5/1/2010,69,50,41
226033,5/8/2019,8/8/2008,75,60, 
226034,5/15/2019,7/17/2008,83,59,74
226036,5/21/2019,8/19/2008,94,51,54
226038,5/8/2019,5/20/2007,86,67,82
226039,5/28/2019,6/28/2009,108, ,98
226041,5/28/2019,4/11/2009,59, ,56
226042,5/28/2019,3/24/2010,92,45,68
226043,5/28/2019,5/9/2010,100, ,61
226044,5/28/2019,9/29/2008,56, ,40
226045,5/28/2019,1/13/2011,90, ,66
226046,5/28/2019,8/29/2008,81,68,73
226047,5/28/2019,5/3/2010,81, ,88
226048,6/5/2019,1/4/2007,72,49,62
226049,6/5/2019,1/4/2007,51,28,67
226050,6/5/2019,10/21/2003,66,45,42
226051,6/5/2019,3/4/2004,62,28,37
227004,4/30/2019,4/24/2009,97, ,83
227005,4/28/2019,6/24/2008,62,42,55
227006,5/30/2019,12/8/2009,62,38, 
227007,6/27/2019,3/27/2007,80,39, 
227008,6/30/2019,2/5/2008,44,32, 
227010,4/13/2019,6/27/2007,55, , 
227011,6/10/2019,9/11/2008,77,49, 
227016,6/27/2019,4/19/2003,78,66, 
227017,6/14/2019,9/21/2001,80,41, 
227020,6/22/2019,1/17/2006,115,77, 
227021,6/27/2019,12/28/2005,86,52, 
227026,6/27/2019,10/19/2004,79,48, 
228004,6/4/2019,9/8/2001,38, , 
228006,6/8/2019,10/6/2000,62,46, 
228007,6/8/2019,2/20/2007,71,76, 
228009,6/28/2019,5/9/2001,71,51, 
228010,6/28/2019,8/14/2000,71,41, 
232001,5/10/2019,5/9/2007,96,67,47
232002,5/14/2019,7/15/2008,91,65,56
232008,6/17/2019,11/14/2008,84,60,38
232010,6/6/2019,6/21/2001,56,73, 
232011,4/22/2019,7/6/2001,61,35,34
232014,5/22/2019,7/12/2006,44,62,46
232017,7/5/2019,6/16/2008,49,45,46
232018,5/9/2019,9/7/2001,78, , 
232022,6/17/2019,5/17/2007,81,62, 
232023,6/15/2019,11/10/2009,90,67, 
232024,6/15/2019,10/24/2006,45,37, 
232027,5/19/2019,1/12/2010, ,51, 
232028,7/5/2019,4/5/2010,46,30, 
232029,6/18/2019,12/12/2008,39,29, 
232050,6/28/2019,7/15/2001,51,32, 
232051,9/22/2019,6/5/2007,60, , 
232052,9/22/2019,5/17/2009,72,44, 
232053,9/25/2019,7/3/2008,85,55,51
232058,11/2/2019,10/4/2002,64,42,46
232059,9/20/2019,5/14/2004,90,57,70
232060,10/11/2019,12/22/2001, ,50,38
232063,9/6/2019,12/28/2004,70,31,33
232064,9/8/2019,3/11/2006,96,72,46
232066,9/13/2019,12/22/2003,88,67, 
232067,9/15/2019,8/15/2005,86,64,82
232069,9/18/2019,1/1/2007,86,69,64
232072,9/7/2019,12/19/2003,66, , 
232073,9/19/2019,2/10/2004,85,63,55
232074,9/23/2019,6/30/2006,64, , 
232075,9/26/2019,7/23/2010,91, ,62
234017,5/3/2019,6/4/2010,54, ,35
234018,5/3/2019,11/8/2010,85, ,89
234019,4/29/2019,5/21/2010,77, ,55
234020,4/23/2019,4/29/2010,75, ,71
234021,4/27/2019,11/8/2010,77, ,66
234037,5/28/2019,8/29/2009,52, , 
234038,4/26/2019,11/6/2009,79, ,75
234040,5/31/2019,3/25/2009,85, ,83
234041,5/1/2019,3/25/2008,75, ,70
234042,5/21/2019,11/25/2008,61, ,82
234043,5/30/2019,12/16/2007,72, ,65
234044,5/24/2019,11/13/2007,65, ,65
234047,5/15/2019,10/29/2006,91, , 
234048,5/15/2019,4/29/2010,64, , 
234049,5/17/2019,7/20/2010,100, , 
234050,5/17/2019,10/26/2008,63,36,59
234051,6/3/2019,12/6/2007,87, ,69
235009,4/13/2019,9/19/2005,63,80, 
235010,4/13/2019,1/24/2008,113,49, 
235022,4/20/2019,6/18/2003,93,70, 
236001,4/19/2019,5/25/2012,73,56, 
236003,5/26/2019,6/19/2012,94,56, 
236005,6/24/2019,11/15/2011,88,57, 
236006,6/18/2019,1/18/2011,90,50, 
236008,6/21/2019,7/19/2010,79,60, 
236010,6/14/2019,7/27/2010,78,43, 
236012,4/22/2019,11/13/2008,66,45, 
236013,5/26/2019,4/3/2009,73,37, 
236019,6/24/2019,9/25/2007,65,42, 
236022,4/22/2019,4/27/2006,90,76, 
236023,4/25/2019,4/30/2005, ,49, 
236026,6/9/2019,11/25/2003,59, , 
236027,6/18/2019,8/20/2004,98,54, 
236029,5/26/2019,5/25/2006,75,52, 
236031,6/9/2019,7/12/2001,72,45, 
236041,5/26/2019,7/28/2009,81,52, 
236043,6/14/2019,4/17/2004,71,33, 
236044,6/11/2019,2/22/2011,87,49, 
236045,6/21/2019,12/15/2011,76,54, 
236047,6/11/2019,6/27/2012,90,62, 
236048,6/15/2019,8/8/2012, ,55, 
239001,5/8/2019,10/30/2000,83,56,46
239005,5/10/2019,11/29/2001,65,56,63
239007,5/12/2019,4/15/2004,44,34, 
239011,5/14/2019,10/8/2000,77, , 
239012,5/14/2019,12/28/2001,45,47,53
239017,5/17/2019,12/28/2000,63,33, 
239019,5/20/2019,7/8/2009,73,62, 
239020,5/20/2019,11/7/2002,72, , 
239021,5/22/2019,3/15/2012,95, , 
239022,5/25/2019,4/11/2011,84,41, 
240004,5/10/2019,4/14/2008,59, , 
240005,5/10/2019,8/22/2006,53,34, 
240006,5/31/2019,3/5/2010,76,40, 
240007,6/14/2019,6/11/2009,60,64, 
240008,5/31/2019,7/25/2012,93, , 
240009,5/11/2019,12/22/2010,70,46, 
240011,5/9/2019,1/5/2011,75, , 
240013,5/5/2019,7/27/2004, ,47, 
240014,5/18/2019,6/15/2008,68,45, 
240015,6/7/2019,9/30/2006,62,45, 
240016,6/7/2019,3/14/2001,82,55,44
240025,12/6/2019,10/11/2012,87, ,92
240026,1/3/2020,8/4/2011,92, ,60
240027,1/3/2020,11/27/2010,70, ,60
240028,12/13/2019,4/26/2012,53,55,61
240029,1/10/2020,11/5/2011,83, ,61
240030,12/13/2019,10/4/2011,71, ,60
240031,1/24/2020,12/7/2011,69, , 
240032,1/24/2020,4/4/2012,66, , 
240034,1/3/2020,4/28/2012,77, ,61
240035,1/3/2020,8/19/2011,78, ,61
241003,4/16/2019,7/6/2010,83,77,81
241008,4/27/2019,1/28/2010,110,80, 
241009,4/23/2019,5/10/2008,78,80, 
241012,5/3/2019,1/9/2009,73,56,63
241014,5/9/2019,8/25/2009,85, ,55
241016,5/13/2019,11/17/2010,92,72,63
241017,5/14/2019,2/13/2009,63,57,67
241020,5/22/2019,8/6/2009,54,37,46
241024,6/7/2019,11/26/2010,91,77,83
243001,4/12/2019,2/28/2006,101,73, 
243004,5/31/2019,2/25/2005,95, ,78
243005,6/11/2019,5/13/2009,95,76, 
243006,5/1/2019,8/2/2006,93, ,72
243007,5/1/2019,5/18/2006,86,57,80
243008,5/2/2019,11/30/2007,78, ,74
243009,5/3/2019,8/26/2000,59, ,52
243011,5/31/2019,5/17/2003,65, ,59
243012,6/20/2019,7/29/2004,105, ,77
243013,5/28/2019,12/27/2003,42, , 
243014,6/11/2019,1/19/2007,97,65,82
243017,6/26/2019,7/23/2000,118,83,87
243023,7/27/2019,4/8/2008,52, , 
243024,9/10/2019,4/7/2009,99, ,82
243025,8/6/2019,2/26/2003,93, ,76
243027,8/14/2019,2/24/2004,91, , 
243028,9/6/2019,9/30/2003,46, , 
243029,9/27/2019,9/9/2011,93, ,82
243030,9/25/2019,9/9/2011,90, ,82
243031,11/4/2019,4/11/2002,77,66,75
243032,10/8/2019,1/18/2011,102, , 
243033,11/24/2019,1/27/2006,112,81,82
244002,6/10/2019,8/11/2012,97,74,87
244003,6/11/2019,11/5/2011,103,85,82
244005,6/11/2019,5/18/2012,94,66,77
244006,6/12/2019,8/21/2012,103,78,88
244016,6/12/2019,4/3/2010,87,65,74
244018,6/13/2019,5/13/2009,95,74,80
244024,5/3/2019,11/20/2007,93,74,84
244028,5/22/2019,7/12/2006,89,73,75
244034,6/19/2019,5/2/2006,106,69,82
244035,6/18/2019,4/18/2006,100,77,78
244036,6/18/2019,12/19/2005,86,72,83
244037,5/21/2019,10/18/2005,90,70,76
244038,6/7/2019,10/20/2006,97,72,77
244040,6/23/2019,11/25/2006,103,77,84
244041,5/6/2019,1/18/2006,97,73,84
244042,6/25/2019,11/12/2005,94,73,82
244043,6/25/2019,12/3/2005,97,73,82
244045,6/27/2019,1/7/2006,97,75, 
244046,5/29/2019,4/12/2006,96,76,87
246001,6/11/2019,8/26/2008,105,36, 
246002,6/18/2019,11/1/2006,49,26, 
246003,6/18/2019,11/17/2006,77,45,59
246004,6/18/2019,9/2/2004,95,57, 
246005,6/18/2019,2/20/2003,61,38, 
246006,6/12/2019,4/28/2007, ,46, 
246007,6/12/2019,7/17/2009,58,53, 
246008,6/13/2019,6/21/2011,70,46, 
246009,6/16/2019,8/18/2010,60,41, 
246010,7/16/2019,11/18/2003,83,73, 
246011,7/16/2019,4/11/2006,106,82, 
246012,9/8/2019,7/12/2013,91,65, 
246013,9/8/2019,8/30/2010,85,64, 
246015,9/12/2019,8/23/2005,81,62, 
246017,9/8/2019,5/30/2001,88,69, 
246018,9/19/2019,4/11/2006,76,60, 
246019,9/22/2019,3/15/2007,96,61, 
246020,10/14/2019,1/11/2006,58,62, 
246021,10/31/2019,1/27/2011,86,57, 
248001,5/7/2019,10/24/2011,87,74,85
248004,5/22/2019,12/24/2011,93,84,103
248005,5/25/2019,4/26/2011,87,81,94
248006,5/19/2019,6/30/2009,98, , 
248008,5/23/2019,9/16/2011,95,89,95
248012,5/14/2019,7/10/2008,58,65,85
248013,4/26/2019,3/25/2006,90,60, 
248014,5/3/2019,5/11/2006,71,47,80
248016,5/20/2019,12/26/2000,57, , 
248017,5/8/2019,12/19/2001,59,64, 
248023,6/7/2019,11/3/2004,86,48, 
248024,7/20/2019,4/18/2002,65,51, 
248025,5/19/2019,10/25/2006,77, , 
248030,6/15/2019,12/23/2003,81,61, 
248031,6/7/2019,6/4/2002,52, , 
248033,7/22/2019,4/6/2004,78,33, 
248034,7/22/2019,4/15/2006,86,47, 
248035,8/30/2019,5/8/2004,81,69, 
248036,9/16/2019,12/25/2010,85,84,89
248037,12/8/2019,8/13/2002,87,49,58
248039,11/14/2019,11/22/2004,92,79,80
248040,12/19/2019,8/2/2008,91,66,76
248041,11/21/2019,11/8/2008,95,70,40
248042,12/12/2019,10/4/2007,87,68,93
248043,12/19/2019,8/12/2011,83,72,83
248045,2/12/2020,10/18/2009,90, , 
248045,2/12/2020,10/18/2009,90,65,86
248046,2/24/2020,6/8/2011,95,71,86
248047,2/13/2020,12/19/2005,69,74, 
248048,2/19/2020,9/7/2003,83,62,67
248049,2/25/2020,5/22/2008,85,60,48
248050,3/9/2020,3/5/2005,66,57,63
248051,3/2/2020,3/20/2003,85,58,66
248053,3/5/2020,1/25/2008,106,74,86
249006,6/15/2019,2/11/2008, ,52, 
252010,5/29/2019,1/15/2009,74,52, 
252019,5/28/2019,1/14/2003,66,59, 
253001,5/23/2019,5/28/2011,89,57,62
253002,5/24/2019,1/29/2013,80,70,69
253003,5/28/2019,1/3/2007,61,44, 
253004,6/1/2019,8/18/2009,75,45, 
253005,6/1/2019,1/13/2010,52,55, 
253009,6/3/2019,3/22/2012,88,40, 
253010,6/3/2019,9/24/2006,98,71, 
253011,6/3/2019,7/6/2006,84,74, 
253012,6/4/2019,8/14/2008,77,31, 
253013,6/4/2019,12/7/2007,98,77, 
253014,6/4/2019,3/23/2003,87,76, 
253015,6/10/2019,3/17/2009,81,29, 
253016,6/10/2019,4/25/2011,96,34, 
253017,6/10/2019,1/17/2013,96,32, 
253018,6/10/2019,3/4/2006,65,77, 
253019,6/11/2019,8/16/2005,51,33, 
253020,6/11/2019,3/9/2007,57,32, 
253021,6/11/2019,1/15/2011,79,48, 
253022,6/11/2019,9/12/2005,93,64, 
253023,6/12/2019,6/4/2011,84,47, 
253024,6/12/2019,3/16/2007,84,55, 
253025,6/12/2019,1/19/2004,73,30, 
253026,6/13/2019,5/8/2011,88,55, 
253027,6/13/2019,10/2/2007,87,55, 
253028,6/13/2019,8/27/2008,81,67, 
253029,6/14/2019,7/28/2009,83,62, 
253030,6/14/2019,3/25/2006,86,69, 
253031,6/14/2019,8/9/2010,78,51, 
253033,6/15/2019,12/27/2011,89,62, 
253034,6/15/2019,6/5/2010,99,62, 
253035,6/17/2019,9/14/2005,77,29, 
253036,6/17/2019,12/28/2011,78,49, 
253037,6/17/2019,9/24/2007,60,59, 
253038,6/18/2019,4/20/2007,64,35, 
253039,6/18/2019,6/8/2012,87,62, 
253040,6/18/2019,1/12/2011,81,34, 
253041,6/24/2019,11/29/2011,98,69, 
253042,6/24/2019,4/6/2004,95,65, 
253043,6/24/2019,3/26/2007,110,83, 
253044,6/24/2019,7/2/2010,89,55, 
253045,6/25/2019,9/4/2002, ,54, 
253046,6/25/2019,3/13/2008,80,43, 
253047,6/26/2019,3/24/2011,85,50, 
253048,6/26/2019,4/1/2006,70,31, 
253049,6/28/2019,7/21/2004,94,56, 
253050,6/28/2019,6/8/2012,82,63, 
254001,5/13/2019,1/21/2012, , ,48
254002,5/28/2019,10/20/2011,93, ,84
254003,5/13/2019,8/20/2011,52,42,40
254004,5/13/2019,8/9/2011, , ,75
254005,5/13/2019,5/22/2012,78,53,66
254008,5/30/2019,3/4/2011, , ,84
254009,5/14/2019,3/29/2011, , ,41
254011,5/21/2019,8/21/2009,61,36,46
254013,5/15/2019,7/15/2010, ,67,64
254017,5/14/2019,1/11/2009, , ,60
254019,6/17/2019,5/25/2008,87,53,75
254020,5/20/2019,7/9/2008, , ,65
254021,5/17/2019,3/31/2008, , ,76
254022,5/17/2019,8/23/2007,112,79,93
254023,6/10/2019,1/4/2002,94,58, 
254024,7/10/2019,11/16/2005,113,79, 
254025,7/22/2019,5/27/2005,57,48, 
255001,10/4/2019,4/16/2009,84,64, 
255003,5/20/2019,5/20/2011,80,51, 
255004,5/17/2019,2/25/2008,66,29, 
255005,6/21/2019,7/12/2003,72,35, 
255006,5/28/2019,10/18/2006,71,53, 
255007,6/1/2019,12/16/2003, ,56,41
255012,7/13/2019,1/18/2011,70,54, 
255013,7/9/2019,6/24/2008,80,53, 
256002,6/17/2019,9/2/2009,63,55,38
256003,7/14/2019,7/15/2004,63,39,39
256005,6/17/2019,11/2/2005,90, ,73
256006,7/15/2019,10/6/2011,87,75,72
256007,7/3/2019,1/1/2008, ,63,75
256008,6/27/2019,10/7/2004, , ,41
256009,6/26/2019,4/22/2011, , ,43
256011,7/9/2019,3/4/2010,92,62,46
256013,7/14/2019,8/17/2001,67,41,52
256020,9/2/2019,6/23/2003,78,56, 
256021,7/26/2019,2/6/2007,69,56,44
