ID,RFW_combo,RFW_combo_ss,RFQ_combo,RFQ_combo_ss
231047,,,227,116
231048,,,156,79
231050,,,162,82
232001,,,180,90
232002,,,172,86
232008,,,223,114
232009,,,179,90
232010,,,194,97
232011,,,222,113
232012,,,232,119
232013,,,206,104
232014,,,182,91
232017,,,215,109
232018,,,176,88
232022,,,196,98
232023,,,193,97
232024,,,221,113
232027,,,209,105
232028,,,218,111
232029,,,207,104
232032,,,199,100
232050,,,212,107
232051,,,216,110
232052,,,225,115
232053,,,182,91
232058,,,213,108
232059,,,223,114
232060,,,219,111
232063,,,223,114
232064,,,210,106
232066,,,202,102
232067,,,196,98
232069,,,188,94
232071,,,193,97
232072,,,243,127
232073,,,220,112
232074,,,214,108
232075,,,198,99
234017,,,236,122
234018,,,200,100
234019,,,191,96
234020,,,185,93
234021,,,226,116
234038,,,202,102
234039,,,149,77
234040,,,201,101
234041,,,189,95
234042,,,218,111
234043,,,200,100
234044,,,217,110
234047,,,195,98
234048,,,260,130
234049,,,188,94
234050,,,212,107
234051,,,222,113
235001,,,208,105
235007,,,233,120
235008,,,220,112
235009,,,197,99
235010,,,162,82
235019,,,227,116
235020,,,205,103
235022,,,169,85
235024,,,200,100
235026,,,247,129
235028,,,236,122
236001,209,105,,
236003,235,120,,
236004,252,130,,
236005,219,109,,
236006,,,201,101
236007,,,249,130
236008,,,231,119
236009,,,210,106
236010,,,200,100
236011,,,221,113
236012,,,240,125
236013,,,234,121
236015,,,202,102
236016,,,245,128
236017,,,216,110
236019,,,216,110
236022,,,188,94
236023,,,231,119
236024,,,182,91
236025,,,209,105
236026,,,220,112
236027,,,201,101
236029,,,236,122
236031,,,204,103
236041,,,240,125
236043,,,219,111
236044,,,217,110
236045,230,116,,
236047,185,99,,
236048,232,119,,
239001,,,211,107
239005,,,224,114
239007,,,244,127
239011,,,195,98
239012,,,215,109
239013,,,231,119
239016,,,209,105
239017,,,221,113
239019,,,231,119
239020,,,206,104
239021,180,97,,
239022,,,183,92
240004,,,210,106
240005,,,201,101
240006,,,214,108
240007,,,214,108
240008,203,103,,
240009,,,225,115
240011,,,180,90
240013,,,211,107
240014,,,213,108
240015,,,229,118
240016,,,189,95
240025,162,89,,
240027,,,214,108
240028,,,243,127
240029,,,247,129
240030,,,215,109
240031,,,225,115
240032,,,249,130
240033,,,168,85
240034,,,210,106
240035,,,185,93
241001,,,220,112
241003,,,163,82
241008,,,195,98
241009,,,188,94
241010,,,168,85
241012,,,212,107
241014,,,215,109
241015,,,219,111
241016,,,200,100
241017,,,229,118
241020,,,232,119
241022,,,215,109
241024,,,178,89
241028,,,239,124
243001,,,177,89
243004,,,194,97
243005,,,174,87
243006,,,198,99
243007,,,167,84
243008,,,189,95
243009,,,246,129
243011,,,208,105
243012,,,137,72
243013,,,193,97
243014,,,169,85
243017,,,155,79
243019,,,230,118
243023,,,252,130
243024,,,169,85
243025,,,182,91
243027,,,238,123
243029,,,163,82
243030,,,177,89
243031,,,183,92
243032,,,183,92
243033,,,153,78
244001,132,74,,
244002,154,82,,
244003,164,91,,
244005,181,98,,
244006,139,76,,
244007,121,62,,
244008,,,179,90
244009,,,133,71
244010,,,173,87
244011,,,154,79
244012,,,139,73
244013,,,131,70
244014,,,124,68
244015,,,125,68
244016,,,191,96
244018,,,177,89
244019,,,119,66
244020,,,110,64
244021,,,110,64
244022,,,112,64
244023,,,124,68
244024,,,155,79
244025,,,106,62
244026,,,110,64
244027,,,108,63
244028,,,163,82
244030,,,110,64
244031,,,109,63
244032,,,105,62
244033,,,100,61
244034,,,158,80
244035,,,136,72
244036,,,127,69
244037,,,117,66
244038,,,145,75
244039,,,123,67
244040,,,145,75
244041,,,137,72
244042,,,132,70
244043,,,134,71
244044,,,124,68
244045,,,122,67
244046,,,142,74
246001,,,177,89
246002,,,224,114
246003,,,223,114
246004,,,194,97
246005,,,231,119
246006,,,202,102
246007,,,243,127
246008,,,247,129
246009,,,248,130
246010,,,169,85
246011,,,133,71
246012,161,87,,
246013,,,200,100
246017,,,148,76
248001,153,81,,
248004,161,87,,
248005,,,184,92
248006,,,210,106
248007,,,230,118
248008,,,147,76
248011,,,135,71
248012,,,187,94
248013,,,174,87
248014,,,185,93
248016,,,244,127
248017,,,177,89
248023,,,230,118
248024,,,221,113
248025,,,207,104
248030,,,163,82
248031,,,222,113
248033,,,244,127
248034,,,215,109
248035,,,184,92
248036,,,162,82
248037,,,186,93
248039,,,159,81
248040,,,172,86
248041,,,204,103
248042,,,172,86
248043,,,176,88
248045,,,155,79
248046,,,182,91
248047,,,213,108
248048,,,139,73
248049,,,223,114
248050,,,166,84
248051,,,209,105
248053,,,128,69
249006,,,153,78
249014,,,214,108
249015,,,232,119
249017,,,161,82
249018,,,212,107
249019,,,176,88
249023,,,209,105
249024,,,162,82
251001,,,206,104
251002,,,221,113
251003,,,187,94
251004,,,190,95
251005,,,212,107
251006,,,224,114
252001,,,160,81
252002,,,199,100
252010,,,184,92
252019,,,211,107
253001,,,191,96
253003,,,205,103
253004,,,192,96
253005,,,209,105
253006,,,195,98
253009,,,216,110
253010,,,192,96
253011,,,181,91
253012,,,245,128
253013,,,162,82
253014,,,190,95
253015,,,204,103
253016,,,206,104
253017,191,101,,
253018,,,196,98
253019,,,210,106
253020,,,239,124
253021,,,166,84
253022,,,136,72
253023,,,189,95
253024,,,184,92
253025,,,195,98
253026,,,225,115
253027,,,181,91
253028,,,168,85
253029,,,191,96
253030,,,171,86
253031,,,210,106
253033,,,166,84
253034,,,187,94
253035,,,216,110
253036,,,190,95
253037,,,205,103
253038,,,203,102
253039,167,92,,
253040,,,195,98
253041,,,174,87
253042,,,196,98
253043,,,146,75
253044,,,185,93
253045,,,203,102
253046,,,187,94
253047,,,182,91
253048,,,205,103
253049,,,191,96
253050,178,96,,
254001,246,126,,
254002,162,89,,
254003,217,108,,
254004,211,107,,
254005,208,104,,
254006,,,235,121
254007,,,213,108
254008,,,217,110
254009,,,189,95
254010,,,234,121
254011,,,232,119
254012,,,235,121
254013,,,222,113
254014,,,215,109
254015,,,253,130
254016,,,158,80
254017,,,203,102
254018,,,188,94
254019,,,200,100
254020,,,212,107
254021,,,196,98
254022,,,155,79
254023,,,167,84
254024,,,137,72
254025,,,189,95
255001,,,183,92
255003,,,218,111
255004,,,213,108
255005,,,210,106
255006,,,234,121
255007,,,224,114
255008,,,199,100
255010,,,199,100
255012,,,221,113
255013,,,218,111
255014,,,218,111
256001,,,220,112
256002,,,225,115
256003,,,218,111
256004,,,175,88
256005,,,171,86
256006,,,159,81
256007,,,170,85
256008,,,214,108
256009,,,174,87
256011,,,205,103
256012,,,200,100
256013,,,216,110
256014,,,217,110
256015,,,215,109
256016,,,206,104
256017,,,246,129
256018,,,217,110
256019,,,229,118
256020,,,239,124
256021,,,200,100
256022,,,203,102
256023,,,216,110
256024,,,216,110
256025,,,239,124
256026,,,239,124
256027,,,241,125
256028,,,220,112
256029,,,196,98
256030,,,224,114
256031,,,193,97
256032,,,205,103
256033,,,202,102
256034,,,209,105
256035,,,211,107
256036,,,198,99
256037,,,213,108
256038,,,188,94
256039,,,206,104
256040,,,196,98
256041,,,201,101
256042,,,240,125
256043,,,246,129
256044,,,235,121
256045,,,219,111
256046,,,183,92
256047,,,231,119
256048,,,171,86
256049,,,182,91
256050,,,180,90
257023,,,204,103
257024,,,209,105
257025,,,180,90
257032,,,188,94
258007,,,171,86
258019,,,185,93
258032,,,218,111
258033,,,231,119
259001,,,210,106
259002,,,205,103
259003,,,224,114
259004,191,101,,
259005,,,260,130
259006,,,196,98
259007,,,231,119
259008,,,203,102
259009,,,209,105
259010,231,117,,
259011,,,224,114
259012,,,226,116
259013,,,231,119
259014,,,255,130
259015,,,218,111
259016,,,188,94
259017,,,184,92
259018,,,210,106
259019,,,204,103
259020,,,219,111
259021,,,208,105
259022,,,212,107
259024,,,239,124
259025,,,215,109
259027,,,204,103
259028,,,215,109
259030,,,193,97
259031,,,188,94
259032,,,203,102
259033,223,111,,
259034,,,207,104
259036,236,121,,
259037,,,153,78
259038,,,130,70
259039,,,164,83
259040,,,182,91
259041,,,179,90
259042,,,180,90
259043,,,141,74
259044,,,178,89
259046,,,183,92
259047,,,208,105
259048,,,164,83
259049,231,117,,
259050,163,90,,
260001,,,216,110
260002,,,221,113
260003,,,188,94
260004,,,229,118
260005,,,171,86
260006,,,203,102
260007,157,83,,
260009,,,198,99
260010,,,233,120
260013,,,177,89
260014,,,186,93
260016,,,200,100
260017,,,229,118
260018,,,229,118
261001,,,233,120
261002,,,232,119
261004,,,201,101
261006,,,243,127
261007,,,154,79
261008,,,251,130
261009,,,210,106
261010,,,206,104
261011,,,226,116
261012,,,204,103
261013,,,193,97
261014,,,223,114
261015,,,198,99
261016,,,148,76
261017,,,165,83
261018,,,209,105
261019,,,204,103
261020,,,226,116
261021,,,202,102
261022,,,176,88
261023,,,185,93
261024,,,179,90
261025,,,181,91
261026,,,218,111
261028,,,207,104
261029,,,208,105
261030,,,193,97
261031,,,148,76
261033,,,155,79
261035,,,193,97
261036,,,208,105
261037,,,162,82
261039,,,196,98
261040,,,228,117
261041,,,206,104
261042,,,191,96
261043,,,185,93
261044,,,177,89
261045,,,193,97
261047,,,196,98
261048,,,204,103
261049,,,145,75
262001,,,211,107
262002,,,260,130
262003,,,226,116
262005,,,164,83
262006,,,199,100
262007,,,204,103
262008,181,98,,
262009,,,174,87
262010,,,206,104
262011,,,215,109
262012,,,252,130
262013,,,178,89
262015,,,208,105
262016,,,139,73
262017,,,236,122
262018,,,191,96
262019,,,194,97
262020,,,252,130
262021,,,183,92
262022,,,205,103
262023,,,222,113
262024,,,175,88
262025,,,194,97
262035,,,236,122
262036,,,251,130
262042,,,195,98
262045,,,202,102
262046,,,174,87
262048,,,152,78
262052,,,186,93
262058,,,236,122
262059,,,203,102
262062,,,211,107
262064,,,185,93
262065,,,228,117
262066,,,227,116
262067,,,194,97
262068,,,171,86
262069,,,187,94
262070,,,195,98
262072,,,229,118
262073,,,216,110
262074,,,237,123
262075,,,235,121
263001,,,231,119
263002,,,247,129
263003,,,200,100
263004,,,187,94
263005,,,197,99
263006,,,194,97
263007,,,189,95
264002,,,185,93
264003,,,204,103
264004,,,229,118
264006,,,187,94
264007,,,198,99
264008,,,213,108
264010,,,201,101
264011,,,201,101
264012,,,165,83
264013,,,251,130
264014,,,218,111
264017,,,225,115
264018,,,233,120
264019,,,203,102
264020,,,239,124
264021,,,214,108
264022,,,207,104
264023,,,246,129
264024,,,239,124
264025,,,210,106
264026,,,203,102
264027,,,210,106
264028,,,205,103
264030,,,256,130
264032,,,189,95
264033,,,180,90
264034,,,204,103
264035,,,213,108
264036,,,213,108
264037,,,218,111
264038,,,243,127
264039,,,193,97
264040,,,224,114
264041,,,212,107
264042,,,234,121
264045,,,194,97
264048,,,221,113
265001,,,178,89
265002,,,169,85
265003,,,150,77
265004,,,195,98
265005,,,174,87
265006,,,208,105
265007,,,202,102
265008,,,204,103
265009,,,223,114
265010,,,217,110
265011,,,172,86
265012,,,231,119
265013,,,237,123
265014,,,220,112
265015,201,102,,
265016,,,164,83
265017,,,152,78
265018,,,236,122
265019,248,128,,
265020,,,180,90
265021,,,211,107
266001,,,208,105
266002,,,212,107
266003,,,228,117
266004,250,130,,
266005,,,168,85
266006,,,180,90
266008,,,175,88
266009,,,211,107
266010,,,183,92
266011,,,191,96
266012,,,203,102
266013,,,189,95
266014,,,203,102
266015,162,89,,
266016,,,203,102
267001,,,210,106
267002,,,203,102
267003,,,180,90
267004,,,185,93
267005,,,204,103
267006,,,238,123
267007,,,223,114
268007,,,195,98
268008,,,202,102
269003,,,194,97
269004,,,238,123
269005,,,169,85
269006,,,213,108
269007,,,237,123
269008,,,185,93
269009,,,195,98
269010,,,161,82
271001,,,164,83
271002,,,205,103
271003,,,198,99
271004,,,186,93
271005,,,193,97
271006,,,241,125
271007,,,181,91
271008,,,208,105
271009,,,133,71
271010,,,211,107
271011,,,254,130
271015,,,250,130
301001,,,239,124
301002,,,238,123
302009,,,182,91
302010,,,213,108
302011,,,199,100
302012,,,245,128
302013,,,222,113
302014,,,160,81
302015,,,177,89
302016,,,179,90
302017,,,167,84
302019,,,175,88
302020,,,196,98
302021,,,173,87
302022,,,226,116
302023,,,223,114
302024,,,182,91
302025,,,192,96
302026,,,194,97
302027,,,174,87
302028,,,195,98
302029,,,157,80
302030,,,192,96
302031,,,234,121
302033,,,178,89
305001,,,247,129
305002,,,206,104
305003,,,211,107
305004,,,197,99
305006,,,236,122
305007,,,195,98
305008,,,169,85
305009,,,129,69
305010,,,172,86
305012,,,218,111
305013,,,172,86
305016,,,219,111
305017,,,161,82
305018,,,228,117
305021,,,227,116
305023,,,242,126
305024,,,229,118
305025,,,228,117
305027,,,204,103
305028,,,203,102
305029,,,210,106
307001,,,197,99
307002,,,169,85
307003,,,152,78
307005,,,168,85
307006,,,215,109
307007,,,248,130
307008,,,248,130
307009,,,198,99
307010,,,202,102
307011,,,190,95
307012,,,191,96
307013,,,232,119
307014,,,208,105
307015,,,226,116
307016,,,211,107
307017,,,199,100
309001,,,245,128
309003,,,174,87
309005,,,179,90
309006,,,229,118
309007,,,191,96
309009,,,207,104
309010,,,168,85
309011,,,196,98
309012,,,207,104
309013,,,196,98
309017,,,199,100
309018,,,206,104
309019,,,193,97
309020,,,213,108
309022,,,255,130
309023,,,219,111
309024,,,202,102
309025,,,200,100
309027,,,210,106
309028,,,210,106
309030,,,218,111
309031,,,219,111
309032,,,222,113
309034,,,198,99
309037,,,233,120
309038,,,217,110
309039,,,202,102
309040,,,234,121
309041,,,225,115
309042,,,224,114
309044,,,202,102
309045,,,194,97
309046,,,230,118
309047,,,219,111
309048,,,194,97
309049,,,202,102
310001,,,200,100
310002,,,184,92
310003,,,177,89
310004,,,211,107
310006,,,225,115
313002,,,141,74
313004,,,213,108
313005,,,159,81
313006,,,201,101
313008,,,209,105
313009,,,210,106
313010,,,162,82
313011,,,174,87
313012,,,186,93
313013,,,177,89
313014,,,183,92
313015,,,201,101
313016,,,211,107
313017,,,149,77
313020,,,161,82
313026,,,196,98
314003,,,214,108
314005,,,158,80
314006,,,201,101
314011,,,188,94
314013,,,171,86
314015,,,203,102
315007,,,231,119
316002,,,183,92
316005,,,214,108
316006,,,191,96
316007,,,190,95
316008,,,183,92
316010,,,205,103
316011,,,207,104
316012,,,209,105
316013,,,202,102
316014,,,168,85
317001,,,217,110
317002,,,190,95
317003,,,197,99
317004,,,170,85
317006,,,177,89
317007,,,191,96
317009,,,221,113
317010,,,206,104
317013,,,245,128
317014,,,243,127
317015,,,254,130
318002,,,173,87
318003,,,219,111
318004,,,188,94
318005,,,106,62
318008,,,192,96
318009,,,196,98
318011,,,152,78
318014,,,202,102
318016,,,202,102
318017,,,218,111
318020,,,158,80
318029,,,126,68
319002,,,208,105
319003,,,196,98
319004,,,206,104
319005,,,219,111
319006,,,132,70
319007,,,185,93
319008,,,166,84
321001,,,200,100
321002,,,220,112
321003,,,226,116
321004,,,198,99
321005,,,212,107
321006,,,217,110
321007,,,243,127
321008,,,220,112
321009,,,216,110
321010,,,222,113
321011,,,226,116
321013,,,207,104
321014,,,213,108
321015,,,214,108
323001,,,185,93
323002,,,135,71
323004,,,179,90
323007,,,153,78
323008,,,204,103
323009,,,109,63
323013,,,159,81
323014,,,199,100
323015,,,153,78
323016,,,200,100
325002,,,164,83
325003,,,145,75
325004,,,212,107
325009,,,151,77
325010,,,138,72
325011,,,219,111
325013,,,209,105
325014,,,218,111
325015,,,232,119
325016,,,186,93
325018,,,134,71
326001,,,143,74
326002,,,137,72
326003,,,160,81
326004,,,185,93
326005,,,158,80
326008,,,178,89
326011,,,133,71
326014,,,131,70
326015,,,153,78
326020,,,133,71
326021,,,145,75
326028,207,104,,
326029,129,72,,
326030,145,79,,
326031,126,69,,
327001,,,212,107
327002,,,174,87
327005,,,179,90
327008,,,227,116
327009,,,163,82
327010,,,153,78
327011,,,155,79
327012,,,176,88
327014,,,228,117
327015,,,140,73
327016,,,202,102
327017,,,154,79
327018,,,192,96
327019,,,170,85
327020,,,157,80
327021,,,163,82
327022,,,123,67
327023,,,147,76
327026,,,242,126
327027,,,196,98
327028,,,174,87
327029,,,166,84
327030,,,187,94
327031,,,180,90
327032,,,181,91
327034,,,237,123
327035,,,113,64
327036,,,198,99
327037,,,173,87
327039,,,185,93
327040,,,188,94
327042,,,201,101
327043,,,220,112
327044,,,216,110
327045,,,190,95
327046,,,182,91
327047,,,151,77
327048,,,222,113
327049,,,215,109
327050,163,90,,
328010,,,167,84
328011,,,179,90
328012,,,211,107
329001,,,152,78
329002,,,206,104
329003,,,213,108
329004,,,231,119
329006,,,184,92
329007,,,204,103
329008,,,187,94
329014,,,182,91
329017,,,175,88
329018,,,198,99
330001,,,187,94
330002,,,190,95
330003,,,226,116
330004,,,164,83
330005,,,194,97
330006,,,179,90
330007,,,195,98
330008,,,222,113
330009,,,221,113
330010,,,243,127
330011,,,197,99
330012,,,207,104
330013,,,195,98
330014,,,197,99
331002,145,79,,
331003,,,143,74
331004,,,235,121
331005,,,233,120
331007,,,188,94
331008,,,200,100
331009,,,202,102
331011,,,158,80
331012,,,211,107
331013,,,185,93
331014,,,211,107
331015,,,181,91
331016,,,203,102
333008,,,186,93
333009,,,193,97
333012,,,220,112
336001,,,178,89
336002,,,186,93
336004,,,145,75
336005,,,163,82
336007,,,161,82
336008,,,169,85
336010,,,181,91
336011,,,164,83
336012,,,205,103
336013,,,156,79
336016,,,158,80
336017,,,201,101
338001,,,163,82
338002,,,114,65
338004,,,120,66
338009,,,202,102
338010,,,212,107
338011,,,202,102
338012,,,226,116
338013,,,173,87
338014,,,186,93
338015,,,128,69
339001,190,100,,
339002,,,201,101
339003,,,172,86
339004,,,202,102
339005,,,223,114
339007,,,242,126
339009,,,244,127
342001,,,221,113
342002,,,223,114
342003,,,201,101
342004,,,125,68
342005,,,186,93
342006,,,176,88
342008,,,209,105
342009,,,164,83
342010,,,214,108
342011,,,207,104
342012,,,200,100
342013,,,209,105
342015,,,171,86
342017,,,141,74
342018,,,155,79
342019,,,123,67
342022,,,162,82
342023,,,177,89
342024,,,191,96
342027,,,203,102
342028,,,199,100
342031,,,186,93
342033,,,146,75
342038,,,204,103
342039,,,217,110
342040,,,168,85
342041,,,211,107
342045,,,229,118
342047,,,215,109
342048,,,210,106
342049,,,199,100
346002,165,91,,
346003,,,203,102
346004,,,201,101
346005,,,225,115
346006,,,135,71
346007,,,131,70
346008,176,95,,
346009,,,128,69
346011,,,213,108
346012,,,219,111
346013,,,139,73
346014,,,173,87
346015,,,136,72
348001,179,97,,
348007,225,113,,
348008,227,115,,
348009,232,119,,
348010,224,112,,
348011,210,106,,
348012,216,108,,
348013,226,114,,
348014,190,100,,
348015,221,110,,
348016,211,107,,
348017,222,110,,
348018,223,111,,
348019,203,103,,
348020,209,105,,
349001,,,174,87
349002,,,140,73
353002,,,134,71
353003,,,211,107
353004,,,202,102
353005,,,217,110
353006,,,193,97
353007,,,221,113
353008,,,231,119
353009,,,203,102
353012,,,231,119
353013,,,232,119
353017,,,183,92
353018,,,178,89
354001,,,216,110
354002,,,181,91
354003,,,183,92
354004,,,233,120
354005,,,158,80
354006,,,226,116
354007,,,207,104
354008,,,234,121
354009,,,218,111
354010,,,180,90
354011,,,210,106
354012,,,170,85
354014,,,163,82
354015,,,194,97
354016,,,196,98
354017,,,202,102
354018,,,177,89
354019,,,192,96
354020,,,168,85
354021,,,196,98
354022,,,164,83
354023,,,201,101
354024,,,167,84
354025,,,221,113
354026,,,182,91
354027,,,218,111
354028,,,185,93
354029,,,173,87
354030,,,185,93
354031,,,180,90
354032,,,170,85
354033,,,169,85
354034,,,188,94
354035,,,177,89
354036,,,140,73
354037,,,192,96
354038,,,217,110
354039,,,180,90
360001,,,195,98
360002,,,183,92
360003,,,221,113
360004,,,185,93
360005,,,215,109
360006,,,218,111
360007,,,185,93
360008,,,219,111
360009,,,190,95
360010,,,161,82
360011,,,182,91
360012,,,142,74
360013,,,179,90
360014,,,195,98
360015,,,156,79
360016,,,140,73
360017,,,167,84
360018,,,178,89
360020,,,203,102
360021,,,177,89
360022,,,146,75
360023,,,175,88
360024,,,177,89
360025,,,137,72
