ID,age,gender,ethnicity,SES,source
323003,5,1,2,2,matchpool
323013,10,1,3,2,matchpool
323014,11,2,2,2,matchpool
324006,9,1,3,3,matchpool
325006,49,1,3,3,matchpool
325010,10,1,3,2,matchpool
326003,8,2,7,2,matchpool
326020,8,1,7,1,matchpool
327032,17,2,3,3,matchpool
327038,8,1,3,3,matchpool
327039,12,2,1,3,matchpool
329017,12,1,7,3,matchpool
330014,15,2,3,2,matchpool
333003,86,2,3,2,matchpool
336014,5,2,7,4,matchpool
336015,16,1,7,2,matchpool
338013,8,2,3,4,matchpool
338016,52,1,7,3,matchpool
342001,8,2,2,3,matchpool
342003,17,1,2,2,matchpool
342005,12,1,2,2,matchpool
342013,15,2,2,3,matchpool
342018,12,1,2,1,matchpool
342031,17,2,2,1,matchpool
342034,13,2,2,2,matchpool
342047,15,1,2,2,matchpool
346011,17,2,3,3,matchpool
349001,8,2,3,4,matchpool
354010,9,1,7,3,matchpool
354014,10,2,7,4,matchpool
354018,13,1,7,3,matchpool
354025,16,1,7,3,matchpool
354045,85,1,7,2,matchpool
354046,63,1,7,2,matchpool
360011,9,1,3,4,matchpool
360018,11,2,3,4,matchpool
401002,31,1,7,3,matchpool
401017,6,2,6,4,matchpool
480019,14,1,3,4,matchpool
480020,13,2,7,4,matchpool
480023,15,1,3,1,matchpool
501004,12,1,3,3,matchpool
501007,12,2,3,4,matchpool
501013,13,2,3,4,matchpool
501014,12,1,3,3,matchpool
501029,15,1,3,4,matchpool
