ID,TODparent_tot,TODteacher_tot,TODself_tot,TODparent_tot_nt,TODteacher_tot_nt,TODself_tot_nt
212004,59,68,64,54,54,42
212006,52,61,81,49,49,52
212007,53,54,91,50,46,59
212008,63,,76,57,,49
212009,67,,83,59,,53
212010,66,,82,58,,52
212011,,,62,,,41
212012,67,,87,59,,56
212013,64,,85,57,,54
212014,57,,73,53,,47
212015,38,39,45,41,40,40
212016,60,82,77,55,61,49
212017,35,,47,40,,40
212018,58,65,74,53,52,48
212019,58,69,79,53,55,51
212020,43,63,73,44,50,47
212021,68,68,78,60,54,50
212022,68,90,111,60,66,71
212023,,79,87,,60,56
212024,49,,57,47,,40
212025,37,39,62,40,40,41
212026,45,49,48,45,44,40
212027,57,65,83,53,52,53
212028,67,,72,59,,47
212029,67,,86,59,,55
213002,31,,71,40,,46
213005,47,67,,46,53,
213017,52,,87,49,,56
213018,47,,74,46,,48
214012,38,,55,41,,40
214013,44,63,71,44,50,46
214015,39,38,57,42,40,40
214017,60,,83,55,,53
214018,54,,72,50,,47
214021,65,38,84,58,40,54
214024,42,,64,43,,42
214028,52,54,91,49,46,59
214029,40,33,70,42,40,45
214031,44,44,54,44,42,40
214032,52,,87,49,,56
214034,37,56,49,40,47,40
214035,55,,83,51,,53
214040,52,,83,49,,53
214041,65,,92,58,,60
214051,37,64,53,40,51,40
214052,38,,45,41,,40
214053,46,,61,46,,41
214056,49,,67,47,,44
214058,52,,59,49,,40
214060,30,37,38,40,40,40
214067,40,32,50,42,40,40
214068,28,40,60,40,40,40
214069,49,,58,47,,40
214072,34,43,62,40,41,41
214074,64,,,57,,
214075,62,,64,56,,42
216004,38,,69,41,,45
216005,52,,67,49,,44
217015,54,,,50,,
217016,,58,,,48,
217017,54,63,,50,50,
217019,,68,,,54,
217020,,72,,,56,
217021,,,70,,,45
217022,,66,78,,53,50
218003,44,,74,44,,48
218004,49,,67,47,,44
218005,42,,76,43,,49
218006,31,,74,40,,48
218007,46,,66,46,,43
218009,33,,75,40,,48
218010,44,,72,44,,47
218011,39,,45,42,,40
218012,38,,70,41,,45
218013,32,,67,40,,44
218014,60,,70,55,,45
219006,,,102,,,66
219007,70,,97,61,,63
219008,47,,66,46,,43
221001,,,84,,,54
221002,,,77,,,49
221003,,43,58,,41,40
221004,,40,73,,40,47
221005,,,71,,,46
221006,51,,79,48,,51
221007,,,93,,,60
221008,,,77,,,49
221009,,,76,,,49
221010,,,78,,,50
221011,,,58,,,40
221012,,,70,,,45
221013,,,92,,,60
221014,,,83,,,53
221015,,64,84,,51,54
221016,,,73,,,47
221017,,,98,,,64
221018,,,76,,,49
221019,,63,84,,50,54
222023,49,55,71,47,46,46
222026,53,,,50,,
222028,62,,89,56,,57
223002,71,,93,62,,60
223005,44,,71,44,,46
223006,59,,96,54,,62
223007,51,,81,48,,52
223008,69,,93,60,,60
223009,72,,94,63,,61
223010,62,,80,56,,51
223011,52,,57,49,,40
223012,65,,96,58,,62
223013,28,,81,40,,52
223014,,,84,,,54
223015,57,,73,53,,47
223016,58,,86,53,,55
223017,63,,97,57,,63
223018,61,,90,55,,58
223019,37,,93,40,,60
223020,71,,84,62,,54
223021,37,,71,40,,46
223023,47,,69,46,,45
223024,65,,90,58,,58
223027,34,,60,40,,40
223028,60,,80,55,,51
223029,,,79,,,51
223030,48,,81,47,,52
223031,71,,74,62,,48
223032,,,82,,,52
223033,,,89,,,57
223034,54,,90,50,,58
223036,,,79,,,51
223037,42,,78,43,,50
223042,42,,80,43,,51
223047,36,,100,40,,65
223048,36,,77,40,,49
223049,91,,99,75,,64
223051,57,,77,53,,49
223052,58,,80,53,,51
223053,59,,78,54,,50
223054,63,,97,57,,63
223055,49,,78,47,,50
223056,55,,94,51,,61
223058,100,,102,80,,66
223061,66,,93,58,,60
223062,74,,86,64,,55
223063,63,,74,57,,48
223064,37,,78,40,,50
223065,47,,86,46,,55
223066,54,,87,50,,56
223067,50,,97,48,,63
223068,71,,101,62,,66
223069,73,,107,63,,70
223070,68,,87,60,,56
223071,69,,96,60,,62
223072,52,,84,49,,54
223073,58,,88,53,,57
223074,58,,90,53,,58
223075,54,,91,50,,59
225005,50,69,75,48,55,48
225006,30,46,71,40,43,46
225009,55,82,75,51,61,48
225010,54,37,74,50,40,48
226013,,74,99,,57,64
226014,,74,93,,57,60
226015,,,85,,,54
226019,,,79,,,51
226020,,72,116,,56,73
226023,,75,104,,58,68
226024,,85,102,,64,66
226025,,68,83,,54,53
226026,,92,97,,67,63
226027,66,,94,58,,61
226028,,95,88,,71,57
226029,,,93,,,60
226030,56,51,81,52,45,52
226032,50,41,69,48,40,45
226034,59,74,83,54,57,53
226036,51,54,94,48,46,61
226038,67,82,86,59,61,55
226041,,56,59,,47,40
226043,,61,100,,49,65
226044,,40,56,,40,40
226045,,66,90,,53,58
226046,68,73,81,60,57,52
226048,49,62,72,47,50,47
226049,28,67,51,40,53,40
226050,45,42,66,45,41,43
227005,42,55,62,43,46,41
227006,38,,62,41,,41
227007,39,,80,42,,51
227008,32,,44,40,,40
227011,49,,77,47,,49
227012,68,,92,60,,60
227016,66,,78,58,,50
227017,41,,80,43,,51
227021,52,,86,49,,55
227026,48,,79,47,,51
228004,,,38,,,40
228006,46,,62,46,,41
228007,76,,71,65,,46
228009,51,,71,48,,46
228010,41,,71,43,,46
232001,67,47,96,59,43,62
232002,65,56,91,58,47,59
232008,60,38,84,55,40,54
232010,73,,56,63,,40
232011,35,34,61,40,40,41
232012,39,,,42,,
232014,62,46,44,56,43,40
232017,45,46,49,45,43,40
232018,,,78,,,50
232022,62,,81,56,,52
232023,67,,90,59,,58
232024,37,,45,40,,40
232027,51,,,48,,
232028,30,,46,40,,40
232029,29,,39,40,,40
232050,32,,51,40,,40
232051,,,60,,,40
232052,44,,72,44,,47
232053,55,51,85,51,45,54
232058,42,46,64,43,43,42
232059,57,70,90,53,55,58
232060,50,38,,48,40,
232063,31,33,70,40,40,45
232064,72,46,96,63,43,62
232066,67,,88,59,,57
232069,69,64,86,60,51,55
232072,,,66,,,43
232075,,62,91,,50,59
234017,,35,54,,40,40
234018,,89,85,,66,54
234019,,55,77,,46,49
234020,,71,75,,56,48
234021,,66,77,,53,49
234037,,,52,,,40
234038,,75,79,,58,51
234040,,83,85,,62,54
234041,,70,75,,55,48
234042,,82,61,,61,41
234043,,65,72,,52,47
234047,,,91,,,59
234048,,,64,,,42
234049,,,100,,,65
234050,36,59,63,40,48,42
234051,,69,87,,55,56
235001,53,60,74,50,48,48
236001,56,,73,52,,47
236003,56,,94,52,,61
236005,57,,88,53,,57
236006,50,,90,48,,58
236008,60,,79,55,,51
236010,43,,78,44,,50
236013,37,,73,40,,47
236015,56,,,52,,
236019,42,,65,43,,42
236024,58,,101,53,,66
236025,29,,69,40,,45
236026,,,59,,,40
236027,54,,98,50,,64
236029,52,,75,49,,48
236031,45,,72,45,,47
236041,52,,81,49,,52
236043,33,,71,40,,46
236044,49,,87,47,,56
236045,54,,76,50,,49
236047,62,,90,56,,58
236048,55,,,51,,
239001,56,46,83,52,43,53
239011,,,77,,,49
239017,33,,63,40,,42
239019,62,,73,56,,47
239020,,,72,,,47
239021,,,95,,,62
239022,41,,84,43,,54
240004,,,59,,,40
240008,,,93,,,60
240009,46,,70,46,,45
240011,,,75,,,48
240013,47,,,46,,
240014,45,,68,45,,44
240015,45,,62,45,,41
240016,55,44,82,51,42,52
240025,,92,87,,67,56
240026,,60,92,,48,60
240027,,60,70,,48,45
240028,55,61,53,51,49,40
240029,,61,83,,49,53
240030,,60,71,,48,46
240031,,,69,,,45
240032,,,66,,,43
240034,,61,77,,49,49
240035,,61,78,,49,50
241001,38,,62,41,,41
241003,77,81,83,66,61,53
241008,80,,110,68,,70
241009,80,,78,68,,50
241014,,55,85,,46,54
241016,72,63,92,63,50,60
241017,57,67,63,53,53,42
241020,37,46,54,40,43,40
243005,76,,95,65,,62
243007,57,80,86,53,60,55
243011,,59,65,,48,42
243012,,77,105,,59,68
243013,,,42,,,40
243017,83,87,118,69,65,74
243023,,,52,,,40
243027,,,91,,,59
243028,,,46,,,40
243030,,82,90,,61,58
243031,66,75,77,58,58,49
243032,,,102,,,66
243033,81,82,112,68,61,72
244024,74,84,93,64,63,60
244028,73,75,89,63,58,57
244034,69,82,106,60,61,69
244035,77,78,100,66,60,65
244036,72,83,86,63,62,55
244037,70,76,90,61,58,58
244038,72,77,97,63,59,63
244040,77,84,103,66,63,67
244041,73,84,97,63,63,63
244043,73,82,97,63,61,63
246001,36,,105,40,,68
246002,26,,49,40,,40
246003,45,59,77,45,48,49
246004,57,,95,53,,62
246005,38,,61,41,,41
246006,46,,,46,,
246007,53,,58,50,,40
246008,46,,70,46,,45
246009,41,,60,43,,40
246010,73,,83,63,,53
246011,82,,106,69,,69
246012,65,,91,58,,59
246013,64,,85,57,,54
246015,62,,81,56,,52
246017,69,,88,60,,57
246018,60,,76,55,,49
246019,61,,96,55,,62
246020,62,,58,56,,40
246021,57,,86,53,,55
248004,84,103,93,70,74,60
248005,81,94,87,68,70,56
248006,,,98,,,64
248012,65,85,58,58,64,40
248013,60,,90,55,,58
248014,47,80,71,46,60,46
248016,,,57,,,40
248017,64,,59,57,,40
248023,48,,86,47,,55
248024,51,,65,48,,42
248025,,,77,,,49
248030,61,,81,55,,52
248031,,,52,,,40
248033,33,,78,40,,50
248035,69,,81,60,,52
248036,84,89,85,70,66,54
248037,49,58,87,47,48,56
248039,79,80,92,67,60,60
248040,66,76,91,58,58,59
248041,70,40,95,61,40,62
248042,68,93,87,60,69,56
248043,72,83,83,63,62,53
248045,65,86,90,58,64,58
248046,71,86,95,62,64,62
248047,74,,69,64,,45
248048,62,67,83,56,53,53
248049,60,48,85,55,43,54
248050,57,63,66,53,50,43
248051,58,66,85,53,53,54
248053,74,86,106,64,64,69
249006,52,,,49,,
252010,52,,74,49,,48
252019,59,,66,54,,43
253001,57,62,89,53,50,57
253002,70,69,80,61,55,51
253003,44,,61,44,,41
253004,45,,75,45,,48
253005,55,,52,51,,40
253009,40,,88,42,,57
253010,71,,98,62,,64
253011,74,,84,64,,54
253012,31,,77,40,,49
253013,77,,98,66,,64
253015,29,,81,40,,52
253016,34,,96,40,,62
253017,32,,96,40,,62
253019,33,,51,40,,40
253020,32,,57,40,,40
253021,48,,79,47,,51
253022,64,,93,57,,60
253023,47,,84,46,,54
253024,55,,84,51,,54
253025,30,,73,40,,47
253026,55,,88,51,,57
253027,55,,87,51,,56
253028,67,,81,59,,52
253029,62,,83,56,,53
253030,69,,86,60,,55
253031,51,,78,48,,50
253033,62,,89,56,,57
253034,62,,99,56,,64
253035,29,,77,40,,49
253036,49,,78,47,,50
253037,59,,60,54,,40
253038,35,,64,40,,42
253039,62,,87,56,,56
253040,34,,81,40,,52
253041,69,,98,60,,64
253042,65,,95,58,,62
253044,55,,89,51,,57
253045,54,,,50,,
253046,43,,80,44,,51
253047,50,,85,48,,54
253048,31,,70,40,,45
253049,56,,94,52,,61
253050,63,,82,57,,52
254001,,48,,,43,
254002,,84,93,,63,60
254003,42,40,52,43,40,40
254004,,75,,,58,
254005,53,66,78,50,53,50
254006,34,62,39,40,50,40
254007,,67,77,,53,49
254008,,84,,,63,
254009,,41,,,40,
254011,36,46,61,40,43,41
254012,,45,,,42,
254013,67,64,,59,51,
254015,35,34,46,40,40,40
254016,83,90,95,69,66,62
254017,,60,,,48,
254018,,61,78,,49,50
254019,53,75,87,50,58,56
254020,,65,,,52,
254021,,76,,,58,
254022,79,93,112,67,69,72
254023,58,,94,53,,61
254025,48,,57,47,,40
255003,51,,80,48,,51
255004,29,,66,40,,43
255005,35,,72,40,,47
255006,53,,71,50,,46
255007,56,41,,52,40,
255012,54,,70,50,,45
255013,53,,80,50,,51
256001,38,41,51,41,40,40
256002,55,38,63,51,40,42
256003,39,39,63,42,40,42
256004,65,74,85,58,57,54
256005,,73,90,,57,58
256006,75,72,87,65,56,56
256007,63,75,,57,58,
256008,,41,,,40,
256009,,43,,,41,
256011,62,46,92,56,43,60
256012,64,52,86,57,45,55
256013,41,52,67,43,45,44
256014,63,67,89,57,53,57
256016,58,44,86,53,42,55
256018,63,57,71,57,47,46
256019,53,,88,50,,57
256020,56,,78,52,,50
256021,56,44,69,52,42,45
256022,73,,65,63,,42
256023,38,49,130,41,44,80
256024,,55,,,46,
256025,53,36,68,50,40,44
256026,61,,87,55,,56
256027,,40,,,40,
256029,,39,,,40,
256030,46,36,51,46,40,40
256032,,49,,,44,
256037,,52,70,,45,45
256038,87,70,120,72,55,76
256039,42,,74,43,,48
256040,51,,92,48,,60
256041,86,84,100,71,63,65
256042,42,,59,43,,40
256043,63,,,57,,
256044,,58,84,,48,54
256046,,58,,,48,
256048,54,,118,50,,74
256049,,57,,,47,
256050,,,97,,,63
259001,44,,59,44,,40
259003,45,,70,45,,45
259004,64,,84,57,,54
259007,44,,69,44,,45
259008,37,,94,40,,61
259009,50,,82,48,,52
259010,51,,58,48,,40
259011,,,71,,,46
259013,31,,88,40,,57
259014,42,,69,43,,45
259015,26,,73,40,,47
259016,56,,82,52,,52
259017,69,,81,60,,52
259018,64,,86,57,,55
259019,,,84,,,54
259020,,,84,,,54
259021,,,90,,,58
259022,40,,84,42,,54
259024,,,51,,,40
259025,71,,80,62,,51
259027,33,,49,40,,40
259030,58,,85,53,,54
259031,53,,91,50,,59
259032,51,,72,48,,47
259033,31,,55,40,,40
259034,,,83,,,53
259036,43,,51,44,,40
259037,76,,102,65,,66
259038,72,,96,63,,62
259042,28,,64,40,,42
259043,75,,83,65,,53
259044,63,,86,57,,55
259046,61,,73,55,,47
259047,52,,82,49,,52
259049,36,,89,40,,57
259050,60,,88,55,,57
260001,34,,56,40,,40
260003,66,61,83,58,49,53
260004,51,68,80,48,54,51
260005,71,87,100,62,65,65
260006,54,66,75,50,53,48
260009,,65,79,,52,51
260010,,61,73,,49,47
260013,43,65,,44,52,
260014,53,66,,50,53,
260016,59,78,100,54,60,65
260017,47,69,83,46,55,53
260018,,61,71,,49,46
261001,51,64,78,48,51,50
261002,53,61,72,50,49,47
261003,,72,70,,56,45
261006,37,,72,40,,47
261007,,83,101,,62,66
261008,32,43,65,40,41,42
261009,64,78,87,57,60,56
261010,,56,,,47,
261011,66,67,54,58,53,40
261012,68,,90,60,,58
261013,54,60,,50,48,
261014,,58,68,,48,44
261015,30,,54,40,,40
261017,67,93,93,59,69,60
261018,68,,91,60,,59
261019,49,,77,47,,49
261020,36,,55,40,,40
261021,29,,,40,,
261022,54,37,82,50,40,52
261023,,68,,,54,
261024,50,49,71,48,44,46
261025,69,69,89,60,55,57
261026,45,61,56,45,49,40
261027,58,43,82,53,41,52
261028,52,56,69,49,47,45
261029,55,,,51,,
261030,46,47,,46,43,
261033,65,78,87,58,60,56
261036,55,49,92,51,44,60
261037,68,92,,60,67,
261039,57,59,60,53,48,40
261040,36,51,50,40,45,40
261041,48,,70,47,,45
261042,57,36,75,53,40,48
261043,42,63,68,43,50,44
261045,,70,,,55,
261046,63,40,90,57,40,58
261047,41,63,,43,50,
261048,43,,51,44,,40
261049,,86,,,64,
262001,68,77,85,60,59,54
262002,50,71,87,48,56,56
262003,44,43,53,44,41,40
262004,58,77,86,53,59,55
262005,51,77,105,48,59,68
262006,37,52,77,40,45,49
262007,46,55,60,46,46,40
262008,67,78,90,59,60,58
262009,70,77,88,61,59,57
262010,54,64,79,50,51,51
262011,57,67,80,53,53,51
262012,27,35,59,40,40,40
262013,68,72,70,60,56,45
262014,46,52,60,46,45,40
262015,52,59,73,49,48,47
262018,42,51,70,43,45,45
262019,43,58,61,44,48,41
262020,43,54,69,44,46,45
262021,68,,88,60,,57
262022,56,,101,52,,66
262024,61,,88,55,,57
262025,61,,108,55,,70
262035,58,65,85,53,52,54
262036,36,57,50,40,47,40
262045,31,35,71,40,40,46
262046,58,76,70,53,58,45
262048,80,95,93,68,71,60
262052,88,,91,73,,59
262058,36,,58,40,,40
262059,61,72,73,55,56,47
262062,50,52,45,48,45,40
262064,42,54,80,43,46,51
262065,37,49,66,40,44,43
262066,54,65,104,50,52,68
262070,45,,61,45,,41
262072,38,,59,41,,40
262073,45,,62,45,,41
262074,45,51,82,45,45,52
262075,36,40,44,40,40,40
264002,26,,56,40,,40
264004,41,,68,43,,44
264006,49,72,74,47,56,48
264007,75,,93,65,,60
264008,58,,53,53,,40
264010,46,,69,46,,45
264011,63,,79,57,,51
264012,77,,104,66,,68
264013,47,,66,46,,43
264014,75,,102,65,,66
264017,72,,85,63,,54
264018,30,,55,40,,40
264021,74,,93,64,,60
264022,78,,83,67,,53
264023,46,,43,46,,40
264024,35,,,40,,
264025,28,,61,40,,41
264026,44,,44,44,,40
264027,36,,55,40,,40
264028,55,,71,51,,46
264030,36,,56,40,,40
264032,38,,67,41,,44
264033,51,,45,48,,40
264034,50,,78,48,,50
264035,35,,56,40,,40
264036,41,,57,43,,40
264038,37,,50,40,,40
264039,76,,88,65,,57
264040,49,,68,47,,44
264041,46,,67,46,,44
264042,,,67,,,44
264047,66,,88,58,,57
264048,56,,69,52,,45
265001,,66,,,53,
265002,90,77,113,74,59,72
265004,71,76,94,62,58,61
265005,52,,73,49,,47
265006,58,55,,53,46,
265007,50,57,59,48,47,40
265009,42,,63,43,,42
265010,49,34,68,47,40,44
265012,30,,37,40,,40
265014,37,,60,40,,40
265015,58,,,53,,
265017,78,94,96,67,70,62
265019,43,55,51,44,46,40
265020,59,77,98,54,59,64
265021,49,62,,47,50,
266001,83,,,69,,
267001,,,88,,,57
267002,,,74,,,48
267005,,,56,,,40
267006,,,73,,,47
267007,47,,,46,,
267009,,,76,,,49
267010,,,89,,,57
267012,86,,,71,,
267014,,,67,,,44
267018,,,89,,,57
267020,,,70,,,45
267021,,,73,,,47
267023,57,,74,53,,48
267024,33,,78,40,,50
268006,62,,82,56,,52
268007,28,,75,40,,48
268008,,,74,,,48
269002,47,,89,46,,57
269003,62,,82,56,,52
269005,,,81,,,52
269006,40,,61,42,,41
269008,62,,71,56,,46
271001,69,,90,60,,58
271002,39,38,65,42,40,42
271003,60,98,87,55,72,56
271005,,,88,,,57
271006,26,33,53,40,40,40
271008,40,,59,42,,40
271010,47,,57,46,,40
271011,34,36,,40,40,
301001,79,,106,67,,69
301002,49,,46,47,,40
302009,75,,88,65,,57
302010,65,,123,58,,78
302011,50,,90,48,,58
302012,53,,68,50,,44
302014,70,,,61,,
302015,73,,84,63,,54
302017,82,,,69,,
302019,73,,109,63,,70
302020,71,,66,62,,43
302021,67,,117,59,,74
302022,39,,66,42,,43
302023,32,,72,40,,47
302025,58,,83,53,,53
302026,53,,68,50,,44
302028,57,,91,53,,59
302031,59,,75,54,,48
302033,52,,75,49,,48
307002,54,,,50,,
307004,69,,,60,,
307005,47,,,46,,
307006,38,,,41,,
307007,36,,,40,,
307008,53,,,50,,
307010,38,,,41,,
307011,54,,,50,,
307012,32,,,40,,
307013,32,,,40,,
307014,41,,,43,,
307016,29,,,40,,
307017,37,,,40,,
309001,45,32,61,45,40,41
309003,59,68,84,54,54,54
309005,70,78,92,61,60,60
309006,28,32,47,40,40,40
309007,29,50,68,40,44,44
309009,32,51,72,40,45,47
309010,76,88,112,65,65,72
309011,54,64,78,50,51,50
309012,50,73,75,48,57,48
309013,60,70,83,55,55,53
309017,56,65,84,52,52,54
309018,37,36,53,40,40,40
309019,54,49,66,50,44,43
309020,48,38,89,47,40,57
309022,95,36,70,77,40,45
309023,29,42,54,40,41,40
309024,42,56,81,43,47,52
309025,32,63,88,40,50,57
309027,34,34,104,40,40,68
309028,31,54,46,40,46,40
309030,31,32,68,40,40,44
309031,89,103,,74,74,
309032,29,33,69,40,40,45
309034,31,34,57,40,40,40
309037,28,32,71,40,40,46
309038,31,32,100,40,40,65
309039,88,106,115,73,80,73
309040,33,36,67,40,40,44
309041,64,67,79,57,53,51
309042,44,52,74,44,45,48
309044,28,34,76,40,40,49
309045,59,64,56,54,51,40
309046,46,61,66,46,49,43
309047,48,30,48,47,40,40
309048,46,70,62,46,55,41
309049,29,36,75,40,40,48
310004,,75,,,58,
313002,52,93,98,49,69,64
313004,41,,76,43,,49
313006,69,,103,60,,67
313008,31,,100,40,,65
313009,,,62,,,41
313010,97,,120,79,,76
313011,84,83,90,70,62,58
313014,,,94,,,61
313015,,,74,,,48
313016,70,54,78,61,46,50
314003,53,,73,50,,47
314005,77,,125,66,,79
314006,40,,61,42,,41
314011,52,,67,49,,44
314013,78,,91,67,,59
316002,60,,,55,,
316005,54,,,50,,
316006,49,,,47,,
316007,53,,,50,,
316010,57,,,53,,
316011,55,,,51,,
316012,29,,,40,,
316013,46,,,46,,
316014,69,,,60,,
317001,31,,102,40,,66
317002,57,,90,53,,58
317003,71,,81,62,,52
317004,53,,84,50,,54
317006,57,,76,53,,49
317007,60,,79,55,,51
317009,,,59,,,40
317010,56,,80,52,,51
317014,33,,56,40,,40
317015,63,,81,57,,52
318002,46,,,46,,
318003,60,,,55,,
318004,80,,,68,,
318008,56,,85,52,,54
321001,34,,,40,,
321002,37,,73,40,,47
321003,,,80,,,51
321004,,,92,,,60
321006,36,,66,40,,43
321009,,,88,,,57
321010,,,82,,,52
321011,,,81,,,52
321013,,,89,,,57
327002,69,64,,60,51,
327008,52,69,,49,55,
327009,,,80,,,51
327010,74,,100,64,,65
327011,76,92,101,65,67,66
327012,67,,91,59,,59
327014,,53,,,45,
327015,71,82,,62,61,
327016,58,67,74,53,53,48
327017,73,77,95,63,59,62
327018,59,68,67,54,54,44
327019,54,,80,50,,51
327020,74,71,92,64,56,60
327021,60,,79,55,,51
327023,63,,92,57,,60
327026,53,,65,50,,42
327027,67,,89,59,,57
327028,58,63,71,53,50,46
327030,,,83,,,53
327031,57,65,,53,52,
327032,,59,75,,48,48
327034,35,,41,40,,40
327036,53,61,,50,49,
327037,52,38,,49,40,
327039,,68,,,54,
327040,,48,,,43,
327042,,,66,,,43
327043,31,42,,40,41,
327044,27,30,46,40,40,40
327045,62,69,78,56,55,50
327046,59,69,84,54,55,54
327047,82,84,105,69,63,68
327048,,55,38,,46,40
327049,41,,68,43,,44
327050,73,85,98,63,64,64
328010,,90,,,66,
329002,37,,,40,,
329003,36,34,68,40,40,44
329004,32,61,67,40,49,44
329006,59,,86,54,,55
329007,,,73,,,47
329008,,,88,,,57
329014,55,,,51,,
329017,85,,97,71,,63
329018,37,44,85,40,42,54
331002,82,,,69,,
331003,65,,,58,,
331004,57,,,53,,
331005,45,,,45,,
331007,37,,,40,,
331008,56,,,52,,
331009,62,,,56,,
331011,67,,,59,,
331013,64,,,57,,
331014,38,,,41,,
331015,71,,,62,,
331016,49,,,47,,
333008,72,,77,63,,49
333009,55,,87,51,,56
333012,46,,63,46,,42
336001,28,,47,40,,40
336002,53,,81,50,,52
336004,59,,80,54,,51
336005,77,,93,66,,60
336007,50,,85,48,,54
336008,45,,90,45,,58
336010,33,,,40,,
336011,37,,,40,,
336012,,,76,,,49
336013,64,79,74,57,60,48
336016,57,,88,53,,57
346002,83,,99,69,,64
346003,,49,61,,44,41
346005,59,,74,54,,48
346007,,90,100,,66,65
346008,65,,,58,,
346011,,,59,,,40
346012,,,122,,,77
346014,,74,,,57,
346015,,,94,,,61
346017,,,98,,,64
348001,61,,,55,,
348007,54,,,50,,
348008,49,,,47,,
348010,51,,,48,,
354001,77,105,79,66,77,51
354002,72,,67,63,,44
354003,45,,47,45,,40
354004,58,,72,53,,47
354005,95,,,77,,
354006,41,,53,43,,40
354007,26,,37,40,,40
354008,28,,71,40,,46
354009,61,,77,55,,49
354010,71,,,62,,
354011,45,,56,45,,40
354012,58,,66,53,,43
354015,43,,68,44,,44
354016,31,,42,40,,40
354017,48,,47,47,,40
354018,37,,42,40,,40
354019,31,,42,40,,40
354020,56,,65,52,,42
354021,34,,47,40,,40
354022,45,,66,45,,43
354023,33,,52,40,,40
354024,50,,66,48,,43
354025,30,,38,40,,40
354026,46,,67,46,,44
354027,32,,48,40,,40
354028,69,,87,60,,56
354029,65,,86,58,,55
354030,59,,67,54,,44
354031,30,,45,40,,40
354032,33,,44,40,,40
354033,52,,86,49,,55
354034,87,,92,72,,60
354035,36,37,42,40,40,40
354037,33,,50,40,,40
354038,36,,53,40,,40
354039,92,101,92,76,73,60
360001,71,,67,62,,44
360002,,,74,,,48
