ID,EDDIW_age,EDDIQ_age,ELP_age,ERSW_age,ERSQ_age,ESWA_age,EPHK_age,EBRS_age,EPHA_age
232065, ,780,268, ,512,214,188,199,186
234001, ,776,282, ,494,199,200,199,188
234004, ,859,304, ,555,214,229,210,200
234007, ,924,337, ,587,231,238,229,207
234010, ,774,296, ,478,186,199,203,206
234011, ,929,339, ,590,233,229,214,209
234012, ,761,287, ,474,194,177,184,179
234023,926, ,329,597, ,246,240,234,211
234024,751, ,310,441, ,161,192,181,210
234025,880, ,322,558, ,222,232,225,203
234026,836, ,302,534, ,222,200,213,189
234028,823, ,308,515, ,197,203,211,195
234029,911, ,350,561, ,226,220,234,221
234030,842, ,326,516, ,204,205,213,211
234031,732, ,278,454, ,166,198,187,187
234032,750, ,283,467, ,183,192,190,198
234033,699, ,292,407, ,181,152,158,205
234034,862, ,356,506, ,203,215,219,244
234035,705, ,261,444, ,178,177,180,173
234045, ,827,285, ,542,227,199,208,197
234046, ,850,299, ,551,218,226,217,182
235003,835, ,326,509, ,206,199,216,201
235004,804, ,311,493, ,201,199,209,197
235005, ,834,313, ,521,209,219,200,210
238002,946, ,351,595, ,235,235,225,239
240002,946, ,374,572, ,222,232,240,246
240003,871, ,315,556, ,221,228,237,208
240020,667, ,244,423, ,152,179,171,154
240021,820, ,331,489, ,194,189,186,214
240022,612, ,228,384, ,153,153,154,148
240023,825, ,301,524, ,206,204,210,199
240036,700, ,256,444, ,178,173,179,161
240037,730, ,286,444, ,188,171,179,175
240038,688, ,267,421, ,172,162,161,177
240039,748, ,289,459, ,176,195,184,198
240040,912, ,337,575, ,222,229,235,207
241007,753, ,271,482, ,184,192,191,189
241018,653, ,242,411, ,178,150,154,167
241019,756, ,269,487, ,196,198,193,178
241021,805, ,306,499, ,187,210,200,198
241023,985, ,375,610, ,246,239,244,245
241025,886, ,344,542, ,217,220,230,236
241027,832, ,318,514, ,211,200,220,193
241029,738, ,295,443, ,166,180,186,212
243022,698, ,257,441, ,164,174,161,174
243026,869, ,305,564, ,225,224,216,210
243034, ,893,321, ,572,229,220,217,238
248038,776, ,289,487, ,185,203,199,196
257001,879, ,330,549, ,211,213,214,212
257002,787, ,277,510, ,202,198,215,177
257003,919, ,340,579, ,236,236,244,210
257004,738, ,292,446, ,181,182,195,196
257005,830, ,310,520, ,219,217,222,214
257012, ,765,288, ,477,188,202,200,194
257016, ,652,248, ,404,163,168,157,162
257017, ,707,258, ,449,181,178,181,156
262027,750, ,305,445, ,168,191,182,205
262043,799, ,301,498, ,195,203,200,191
262047,722, ,254,468, ,172,211,192,175
262049,793, ,308,485, ,184,201,196,201
262051,901, ,337,564, ,247,213,217,217
262053,830, ,327,503, ,182,213,201,204
262054,773, ,306,467, ,187,186,190,198
262055,799, ,323,476, ,183,201,190,218
262056,781, ,326,455, ,174,185,189,209
262057,860, ,327,533, ,197,236,215,214
262061,771, ,276,495, ,196,200,196,181
262063, , , ,407, ,170,151,166, 
262071,820, ,303,517, ,207,210,223,212
269001, ,685,280, ,405,162,168,166,186
269011, ,922,344, ,578,235,231,232,234
269012,860, ,335,525, ,203,220,212,224
269013, ,849,324, ,525,223,207,214,222
302001,781, ,287,494, ,183,219,206,206
302002,803, ,269,534, ,225,183,203,176
302005, ,769,294, ,475,195,198,205,203
302006, ,814,319, ,495,203,205,204,211
302007, ,721,284, ,437,178,181,174,182
305005,887, ,342,545, ,219,213,228,223
305011,879, ,364,515, ,196,204,200,250
305014,862, ,333,529, ,210,215,221,230
305019, ,855,297, ,558,225,235,227,193
305020,691, ,267,424, ,165,171,171,168
305026,947, ,332,615, ,253,241,245,208
309014,713, ,275,438, ,170,173,162,199
309015, ,947,377, ,570,227,220,230,254
309021, ,806,321, ,485,201,198,211,229
309026,804, ,302,502, ,178,226,226,202
309033,872, ,348,524, ,192,248,215,253
309035,714, ,264,450, ,180,181,179,171
309036,688, ,274,414, ,175,158,176,175
309043,739, ,297,442, ,185,167,171,197
310005, ,679,275, ,404,153,169,157,187
310007, ,682,258, ,424,173,168,182,158
310008, ,742,288, ,454,190,182,195,185
310009, ,861,329, ,532,220,202,214,210
310010, ,745,276, ,469,195,184,202,167
310011, ,875,322, ,553,222,223,221,207
310012,720, ,284,436, ,167,180,182,182
310013,729, ,283,446, ,176,194,195,187
310014, ,875,320, ,555,216,234,230,203
310017, ,865,298, ,567,241,233,221,190
310019,802, ,313,489, ,179,208,199,214
310022,775, ,295,480, ,189,205,200,203
313003, ,802,318, ,484,205,187,196,213
314007, ,828,312, ,516,213,208,204,210
314008, ,790,267, ,523,217,206,216,172
314010, ,701,291, ,410,167,171,169,198
314012,630, ,239,391, ,165,152,164,160
314014, ,813,313, ,500,205,202,212,208
315001, ,923,338, ,585,230,240,230,224
315002, ,631,241, ,390,158,163,163,164
315003,835, ,348,487, ,198,195,191,225
315004, ,839,322, ,517,205,220,217,217
315005,776, ,298,478, ,188,200,211,204
315006,643, ,235,408, ,158,164,158,153
315008, ,747,292, ,455,188,177,190,186
315009,728, ,303,425, ,174,169,177,204
315010,704, ,253,451, ,176,186,184,153
315011, ,857,326, ,531,215,215,222,215
315012,779, ,304,475, ,178,193,192,190
315013, ,693,281, ,412,160,185,176,190
315014, , ,326, , ,221,222,240,217
315015, ,737,295, ,442,185,174,174,203
315016,697, ,264,433, ,179,174,168,167
315017,766, ,275,491, ,206,189,195,177
315018, ,718,283, ,435,187,174,172,185
315019,832, ,324,508, ,206,202,201,215
315020,762, ,326,436, ,179,171,174,215
316003, ,931,354, ,577,230,229,214,243
316004,698, ,256,442, ,190,185,178,175
317005, ,671,258, ,413,177,174,171,173
317008,741, ,313,428, ,186,162,169,219
317011,792, ,321,471, ,181,200,193,199
317016, ,717,266, ,451,184,169,182,181
318015,937, ,353,584, ,244,236,237,238
318018,886, ,344,542, ,212,220,216,228
318019,839, ,297,542, ,214,225,217,205
318021,712, ,265,447, ,183,173,179,169
318022,870, ,323,547, ,222,229,215,212
318023,883, ,343,540, ,207,221,223,227
318024, ,641,260, ,381,154,160,157,177
318025,739, ,290,449, ,181,170,174,210
318026, ,858,345, ,513,226,199,212,235
318027,847, ,341,506, ,189,219,222,231
319001, ,693,265, ,428,173,188,195,198
321012, ,896,338, ,558,219,233,217,220
323003,659, ,250,409, ,149,152,156,158
323010,874, ,310,564, ,234,220,228,204
325008,756, ,265,491, ,198,202,195,178
326006,687, ,229,458, ,183,145,143,164
326013,611, ,210,401, ,154,157,150,144
326023,662, ,244,418, ,172,138,151,158
326025,721, ,230,491, ,192,169,157,151
326026,609, ,215,394, ,149,130,134,139
327004,687, ,265,422, ,168,172,167,181
327007,639, ,255,384, ,161,151,144,186
327013, , ,252, , , ,175,173,169
327024,730, ,288,442, ,176,186,172,199
327025,762, ,285,477, ,184,189,194,179
327033,842, ,330,512, ,207,203,199,227
327038, ,814,304, ,510,204,205,204,203
327041,877, ,365,512, ,203,209,203,235
328001, ,860,339, ,521,205,223,217,209
328003, ,804,326, ,478,190,206,206,219
328004, ,721,294, ,427,174,178,176,205
328005,856, ,350,506, ,202,220,218,239
328006, ,851,334, ,517,195,215,200,218
328007,761, ,309,452, ,176,186,179,215
328008, ,830,323, ,507,201,202,200,193
328009,745, ,299,446, ,171,192,178,197
331001,835, ,332,503, ,197,217,204,232
333011,867, ,324,543, ,208,233,226,202
333013,809, ,330,479, ,190,193,201,215
336006,776, ,268,508, ,205,200,202,193
336014,811, ,273,538, ,205,229,213,188
338003,709, ,266,443, ,171,176,161,193
338005,643, ,262,381, ,161,137,152,178
338007,764, ,306,458, ,184,181,183,211
348002,858, ,324,534, ,217,205,208,207
348003,923, ,371,552, ,213,234,233,245
348004,850, ,355,495, ,191,220,210,239
348005,820, ,312,508, ,216,197,204,194
348006,945, ,340,605, ,244,238,225,229
364003,647, ,258,389, ,148,176,169,166
364004,789, ,316,473, ,187,193,186,221
364005,808, ,304,504, ,204,203,191,199
364006,755, ,290,465, ,173,183,172,196
364007, ,835,325, ,510,208,201,186,208
364008, ,818,306, ,512,192,216,212,205
364009, ,859,337, ,522,204,216,195,223
365001,736, ,257,479, ,200,181,199,166
365005, ,681,267, ,414,174,163,176,175
365006, , , ,433, ,190,150,174, 
365008, ,803,319, ,484,194,190,194,207
365010,705, ,260,445, ,194,161,172,165
365011,604, ,258,346, ,144,134,136,179
365012, ,664,233, ,431,182,158,182,157
365016, ,790,273, ,517,208,199,210,186
365017, ,763,289, ,474,191,183,202,182
365018, ,660,282, ,378,150,161,156,194
365019, ,836,299, ,537,220,209,222,202
365020, ,883,312, ,571,218,233,217,207
365021, ,888,311, ,577,220,236,221,210
365022, ,844,330, ,514,209,212,217,228
365023, ,865,308, ,557,226,233,221,212
