ID,EDDIW_grd,EDDIQ_grd,ELP_grd,ERSW_grd,ERSQ_grd,ESWA_grd,EPHK_grd,EBRS_grd,EPHA_grd
214064,894, ,339,555, ,216,236,227,249
214065,741, ,282,459, ,174,203,188,191
214066,762, ,296,466, ,174,196,187,195
214071,844, ,315,529, ,213,209,217,208
214073,675, ,260,415, ,150,179,174,164
215002,917, ,351,566, ,229,213,227,224
217001,726, ,242,484, ,185,177,172,164
217003,691, ,270,421, ,170,168,162,182
217005,619, ,216,403, ,146,146,145,149
217006,759, ,269,490, ,190,196,188,186
217007,814, ,300,514, ,205,202,209,204
217008, ,847,273, ,574,212,232,215,187
217011, ,706,242, ,464,194,170,190,155
217012, ,629,236, ,393,156,146,145,166
217013, ,625,231, ,394,152,155,130,168
218001,896, ,345,551, ,211,225,219,237
220003,747, ,255,492, ,205,180,179,173
220004,824, ,292,532, ,218,201,206,205
220007,700, ,254,446, ,185,169,180,168
220008,683, ,255,428, ,166,163,155,168
220010,717, ,265,452, ,171,205,188,179
220011, ,739,255, ,484,205,179,198,175
220015, ,795,286, ,509,218,173,198,192
222029, ,865,307, ,558,239,216,212,204
223003, ,824,290, ,534,211,193,212,192
225001,819, ,302,517, ,215,195,206,189
225002,870, ,331,539, ,206,214,218,215
225003,864, ,311,553, ,221,213,217,199
225004,863, ,322,541, ,212,209,212,210
225008,735, ,264,471, ,206,175,201,171
226001,778, ,258,520, ,213,198,196,162
226002,797, ,267,530, ,212,205,199,163
226003,801, ,301,500, ,190,199,198,201
226004,780, ,268,512, ,202,205,203,181
226005,858, ,336,522, ,200,213,198,243
226006,880, ,335,545, ,206,222,217,234
226007,867, ,321,546, ,215,220,221,217
226008,760, ,283,477, ,198,191,201,180
226010,882, ,317,565, ,220,228,235,218
226011,740, ,307,433, ,185,162,165,200
226053,689, ,274,415, ,169,166,164,191
226054,829, ,321,508, ,203,204,204,227
226055, ,717,302, ,415,176,170,173,205
226056,966, ,347,619, ,253,247,240,230
226057,918, ,345,573, ,238,228,243,238
226058,822, ,322,500, ,199,205,188,213
226059, ,874,302, ,572,233,230,227,213
226060,801, ,338,463, ,188,186,184,236
231014, , ,227, , ,156, , ,161
232003,812, ,309,503, ,199,195,196,209
232004, ,849,314, ,535,208,216,212,205
232005,736, ,275,461, ,199,173,171,183
232006,789, ,298,491, ,203,194,190,206
232025,796, ,286,510, ,206,193,189,199
232026,849, ,328,521, ,221,199,207,218
232030,911, ,337,574, ,238,222,228,223
232054,761, ,306,455, ,178,189,184,207
232055,847, ,333,514, ,211,207,205,216
232056,680, ,273,407, ,163,160,156,198
232065, ,785,271, ,514,215,191,205,189
234001, ,743,269, ,474,191,189,188,179
234004, ,820,291, ,529,206,217,201,190
234007, ,856,311, ,545,219,214,209,190
234010, ,775,296, ,479,187,196,201,204
234011, ,897,329, ,568,228,217,206,200
234012, ,764,288, ,476,195,176,184,177
234023,893, ,318,575, ,235,231,222,205
234024,759, ,314,445, ,161,196,184,213
234025,889, ,326,563, ,223,234,225,207
234026,849, ,306,543, ,224,205,217,193
234028,783, ,291,492, ,186,194,198,183
234029,825, ,318,507, ,204,196,205,202
234030,808, ,314,494, ,193,197,200,205
234031,739, ,280,459, ,167,202,190,189
234032,799, ,298,501, ,199,197,197,212
234033,749, ,307,442, ,197,156,163,219
234034,820, ,337,483, ,197,197,199,233
234035,750, ,272,478, ,194,181,186,183
234045, ,795,274, ,521,220,187,198,190
234046, ,817,286, ,531,213,213,207,173
235003,943, ,357,586, ,239,220,241,227
235004,916, ,345,571, ,234,220,234,223
235005, ,839,315, ,524,211,217,201,210
238002,945, ,346,599, ,235,238,225,233
240002,991, ,385,606, ,239,237,246,256
240003,921, ,330,591, ,237,234,244,222
240020,743, ,268,475, ,171,199,193,169
240021,864, ,345,519, ,209,197,197,223
240022,746, ,267,479, ,193,185,193,175
240023,825, ,298,527, ,211,203,211,196
240036,744, ,268,476, ,193,182,190,169
240037,840, ,324,516, ,219,200,212,201
240038,775, ,295,480, ,197,182,184,196
240039,759, ,294,465, ,178,199,187,203
240040,877, ,322,555, ,215,219,225,195
241007,754, ,267,487, ,189,185,184,188
241018,653, ,236,417, ,182,144,147,164
241019,809, ,288,521, ,208,216,210,191
241021,856, ,322,534, ,204,215,208,212
241023,1038, ,390,648, ,260,258,260,260
241025,941, ,354,587, ,238,225,237,244
241027,887, ,328,559, ,232,205,227,202
241029,845, ,328,517, ,198,199,210,239
243022,759, ,279,480, ,180,191,179,191
243026,825, ,292,533, ,212,214,203,202
243034, ,852,303, ,549,223,207,207,224
248038,794, ,296,498, ,189,208,203,203
257001,976, ,366,610, ,237,243,240,236
257002,884, ,308,576, ,229,225,242,195
257003,930, ,344,586, ,238,239,244,214
257004,806, ,314,492, ,200,200,214,212
257005,885, ,329,556, ,233,233,236,227
257012, ,806,304, ,502,199,214,217,203
257016, ,729,278, ,451,180,194,183,178
257017, ,736,266, ,470,187,191,193,156
262027,770, ,312,458, ,173,197,187,211
262043,863, ,324,539, ,212,221,220,207
262047,815, ,280,535, ,197,239,222,194
262049,749, ,292,457, ,173,192,184,190
262051,916, ,342,574, ,249,219,220,222
262053,849, ,332,517, ,188,219,206,209
262054,774, ,305,469, ,191,184,189,196
262055,895, ,357,538, ,210,223,217,242
262056,842, ,347,495, ,191,202,209,224
262057,911, ,340,571, ,213,251,233,222
262061,774, ,277,497, ,200,198,195,181
262063, , , ,435, ,182,159,174, 
262071,838, ,309,529, ,211,216,226,218
269001, ,683,284, ,399,158,168,166,189
269011, ,880,331, ,549,226,220,227,225
269012,818, ,322,496, ,192,210,199,216
269013, ,850,326, ,524,224,209,221,223
302001,752, ,275,477, ,176,211,195,199
302002,758, ,254,504, ,212,174,190,166
302005, ,730,283, ,447,181,188,192,197
302006, ,772,309, ,463,187,196,192,206
302007, ,673,273, ,400,160,169,158,175
305005,903, ,347,556, ,222,219,230,228
305011,836, ,347,489, ,190,192,189,236
305014,879, ,340,539, ,215,218,222,236
305019, ,817,285, ,532,217,224,221,186
305020,701, ,266,435, ,169,176,175,167
305026,954, ,338,616, ,253,245,246,214
309014,729, ,280,449, ,175,177,165,204
309015, ,907,362, ,545,220,209,223,244
309021, ,770,310, ,460,190,188,201,223
309026,761, ,291,470, ,166,214,212,195
309033,837, ,338,499, ,185,234,202,246
309035,762, ,282,480, ,194,190,189,185
309036,699, ,281,418, ,178,157,175,181
309043,752, ,299,453, ,191,170,174,198
310005, ,630,257, ,373,139,156,143,174
310007, ,676,255, ,421,170,169,185,153
310008, ,743,291, ,452,187,185,198,187
310009, ,860,325, ,535,224,203,221,205
310010, ,742,277, ,465,192,184,202,167
310011, ,878,323, ,555,226,223,227,207
310012,676, ,270,406, ,154,170,169,173
310013,742, ,285,457, ,180,199,199,189
310014, ,841,309, ,532,209,223,223,197
310017, ,874,302, ,572,247,233,227,192
310019,821, ,319,502, ,185,213,204,219
310022,795, ,302,493, ,195,210,205,209
313003, ,760,308, ,452,190,176,183,208
314007, ,865,323, ,542,224,221,221,213
314008, ,752,251, ,501,208,197,208,160
314010, ,735,308, ,427,170,184,180,208
314012,683, ,257,426, ,182,163,180,173
314014, ,819,315, ,504,209,199,212,208
315001, ,884,328, ,556,220,230,223,218
315002, ,577,221, ,356,143,150,149,149
315003,793, ,335,458, ,187,185,178,218
315004, ,846,326, ,520,209,220,223,220
315005,743, ,283,460, ,180,192,199,194
315006,686, ,250,436, ,169,173,165,164
315008, ,746,293, ,453,184,180,192,186
315009,698, ,292,406, ,167,159,164,198
315010,748, ,268,480, ,190,194,194,164
315011, ,823,316, ,507,207,203,212,210
315012,780, ,305,475, ,180,192,192,190
315013, ,692,284, ,408,157,188,179,192
315014, ,807,298, ,509,203,198,221,199
315015, ,738,300, ,438,182,174,173,207
315016,784, ,292,492, ,205,193,190,186
315017,810, ,288,522, ,222,197,207,186
315018, ,752,300, ,452,191,186,182,196
315019,798, ,311,487, ,198,192,188,207
315020,778, ,331,447, ,184,175,177,219
316003, ,931,352, ,579,233,231,221,239
316004,714, ,262,452, ,194,185,179,181
317005, ,658,253, ,405,174,175,172,168
317008,787, ,328,459, ,199,171,178,230
317011,812, ,328,484, ,187,205,198,206
317016, ,669,249, ,420,172,154,167,169
318015,898, ,339,559, ,233,225,223,230
318018,903, ,346,557, ,217,225,220,230
318019,797, ,285,512, ,200,216,204,198
318021,717, ,264,453, ,188,166,172,171
318022,915, ,338,577, ,233,243,228,220
318023,883, ,339,544, ,212,213,216,227
318024, ,622,253, ,369,150,152,149,168
318025,694, ,279,415, ,166,159,159,204
318026, ,856,341, ,515,228,196,212,229
318027,849, ,338,511, ,194,212,215,231
319001, ,726,279, ,447,179,201,208,208
321012, ,897,342, ,555,220,233,223,223
323003,623, ,239,384, ,142,135,140,153
323010,839, ,299,540, ,223,210,215,198
325008,756, ,259,497, ,203,195,188,175
326006,709, ,236,473, ,195,148,145,171
326013,659, ,219,440, ,170,161,153,153
326023,636, ,233,403, ,167,129,141,153
326025,717, ,229,488, ,195,163,149,153
326026,689, ,238,451, ,177,144,150,156
327004,771, ,292,479, ,191,192,188,201
327007,633, ,250,383, ,163,148,144,181
327013, , ,265, , , ,180,179,181
327024,818, ,309,509, ,204,206,195,213
327025,764, ,280,484, ,189,184,188,177
327033,891, ,344,547, ,224,208,206,240
327038, ,820,305, ,515,208,204,206,202
327041,847, ,358,489, ,192,200,190,229
328001, ,832,330, ,502,200,210,207,200
328003, ,768,313, ,455,182,193,192,210
328004, ,719,295, ,424,171,176,172,205
328005,820, ,339,481, ,192,208,202,233
328006, ,855,334, ,521,198,214,201,216
328007,811, ,325,486, ,190,202,197,225
328008, ,832,321, ,511,204,201,201,191
328009,763, ,305,458, ,175,197,182,202
331001,837, ,330,507, ,202,209,197,233
333011,867, ,319,548, ,213,226,219,201
333013,868, ,344,524, ,210,199,208,228
336006,732, ,255,477, ,190,191,189,185
336014,771, ,258,513, ,199,211,195,179
338003,676, ,253,423, ,167,160,145,185
338005,650, ,262,388, ,163,134,149,181
338007,768, ,304,464, ,189,174,176,212
348002,865, ,323,542, ,218,210,211,206
348003,881, ,353,528, ,203,222,218,233
348004,851, ,349,502, ,192,225,213,233
348005,832, ,317,515, ,217,202,207,199
348006,942, ,336,606, ,242,240,225,224
364003,647, ,260,387, ,142,169,162,171
364004,754, ,304,450, ,176,184,173,214
364005,773, ,293,480, ,193,193,176,193
364006,774, ,295,479, ,178,187,174,201
364007, ,839,327, ,512,210,199,187,208
364008, ,822,308, ,514,195,213,212,205
364009, ,894,349, ,545,216,221,206,226
365001,782, ,268,514, ,216,187,206,175
365005, ,719,283, ,436,182,172,185,182
365006, , , ,438, ,195,142,167, 
365008, ,773,308, ,465,187,179,184,199
365010,658, ,242,416, ,183,147,154,152
365011,561, ,245,316, ,134,117,122,171
365012, ,698,244, ,454,191,166,191,161
365016, ,753,261, ,492,200,187,201,178
365017, ,806,307, ,499,203,190,212,190
365018, ,609,270, ,339,133,143,134,186
365019, ,757,272, ,485,201,184,198,185
365020, ,850,301, ,549,213,220,207,200
365021, ,857,300, ,557,216,223,212,202
365022, ,807,312, ,495,204,199,207,214
365023, ,833,295, ,538,221,220,212,203
