IDnum,ageyear,gender,PEL,ethnic,region
75,18,female,HS_grad,Hispanic,Northeast
76,18,female,HS_grad,Hispanic,Northeast
77,18,female,HS_grad,Hispanic,Northeast
78,18,female,HS_grad,Hispanic,Northeast
79,18,female,HS_grad,Hispanic,Northeast
80,18,female,HS_grad,Hispanic,Northeast
81,18,female,HS_grad,Hispanic,Northeast
82,18,female,HS_grad,Hispanic,Northeast
83,18,female,HS_grad,Hispanic,Northeast
84,18,female,HS_grad,Hispanic,Northeast
85,18,female,HS_grad,Hispanic,Northeast
86,18,female,HS_grad,Hispanic,Northeast
87,18,female,HS_grad,Hispanic,Northeast
88,18,female,HS_grad,Hispanic,Northeast
89,18,female,HS_grad,Hispanic,Northeast
90,18,female,HS_grad,Hispanic,Northeast
91,18,female,HS_grad,Hispanic,Northeast
92,18,female,HS_grad,Hispanic,Northeast
93,18,female,HS_grad,Hispanic,Northeast
94,18,female,HS_grad,Hispanic,Northeast
95,18,female,HS_grad,Hispanic,Northeast
96,18,female,HS_grad,Hispanic,Northeast
97,18,female,HS_grad,Hispanic,Northeast
98,18,female,HS_grad,Hispanic,Northeast
99,18,female,HS_grad,Hispanic,Northeast
100,18,female,HS_grad,Hispanic,Northeast
101,18,female,HS_grad,Hispanic,Northeast
102,18,female,HS_grad,Hispanic,Northeast
103,18,female,HS_grad,Hispanic,Northeast
104,18,female,HS_grad,Hispanic,Northeast
105,18,female,HS_grad,Hispanic,Northeast
106,18,female,HS_grad,Hispanic,Northeast
107,18,female,HS_grad,Hispanic,Northeast
108,18,female,HS_grad,Hispanic,Northeast
109,18,female,HS_grad,Hispanic,Northeast
110,18,female,HS_grad,Hispanic,Northeast
111,18,female,HS_grad,Hispanic,Northeast
112,18,female,HS_grad,Hispanic,Northeast
113,18,female,HS_grad,Hispanic,Northeast
114,18,female,HS_grad,Hispanic,Northeast
115,18,female,HS_grad,Hispanic,Northeast
116,18,female,HS_grad,Hispanic,Northeast
117,18,female,HS_grad,Hispanic,Northeast
118,18,female,HS_grad,Hispanic,Northeast
119,18,female,HS_grad,Hispanic,Northeast
120,18,female,HS_grad,Hispanic,Northeast
121,18,female,HS_grad,Hispanic,Northeast
122,18,female,HS_grad,Hispanic,Northeast
123,18,female,HS_grad,Hispanic,Northeast
124,18,female,HS_grad,Hispanic,Northeast
125,18,female,HS_grad,Hispanic,Northeast
126,18,female,HS_grad,Hispanic,Northeast
127,18,female,HS_grad,Hispanic,Northeast
128,18,female,HS_grad,Hispanic,Northeast
129,18,female,HS_grad,Hispanic,Northeast
130,18,female,HS_grad,Hispanic,Northeast
131,18,female,HS_grad,Hispanic,Northeast
132,18,female,HS_grad,Hispanic,Northeast
133,18,female,HS_grad,Hispanic,Northeast
134,18,female,HS_grad,Hispanic,Northeast
135,18,female,HS_grad,Hispanic,Northeast
