raw,EDDIW_grd_ss,EDDIQ_grd_ss,ELP_grd_ss,ERSW_grd_ss,ERSQ_grd_ss,ESWA_grd_ss,EPHK_grd_ss,EBRS_grd_ss,EPHA_grd_ss
227,,,69,47,61,115,117,117,117
228,,,69,47,61,116,118,118,118
229,,,70,47,61,116,118,118,119
230,,,70,47,61,117,119,119,119
231,,,71,47,61,117,120,119,120
232,,,71,47,61,118,120,119,121
233,,,71,47,61,119,121,121,121
234,,,71,47,61,119,122,122,122
235,,,71,47,61,120,122,123,122
236,,,72,47,61,120,123,124,123
237,,,72,47,61,121,124,124,124
238,,,73,47,61,121,124,125,125
239,,,74,47,61,122,125,125,125
240,,,74,47,61,122,126,127,126
241,,,74,47,61,122,126,127,126
242,,,75,47,61,124,127,128,127
243,,,75,47,61,124,128,129,128
244,,,76,47,61,125,128,129,129
245,,,76,47,61,125,129,130,129
246,,,76,47,61,125,130,130,130
247,,,76,47,61,126,130,130,130
248,,,77,47,61,126,130,130,130
249,,,78,47,61,127,130,130,130
250,,,78,47,61,128,130,130,130
251,,,78,47,61,129,130,130,130
252,,,78,47,61,129,130,130,130
253,,,79,47,61,130,130,130,130
254,,,80,47,61,130,130,130,130
255,,,80,47,61,130,130,130,130
256,,,80,47,61,130,130,130,130
257,,,81,47,61,130,130,130,130
258,,,81,47,61,130,130,130,130
259,,,82,47,61,130,130,130,130
260,,,82,47,61,130,130,130,130
261,,,82,47,61,,,,
262,,,83,47,61,,,,
263,,,83,47,61,,,,
264,,,84,47,61,,,,
265,,,84,47,61,,,,
266,,,85,47,61,,,,
267,,,85,47,61,,,,
268,,,85,47,61,,,,
269,,,86,47,61,,,,
270,,,86,47,61,,,,
271,,,87,47,61,,,,
272,,,87,47,61,,,,
273,,,87,47,61,,,,
274,,,88,47,61,,,,
275,,,88,47,61,,,,
276,,,88,47,61,,,,
277,,,89,47,61,,,,
278,,,90,47,61,,,,
279,,,90,47,61,,,,
280,,,90,47,61,,,,
281,,,91,47,61,,,,
282,,,91,47,61,,,,
283,,,92,47,61,,,,
284,,,92,47,61,,,,
285,,,93,47,61,,,,
286,,,93,47,61,,,,
287,,,94,47,61,,,,
288,,,94,47,61,,,,
289,,,94,47,61,,,,
290,,,95,47,61,,,,
291,,,95,47,61,,,,
292,,,96,47,61,,,,
293,,,96,47,61,,,,
294,,,97,47,61,,,,
295,,,97,47,61,,,,
296,,,98,47,61,,,,
297,,,98,47,61,,,,
298,,,98,47,61,,,,
299,,,99,47,61,,,,
300,,,99,47,61,,,,
301,,,100,47,61,,,,
302,,,100,47,61,,,,
303,,,101,47,61,,,,
304,,,101,47,61,,,,
305,,,102,47,61,,,,
306,,,102,47,61,,,,
307,,,102,47,61,,,,
308,,,103,47,61,,,,
309,,,103,47,61,,,,
310,,,104,47,61,,,,
311,,,104,47,61,,,,
312,,,105,47,61,,,,
313,,,105,47,61,,,,
314,,,106,47,61,,,,
315,,,106,47,61,,,,
316,,,107,47,61,,,,
317,,,107,47,61,,,,
318,,,108,47,61,,,,
319,,,108,47,61,,,,
320,59,62,108,47,61,,,,
321,59,62,109,47,61,,,,
322,59,62,110,47,61,,,,
323,59,62,110,47,61,,,,
324,59,62,110,47,61,,,,
325,59,62,111,47,61,,,,
326,59,62,111,47,61,,,,
327,59,62,112,47,61,,,,
328,59,62,112,47,61,,,,
329,59,62,113,47,61,,,,
330,59,62,113,47,61,,,,
331,59,62,114,47,61,,,,
332,59,62,114,47,61,,,,
333,59,62,115,47,61,,,,
334,59,62,115,47,61,,,,
335,59,62,116,47,61,,,,
336,59,62,116,47,61,,,,
337,59,62,117,47,61,,,,
338,59,62,117,47,61,,,,
339,59,62,118,47,61,,,,
340,59,62,118,47,61,,,,
341,59,62,119,47,61,,,,
342,59,62,119,47,61,,,,
343,59,62,119,47,61,,,,
344,59,62,120,47,61,,,,
345,59,62,121,47,61,,,,
346,59,62,121,47,61,,,,
347,59,62,122,47,61,,,,
348,59,62,122,47,61,,,,
349,59,62,123,47,61,,,,
350,59,62,123,47,61,,,,
351,59,62,124,47,61,,,,
352,59,62,124,47,61,,,,
353,59,62,125,47,61,,,,
354,59,62,125,47,61,,,,
355,59,62,126,47,61,,,,
356,59,62,126,47,67,,,,
357,59,62,127,47,67,,,,
358,59,62,127,47,67,,,,
359,59,62,127,47,67,,,,
360,59,62,127,47,67,,,,
361,59,62,129,47,67,,,,
362,59,62,129,47,67,,,,
363,59,62,129,47,67,,,,
364,59,62,129,47,67,,,,
365,59,62,129,47,67,,,,
366,59,62,130,47,67,,,,
367,59,62,130,47,67,,,,
368,59,62,130,47,67,,,,
369,59,62,130,47,70,,,,
370,59,62,130,47,70,,,,
371,59,62,130,47,70,,,,
372,59,62,130,47,70,,,,
373,59,62,130,47,73,,,,
374,59,62,130,47,73,,,,
375,59,62,130,47,73,,,,
376,59,62,130,47,73,,,,
377,59,62,130,47,73,,,,
378,59,62,130,47,73,,,,
379,59,62,130,47,73,,,,
380,59,62,130,47,73,,,,
381,59,62,130,47,73,,,,
382,59,62,130,67,73,,,,
383,59,62,130,68,73,,,,
384,59,62,130,68,73,,,,
385,59,62,130,68,73,,,,
386,59,62,130,68,73,,,,
387,59,62,130,69,73,,,,
388,59,62,130,69,73,,,,
389,59,62,130,69,73,,,,
390,59,62,130,69,73,,,,
391,59,62,,69,73,,,,
392,59,62,,69,73,,,,
393,59,62,,69,74,,,,
394,59,62,,69,76,,,,
395,59,62,,71,76,,,,
396,59,62,,71,76,,,,
397,59,62,,71,76,,,,
398,59,62,,71,76,,,,
399,59,62,,71,77,,,,
400,59,62,,71,78,,,,
401,59,62,,71,78,,,,
402,59,62,,71,78,,,,
403,59,62,,73,78,,,,
404,59,62,,73,78,,,,
405,59,62,,73,79,,,,
406,59,62,,74,79,,,,
407,59,62,,74,79,,,,
408,59,62,,74,80,,,,
409,59,62,,74,80,,,,
410,59,62,,74,80,,,,
411,59,62,,74,80,,,,
412,59,62,,74,80,,,,
413,59,62,,74,80,,,,
414,59,62,,74,80,,,,
415,59,62,,77,81,,,,
416,59,62,,77,81,,,,
417,59,62,,77,81,,,,
418,59,62,,77,81,,,,
419,59,62,,77,81,,,,
420,59,62,,77,82,,,,
421,59,62,,78,83,,,,
422,59,62,,78,83,,,,
423,59,62,,79,83,,,,
424,59,62,,79,83,,,,
425,59,62,,79,83,,,,
426,59,62,,80,83,,,,
427,59,62,,80,84,,,,
428,59,62,,80,84,,,,
429,59,62,,80,84,,,,
430,59,62,,80,84,,,,
431,59,62,,80,84,,,,
432,59,62,,80,84,,,,
433,59,62,,82,84,,,,
434,59,62,,82,84,,,,
435,59,62,,82,84,,,,
436,59,62,,82,85,,,,
437,59,62,,82,85,,,,
438,59,62,,83,85,,,,
439,59,62,,83,85,,,,
440,59,62,,83,85,,,,
441,59,62,,83,85,,,,
442,59,62,,84,85,,,,
443,59,62,,84,85,,,,
444,59,62,,84,85,,,,
445,59,62,,85,85,,,,
446,59,62,,85,86,,,,
447,59,62,,85,87,,,,
448,59,62,,85,87,,,,
449,59,62,,86,87,,,,
450,59,62,,86,87,,,,
451,59,62,,86,88,,,,
452,59,62,,87,89,,,,
453,59,62,,87,90,,,,
454,59,62,,87,91,,,,
455,59,62,,87,91,,,,
456,59,62,,87,91,,,,
457,59,62,,88,91,,,,
458,59,62,,88,91,,,,
459,59,62,,88,91,,,,
460,59,62,,89,92,,,,
461,59,62,,89,92,,,,
462,59,62,,89,92,,,,
463,59,62,,90,92,,,,
464,59,62,,90,93,,,,
465,59,62,,90,93,,,,
466,59,62,,90,93,,,,
467,59,62,,90,93,,,,
468,59,62,,90,94,,,,
469,59,62,,91,94,,,,
470,59,62,,91,94,,,,
471,59,62,,92,94,,,,
472,59,62,,92,94,,,,
473,59,62,,92,94,,,,
474,59,62,,92,95,,,,
475,59,62,,93,95,,,,
476,59,62,,93,95,,,,
477,59,62,,93,95,,,,
478,59,62,,93,95,,,,
479,59,62,,94,95,,,,
480,59,62,,94,95,,,,
481,59,62,,94,95,,,,
482,59,62,,94,95,,,,
483,59,62,,95,95,,,,
484,59,62,,95,96,,,,
485,59,62,,95,96,,,,
486,59,62,,95,96,,,,
487,59,62,,96,96,,,,
488,59,62,,96,96,,,,
489,59,62,,96,96,,,,
490,59,62,,96,96,,,,
491,59,62,,97,96,,,,
492,59,62,,97,96,,,,
493,59,62,,97,96,,,,
494,59,62,,97,96,,,,
495,59,62,,98,97,,,,
496,59,62,,98,97,,,,
497,59,62,,98,97,,,,
498,59,62,,98,97,,,,
499,59,62,,99,98,,,,
500,59,62,,99,98,,,,
501,59,62,,99,98,,,,
502,59,62,,99,99,,,,
503,59,62,,100,99,,,,
504,59,62,,100,99,,,,
505,59,62,,100,100,,,,
506,59,62,,100,100,,,,
507,59,62,,101,100,,,,
508,59,62,,101,100,,,,
509,59,62,,101,101,,,,
510,59,62,,101,101,,,,
511,59,62,,102,102,,,,
512,59,62,,102,102,,,,
513,59,62,,102,102,,,,
514,59,62,,102,103,,,,
515,59,62,,103,103,,,,
516,59,62,,103,104,,,,
517,59,62,,103,104,,,,
518,59,62,,103,104,,,,
519,59,62,,104,104,,,,
520,59,62,,104,104,,,,
521,59,62,,104,105,,,,
522,59,62,,104,105,,,,
523,59,62,,104,105,,,,
524,59,62,,105,106,,,,
525,59,62,,105,107,,,,
526,59,62,,105,107,,,,
527,59,62,,106,107,,,,
528,59,62,,106,107,,,,
529,59,62,,106,107,,,,
530,59,62,,106,107,,,,
531,59,62,,107,108,,,,
532,59,62,,107,109,,,,
533,59,62,,107,109,,,,
534,59,62,,107,109,,,,
535,59,62,,108,110,,,,
536,59,62,,108,110,,,,
537,59,62,,108,110,,,,
538,59,62,,108,111,,,,
539,59,62,,109,111,,,,
540,59,62,,109,111,,,,
541,59,62,,109,111,,,,
542,59,62,,109,111,,,,
543,59,62,,110,111,,,,
544,59,62,,110,111,,,,
545,59,62,,110,113,,,,
546,59,62,,110,113,,,,
547,59,62,,111,113,,,,
548,59,62,,111,113,,,,
549,59,62,,111,115,,,,
550,59,62,,111,115,,,,
551,59,62,,112,115,,,,
552,59,62,,112,116,,,,
553,59,62,,112,118,,,,
554,59,62,,112,118,,,,
555,59,62,,112,119,,,,
556,59,62,,113,121,,,,
557,59,62,,113,122,,,,
558,59,62,,113,123,,,,
559,59,62,,113,123,,,,
560,59,62,,113,123,,,,
561,59,62,,114,123,,,,
562,59,62,,114,123,,,,
563,59,62,,114,123,,,,
564,59,62,,114,123,,,,
565,59,62,,115,123,,,,
566,59,62,,115,123,,,,
567,59,62,,115,123,,,,
568,59,62,,116,124,,,,
569,59,62,,116,124,,,,
570,59,62,,116,124,,,,
571,59,62,,116,124,,,,
572,59,62,,117,126,,,,
573,59,62,,117,126,,,,
574,59,62,,117,130,,,,
575,59,62,,117,130,,,,
576,59,62,,117,130,,,,
577,59,62,,118,130,,,,
578,59,62,,118,130,,,,
579,59,62,,118,130,,,,
580,59,62,,118,130,,,,
581,59,62,,119,130,,,,
582,59,62,,119,130,,,,
583,59,62,,119,130,,,,
584,59,62,,119,130,,,,
585,59,62,,119,130,,,,
586,59,62,,120,130,,,,
587,59,62,,120,130,,,,
588,59,62,,120,130,,,,
589,59,62,,120,130,,,,
590,59,62,,121,130,,,,
591,59,62,,121,130,,,,
592,59,62,,121,130,,,,
593,59,62,,121,130,,,,
594,59,62,,121,130,,,,
595,59,62,,121,130,,,,
596,59,62,,121,130,,,,
597,59,62,,121,130,,,,
598,59,62,,121,130,,,,
599,59,62,,123,130,,,,
600,59,62,,123,130,,,,
601,59,62,,123,130,,,,
602,59,62,,123,130,,,,
603,59,62,,123,130,,,,
604,59,62,,123,130,,,,
605,59,62,,124,130,,,,
606,59,62,,124,130,,,,
607,59,62,,124,130,,,,
608,59,62,,124,130,,,,
609,59,67,,124,130,,,,
610,59,67,,125,130,,,,
611,59,67,,125,130,,,,
612,59,67,,125,130,,,,
613,59,67,,125,130,,,,
614,59,67,,125,130,,,,
615,59,67,,125,130,,,,
616,59,67,,127,130,,,,
617,59,67,,127,130,,,,
618,59,67,,127,130,,,,
619,68,67,,127,130,,,,
620,68,67,,127,130,,,,
621,68,67,,127,130,,,,
622,68,69,,128,130,,,,
623,69,69,,128,130,,,,
624,69,69,,128,130,,,,
625,69,70,,129,130,,,,
626,69,70,,129,130,,,,
627,69,70,,129,130,,,,
628,69,70,,129,130,,,,
629,69,70,,130,130,,,,
630,69,70,,130,130,,,,
631,69,70,,130,130,,,,
632,69,70,,130,130,,,,
633,70,70,,130,130,,,,
634,70,70,,130,130,,,,
635,70,70,,130,130,,,,
636,71,70,,130,130,,,,
637,71,70,,130,130,,,,
638,71,70,,130,130,,,,
639,71,70,,130,130,,,,
640,71,70,,130,130,,,,
641,72,70,,130,130,,,,
642,72,70,,130,130,,,,
643,72,70,,130,130,,,,
644,72,70,,130,130,,,,
645,72,70,,130,130,,,,
646,72,70,,130,130,,,,
647,73,70,,130,130,,,,
648,73,70,,130,130,,,,
649,73,70,,130,130,,,,
650,73,70,,130,130,,,,
651,73,70,,,,,,,
652,73,70,,,,,,,
653,74,70,,,,,,,
654,74,70,,,,,,,
655,74,70,,,,,,,
656,74,70,,,,,,,
657,74,70,,,,,,,
658,74,75,,,,,,,
659,75,75,,,,,,,
660,75,75,,,,,,,
661,75,75,,,,,,,
662,75,75,,,,,,,
663,75,75,,,,,,,
664,75,75,,,,,,,
665,76,75,,,,,,,
666,76,75,,,,,,,
667,76,75,,,,,,,
668,76,75,,,,,,,
669,76,77,,,,,,,
670,76,77,,,,,,,
671,77,77,,,,,,,
672,77,77,,,,,,,
673,77,78,,,,,,,
674,77,78,,,,,,,
675,77,78,,,,,,,
676,77,78,,,,,,,
677,77,78,,,,,,,
678,77,78,,,,,,,
679,77,78,,,,,,,
680,78,78,,,,,,,
681,78,78,,,,,,,
682,78,78,,,,,,,
683,79,79,,,,,,,
684,79,79,,,,,,,
685,79,79,,,,,,,
686,79,79,,,,,,,
687,79,79,,,,,,,
688,79,79,,,,,,,
689,80,79,,,,,,,
690,80,79,,,,,,,
691,80,79,,,,,,,
692,80,81,,,,,,,
693,80,81,,,,,,,
694,80,81,,,,,,,
695,80,81,,,,,,,
696,80,81,,,,,,,
697,80,81,,,,,,,
698,81,82,,,,,,,
699,81,82,,,,,,,
700,81,82,,,,,,,
701,82,82,,,,,,,
702,82,82,,,,,,,
703,82,82,,,,,,,
704,82,82,,,,,,,
705,82,82,,,,,,,
706,82,83,,,,,,,
707,82,83,,,,,,,
708,82,84,,,,,,,
709,83,84,,,,,,,
710,83,84,,,,,,,
711,83,84,,,,,,,
712,83,84,,,,,,,
713,83,84,,,,,,,
714,84,84,,,,,,,
715,84,84,,,,,,,
716,84,84,,,,,,,
717,84,85,,,,,,,
718,84,85,,,,,,,
719,84,86,,,,,,,
720,84,86,,,,,,,
721,85,86,,,,,,,
722,85,86,,,,,,,
723,85,86,,,,,,,
724,85,86,,,,,,,
725,85,86,,,,,,,
726,86,87,,,,,,,
727,86,87,,,,,,,
728,86,87,,,,,,,
729,86,88,,,,,,,
730,86,88,,,,,,,
731,86,88,,,,,,,
732,87,88,,,,,,,
733,87,88,,,,,,,
734,87,88,,,,,,,
735,87,89,,,,,,,
736,87,89,,,,,,,
737,87,89,,,,,,,
738,88,89,,,,,,,
739,88,89,,,,,,,
740,88,89,,,,,,,
741,88,89,,,,,,,
742,88,90,,,,,,,
743,89,90,,,,,,,
744,89,90,,,,,,,
745,89,90,,,,,,,
746,89,91,,,,,,,
747,89,91,,,,,,,
748,89,91,,,,,,,
749,90,91,,,,,,,
750,90,91,,,,,,,
751,90,91,,,,,,,
752,90,92,,,,,,,
753,90,92,,,,,,,
754,90,92,,,,,,,
755,90,92,,,,,,,
756,91,92,,,,,,,
757,91,93,,,,,,,
758,91,93,,,,,,,
759,91,93,,,,,,,
760,91,93,,,,,,,
761,92,93,,,,,,,
762,92,93,,,,,,,
763,92,93,,,,,,,
764,92,94,,,,,,,
765,92,94,,,,,,,
766,92,94,,,,,,,
767,92,94,,,,,,,
768,93,95,,,,,,,
769,93,95,,,,,,,
770,93,95,,,,,,,
771,93,95,,,,,,,
772,93,96,,,,,,,
773,94,96,,,,,,,
774,94,96,,,,,,,
775,94,96,,,,,,,
776,94,96,,,,,,,
777,94,96,,,,,,,
778,95,96,,,,,,,
779,95,96,,,,,,,
780,95,96,,,,,,,
781,95,96,,,,,,,
782,95,96,,,,,,,
783,95,96,,,,,,,
784,96,96,,,,,,,
785,96,98,,,,,,,
786,96,98,,,,,,,
787,96,98,,,,,,,
788,96,99,,,,,,,
789,96,99,,,,,,,
790,96,99,,,,,,,
791,96,99,,,,,,,
792,96,99,,,,,,,
793,97,99,,,,,,,
794,97,99,,,,,,,
795,97,100,,,,,,,
796,98,100,,,,,,,
797,98,100,,,,,,,
798,98,100,,,,,,,
799,98,100,,,,,,,
800,98,100,,,,,,,
801,99,100,,,,,,,
802,99,100,,,,,,,
803,99,100,,,,,,,
804,99,100,,,,,,,
805,99,100,,,,,,,
806,99,103,,,,,,,
807,100,103,,,,,,,
808,100,103,,,,,,,
809,100,103,,,,,,,
810,100,103,,,,,,,
811,100,103,,,,,,,
812,100,103,,,,,,,
813,100,103,,,,,,,
814,101,103,,,,,,,
815,101,103,,,,,,,
816,101,103,,,,,,,
817,101,105,,,,,,,
818,101,105,,,,,,,
819,102,105,,,,,,,
820,102,106,,,,,,,
821,102,106,,,,,,,
822,102,106,,,,,,,
823,102,106,,,,,,,
824,102,106,,,,,,,
825,103,106,,,,,,,
826,103,106,,,,,,,
827,103,106,,,,,,,
828,103,106,,,,,,,
829,103,106,,,,,,,
830,103,106,,,,,,,
831,103,106,,,,,,,
832,104,108,,,,,,,
833,104,108,,,,,,,
834,104,108,,,,,,,
835,104,108,,,,,,,
836,105,108,,,,,,,
837,105,108,,,,,,,
838,105,108,,,,,,,
839,105,110,,,,,,,
840,105,110,,,,,,,
841,105,110,,,,,,,
842,106,110,,,,,,,
843,106,110,,,,,,,
844,106,110,,,,,,,
845,106,110,,,,,,,
846,106,111,,,,,,,
847,106,111,,,,,,,
848,107,111,,,,,,,
849,107,112,,,,,,,
850,107,112,,,,,,,
851,107,112,,,,,,,
852,107,112,,,,,,,
853,107,112,,,,,,,
854,107,113,,,,,,,
855,107,113,,,,,,,
856,108,113,,,,,,,
857,108,113,,,,,,,
858,108,113,,,,,,,
859,108,113,,,,,,,
860,109,114,,,,,,,
861,109,114,,,,,,,
862,109,114,,,,,,,
863,109,114,,,,,,,
864,109,114,,,,,,,
865,110,115,,,,,,,
866,110,115,,,,,,,
867,110,115,,,,,,,
868,110,115,,,,,,,
869,110,116,,,,,,,
870,110,116,,,,,,,
871,110,117,,,,,,,
872,110,117,,,,,,,
873,110,117,,,,,,,
874,110,117,,,,,,,
875,110,117,,,,,,,
876,110,117,,,,,,,
877,112,117,,,,,,,
878,112,118,,,,,,,
879,112,118,,,,,,,
880,112,119,,,,,,,
881,112,119,,,,,,,
882,113,119,,,,,,,
883,113,119,,,,,,,
884,113,119,,,,,,,
885,113,119,,,,,,,
886,113,119,,,,,,,
887,113,120,,,,,,,
888,113,120,,,,,,,
889,114,120,,,,,,,
890,114,120,,,,,,,
891,114,120,,,,,,,
892,114,120,,,,,,,
893,114,120,,,,,,,
894,115,122,,,,,,,
895,115,122,,,,,,,
896,115,122,,,,,,,
897,115,122,,,,,,,
898,115,122,,,,,,,
899,115,122,,,,,,,
900,115,122,,,,,,,
901,115,122,,,,,,,
902,115,122,,,,,,,
903,116,122,,,,,,,
904,116,122,,,,,,,
905,116,122,,,,,,,
906,117,122,,,,,,,
907,117,125,,,,,,,
908,117,125,,,,,,,
909,117,125,,,,,,,
910,117,125,,,,,,,
911,118,125,,,,,,,
912,118,125,,,,,,,
913,118,125,,,,,,,
914,118,126,,,,,,,
915,118,126,,,,,,,
916,119,126,,,,,,,
917,119,126,,,,,,,
918,119,126,,,,,,,
919,119,126,,,,,,,
920,119,126,,,,,,,
921,119,126,,,,,,,
922,119,126,,,,,,,
923,119,126,,,,,,,
924,119,126,,,,,,,
925,119,126,,,,,,,
926,119,126,,,,,,,
927,119,126,,,,,,,
928,119,126,,,,,,,
929,119,126,,,,,,,
930,121,126,,,,,,,
931,121,130,,,,,,,
932,121,130,,,,,,,
933,121,130,,,,,,,
934,121,130,,,,,,,
935,122,130,,,,,,,
936,122,130,,,,,,,
937,122,130,,,,,,,
938,122,130,,,,,,,
939,122,130,,,,,,,
940,122,130,,,,,,,
941,123,130,,,,,,,
942,123,130,,,,,,,
943,123,130,,,,,,,
944,123,130,,,,,,,
945,124,130,,,,,,,
946,124,130,,,,,,,
947,124,130,,,,,,,
948,124,130,,,,,,,
949,124,130,,,,,,,
950,124,130,,,,,,,
951,124,130,,,,,,,
952,124,130,,,,,,,
953,124,130,,,,,,,
954,125,130,,,,,,,
955,125,130,,,,,,,
956,125,130,,,,,,,
957,125,130,,,,,,,
958,125,130,,,,,,,
959,125,130,,,,,,,
960,126,130,,,,,,,
961,126,130,,,,,,,
962,126,130,,,,,,,
963,126,130,,,,,,,
964,126,130,,,,,,,
965,126,130,,,,,,,
966,127,130,,,,,,,
967,127,130,,,,,,,
968,127,130,,,,,,,
969,127,130,,,,,,,
970,127,130,,,,,,,
971,127,130,,,,,,,
972,127,130,,,,,,,
973,127,130,,,,,,,
974,127,130,,,,,,,
975,127,130,,,,,,,
976,129,130,,,,,,,
977,129,130,,,,,,,
978,129,130,,,,,,,
979,130,130,,,,,,,
980,130,130,,,,,,,
981,130,130,,,,,,,
982,130,130,,,,,,,
983,130,130,,,,,,,
984,130,130,,,,,,,
985,130,130,,,,,,,
986,130,130,,,,,,,
987,130,130,,,,,,,
988,130,130,,,,,,,
989,130,130,,,,,,,
990,130,130,,,,,,,
991,130,130,,,,,,,
992,130,130,,,,,,,
993,130,130,,,,,,,
994,130,130,,,,,,,
995,130,130,,,,,,,
996,130,130,,,,,,,
997,130,130,,,,,,,
998,130,130,,,,,,,
999,130,130,,,,,,,
1000,130,130,,,,,,,
1001,130,130,,,,,,,
1002,130,130,,,,,,,
1003,130,130,,,,,,,
1004,130,130,,,,,,,
1005,130,130,,,,,,,
1006,130,130,,,,,,,
1007,130,130,,,,,,,
1008,130,130,,,,,,,
1009,130,130,,,,,,,
1010,130,130,,,,,,,
1011,130,130,,,,,,,
1012,130,130,,,,,,,
1013,130,130,,,,,,,
1014,130,130,,,,,,,
1015,130,130,,,,,,,
1016,130,130,,,,,,,
1017,130,130,,,,,,,
1018,130,130,,,,,,,
1019,130,130,,,,,,,
1020,130,130,,,,,,,
1021,130,130,,,,,,,
1022,130,130,,,,,,,
1023,130,130,,,,,,,
1024,130,130,,,,,,,
1025,130,130,,,,,,,
1026,130,130,,,,,,,
1027,130,130,,,,,,,
1028,130,130,,,,,,,
