ID,demo_wt,cell_pct,age,group,raw
207025,0.8002376571006601,0.00433593,5.363387978142076,5.691408979574784,144
207026,0.8077016542808969,0.00688662072,6.475409836065574,6.512841221824458,159
207027,0.7505023985877858,0.0042492114,5.333333333333333,5.691408979574784,123
207028,0.8002376571006601,0.00433593,6.605479452054794,6.512841221824458,117
207029,0.7756419686663273,0.0036602118,5.1502732240437155,5.691408979574784,148
207030,0.8270432085526275,0.00373491,5.027322404371585,5.691408979574784,101
207031,0.8002376571006601,0.00433593,6.308743169398907,6.512841221824458,152
207032,0.7756419686663273,0.0036602118,6.50958904109589,6.512841221824458,167
208001,0.9404385812384028,0.006800355,6.736986301369863,6.512841221824458,163
208011,0.9404385812384028,0.006800355,5.879452054794521,5.691408979574784,165
209019,0.9038716387578336,0.01932615664,6.112021857923497,6.512841221824458,101
210001,0.8190835515942422,0.015785084,7.245901639344262,7.207066573316953,212
210016,0.8190835515942422,0.015785084,6.8,6.512841221824458,187
210018,0.947569110005152,0.014853666,6.8273972602739725,6.512841221824458,197
210044,0.8886771118259256,0.01455659268,5.728767123287671,5.691408979574784,103
211008,1.070597033468632,0.017134264,6.64931506849315,6.512841221824458,138
211043,0.8263036333743511,0.00204041096,5.947945205479452,5.691408979574784,99
211056,1.2800234940768558,0.013888332,7,7.207066573316953,175
211057,1.2385362594615668,0.016123236,7.515068493150685,7.207066573316953,227
211073,0.7203208184963408,0.008669528,6.791780821917808,6.512841221824458,147
212001,0.7756419686663273,0.0036602118,7.284153005464481,7.207066573316953,117
213003,0.7438532862348263,0.00234839752,6.229508196721311,6.512841221824458,99
213009,0.6484456637250637,0.009978136,5.311475409836065,5.691408979574784,97
213010,0.9038716387578336,0.01932615664,6.262295081967213,6.512841221824458,113
213013,1.1171011420948558,0.01251447848,7.389041095890411,7.207066573316953,130
213016,0.6756156610819674,0.0048906018,6.926027397260274,7.207066573316953,111
213019,0.9637705673963912,0.019720568,6.079234972677596,5.691408979574784,136
214001,0.7681770092430881,0.01546938232,8.301369863013699,8.081294902661215,240
214002,0.7681770092430881,0.01546938232,6.802739726027397,6.512841221824458,212
214003,0.5428001179957411,0.002983008,7.167123287671233,7.207066573316953,147
214004,0.5090647595684119,0.00292334784,8.172602739726027,8.081294902661215,162
