ID,noweight,agestrat,gradestrat,gender,educ,ethnic,region,demo_wt,sege_sum,sege_sum_w,rlne_sum,rlne_sum_w,rhme_sum,rhme_sum_w,snwe_sum,snwe_sum_w,lswe_sum,lswe_sum_w,lske_sum,lske_sum_w,ORF_noNeg,ORF_noNeg_w
226055,,8:0-9:3,2_Fall,male,some_college,black,midwest,0.7930949137746769,24,19,72,57,20,16,16,13,28,22,27,21,118,94
226056,,6:0-6:3,1_Fall,female,BA_plus,white,midwest,0.9855614888010669,23,23,83,82,25,25,30,30,38,37,33,33,212,209
226057,,5:0-5:7,K_Fall,female,BA_plus,white,midwest,0.9855614888010669,20,20,51,50,20,20,16,16,25,25,26,26,124,122
226058,,5:0-5:7,K_Fall,female,BA_plus,white,midwest,0.9855614888010669,17,17,54,53,11,11,15,15,11,11,16,16,100,99
226059,,7:6-7:11,2_Fall,female,some_college,white,midwest,1.135375700144505,24,27,61,69,24,27,29,33,38,43,34,39,184,209
226060,1,5:8-5:11,K_Fall,male,BA_plus,white,midwest,1.0507849079731348,15,15,45,45,26,26,7,7,9,9,17,17,100,100
231001,1,6:0-6:3,K_Spring,male,some_college,hispanic,south,0.9600912635230916,1,1,1,1,1,1,1,1,3,3,1,1,,
231007,1,6:4-6:7,K_Spring,female,some_college,black,south,0.863100613459091,7,7,9,9,1,1,3,3,,,1,1,,
231014,1,6:8-6:11,1_Spring,male,BA_plus,black,south,0.7987955868438414,4,4,21,21,19,19,3,3,22,22,,,,
231015,1,6:8-6:11,1_Spring,female,some_college,hispanic,south,0.9004973024288124,3,3,12,12,1,1,1,1,10,10,1,1,126,126
232003,,6:8-6:11,K_Spring,female,some_college,hispanic,west,0.699434022927801,21,15,53,37,7,5,14,10,18,13,21,15,103,72
232004,,8:0-9:3,2_Spring,male,some_college,hispanic,west,0.7457218283859078,23,17,93,69,27,20,29,22,38,28,34,25,207,154
232005,,5:8-5:11,K_Spring,male,BA_plus,asian,west,0.4400372173305932,13,6,42,18,4,2,13,6,16,7,9,4,99,44
232006,,6:4-6:7,K_Spring,female,some_college,white,west,1.0232230035590375,20,20,42,43,7,7,14,14,16,16,20,20,96,98
232025,,5:8-5:11,K_Spring,female,BA_plus,white,west,0.8882074776083315,16,14,36,32,9,8,13,12,15,13,21,19,102,91
232026,,7:0-7:5,1_Spring,female,BA_plus,white,west,0.8882074776083315,23,20,82,73,25,22,19,17,33,29,30,27,154,137
232030,,7:6-7:11,1_Spring,female,some_college,hispanic,west,0.699434022927801,24,17,87,61,25,17,24,17,38,27,33,23,207,145
232054,,6:4-6:7,1_Fall,male,some_college,other,west,0.8966009205438306,20,18,60,54,19,17,15,13,19,17,24,22,95,85
232055,,5:0-5:7,K_Fall,male,BA_plus,white,west,0.9469881110666128,15,14,64,61,15,14,14,13,15,14,19,18,94,89
232056,,6:4-6:7,1_Fall,male,HS_grad,hispanic,west,0.7844616305823731,22,17,27,21,10,8,11,9,14,11,14,11,93,73
232065,,7:6-7:11,2_Fall,female,some_college,hispanic,west,0.699434022927801,21,15,51,36,20,14,20,14,36,25,31,22,188,131
234001,,7:6-7:11,2_Spring,female,HS_grad,hispanic,northeast,0.8937001062446872,22,20,69,62,18,16,23,21,34,30,32,29,134,120
234004,,7:6-7:11,2_Spring,male,HS_grad,black,northeast,0.9132736349838475,20,18,83,76,27,25,31,28,37,34,33,30,194,177
